BSN;Name;PLZ;Adresse;Telefon;Fax;eMail;Internet
01A04;Berlin-Kolleg;10551;Turmstr. 75;901838210;901838222;sekretariat@berlin-kolleg.de;http://www.berlin-kolleg.de
01B01;OSZ Banken, Immobilien und Versicherungen;10557;Alt-Moabit 10;398840;39884119;info@osz-biv.de;http://www.osz-biv.de
01B02;Staatliche Technikerschule Berlin;10555;Bochumer Str. 8 B;3900060;39000682;info@technikerschule-berlin.de;http://www.technikerschule-berlin.de
01B03;OSZ Kommunikations-, Informations- und Medientechnik;13359;Osloer Str. 23-26;493070;49307100;Sekretariat@oszkim.de;http://www.oszkim.de
01B04;OSZ Gesundheit I;13349;Schwyzer Str. 6/8;4530800;45308077;sekretariat@osz-gesundheit.de;http://www.osz-gesundheit.de
01B05;Staatliche Wirtschaftsfachschule fr Hotellerie und Gastronomie Berlin;10117;Niederwallstr. 6-7;20613130;20613131;info@hotelfachschule-berlin.de;http://www.hotelfachschule-berlin.de
01G01;Grundschule am Arkonaplatz;10115;Ruppiner Str. 47-48;48625680;486256820;sekretariat@arkonaplatz.schule.berlin.de;http://www.grundschuleamarkonaplatz.de
01G02;Papageno-Grundschule;10115;Bergstr. 58;30881711;30881710;sekretariat@papageno-grundschule.de;http://www.papageno-grundschule.de
01G04;Kastanienbaum-Grundschule;10119;Gipsstr. 23 A;275816330;275816350;sekretariat@kb.schule.berlin.de;http://www.kastanienbaumgrundschule.de
01G05;Grundschule Neues Tor;10115;Hannoversche Str. 20;24088330;24088340;schulleitung@01G05.schule.berlin.de;http://www.neues-tor.de
01G07;GutsMuths-Grundschule;10179;Singerstr. 8;2408386;24083888;sekretariat@gutsmuths.schule.berlin.de;http://www.gutsmuths-grundschule.de
01G08;Grundschule am Brandenburger Tor;10117;Wilhelmstr. 52;20629430;20629440;sekretariat@gsabt.schule.berlin.de;http://www.Grundschule-am-Brandenburger-Tor.de
01G10;City-Grundschule;10179;Sebastianstr. 57;28449060;28449070;Sekretariat@city.schule.berlin.de;http://www.city-grundschule.de
01G11;Kurt-Tucholsky-Grundschule;10559;Rathenower Str. 18;3974429310;3974429338;01G11@01G11.schule.berlin.de;http://www.kurt-tucholsky-grundschule.de
01G15;Anne-Frank-Grundschule;10557;Paulstr. 20 B;20629180;20629188;sekretariat@anne-frank-grundschule.de;http://anne-frank-grundschule.de
01G16;Moabiter Grundschule;10557;Paulstr. 28;30208630;30208640;kontakt@moabiter-grundschule.de;http://www.moabiter-grundschule.de
01G18;Carl-Bolle-Grundschule;10551;Waldenserstr. 20-21;397457810;397457811;info@carl-bolle-grundschule.de;http://www.carl-bolle-grundschule.de
01G19;Hansa-Grundschule;10555;Lessingstr. 5;39806430;39806434;sekretariat@hansa.online;http://www.hansa-grundschule-online.de
01G24;Gottfried-R__Grundschule;13349;Ungarnstr. 75;45081110;45081120;01G24@01G24.schule.berlin.de;http://www.gottfried-roehl-schule.de
01G25;Rudolf-Wissell-Grundschule;13357;Ellerbeker Str. 7-8;49799940;497999420;Schulleitung@rudolf-wissell.schule.berlin.de;http://www.rudolf-wissell-grundschule.de
01G27;Gesundbrunnen-Grundschule;13357;Prinzenallee 8;493015660;493015666;sekretariat@gesundbrunnen-grundschule.de;http://www.gesundbrunnen-grundschule.de
01G28;Brder-Grimm-Grundschule;13353;Tegeler Str. 18-19;4530840;45308415;sekretariat@bggs.schule.berlin.de;http://bggs-berlin.de
01G29;Wilhelm-Hauff-Grundschule;13359;Gotenburger Str. 8;48490810;48490820;01G29@01G29.schule.berlin.de;http://wilhelm-hauff-grundschule.de
01G31;Wedding-Grundschule;13347;Antonstr. 10;901844250;901847437;plorenz@wedding-schule.de;http://www.wedding-schule.de
01G32;Carl-Kraemer-Grundschule;13359;Zechliner Str. 4;4998993;49989955;carl-kraemer-grundschule@t-online.de;http://www.carl-kraemer-gs.de
01G35;Humboldthain-Grundschule;13355;Grenzstr. 7;46777330;46777340;sekretariat@humboldthain.schule.berlin.de;http://www.humboldthain-grundschule.de
01G36;Andersen-Grundschule;13359;Kattegatstr. 26;493015410;493015420;sekretariat@andersen.schule.berlin.de;http://www.andersen-grundschule.de
01G37;Heinrich-Seidel-Grundschule;13355;Ramlerstr. 9-10;4677669210;4677669219;info@hsgs.berlin;http://www.hsgs.berlin
01G38;Gustav-Falke-Grundschule;13355;Strelitzer Str. 42;467779960;467779974;info@gustav-falke-schule.de;http://www.gustav-falke-schule.de
01G39;Vineta-Grundschule;13355;Demminer Str. 27;467768660;467768670;info@vineta.schule.berlin.de;http://www.vineta-grundschule.de
01G40;M__see-Grundschule;13351;Afrikanische Str. 123-125;45979210;45979233;sekretariat@moewensee-schule.de;http://www.moewensee-schule.de
01G41;Erika-Mann-Grundschule;13347;Utrechter Str. 25-27;45085510;45085511;erika.mann.grundschule@googlemail.com;http://www.erika-mann-grundschule.com
