lat,lon,coor
52.4866675,13.319723,"(52.4866675, 13.319723)"
52.4890244,13.3224941,"(52.4890244, 13.3224941)"
52.5303395,13.4710823,"(52.5303395, 13.4710823)"
52.5246695,13.4656184,"(52.5246695, 13.4656184)"
52.5237445,13.3986266,"(52.5237445, 13.3986266)"
52.5329853,13.3842822,"(52.5329853, 13.3842822)"
52.51105,13.3887982,"(52.51105, 13.3887982)"
52.5232498,13.4158077,"(52.5232498, 13.4158077)"
52.5216534,13.4100262,"(52.5216534, 13.4100262)"
52.5180249,13.4069563,"(52.5180249, 13.4069563)"
52.5276869,13.5383271,"(52.5276869, 13.5383271)"
52.5421697,13.4411367,"(52.5421697, 13.4411367)"
52.5362734,13.4336585,"(52.5362734, 13.4336585)"
52.5208149,13.4136431,"(52.5208149, 13.4136431)"
52.5235168,13.4018803,"(52.5235168, 13.4018803)"
52.5427503,13.3928618,"(52.5427503, 13.3928618)"
52.4817888,13.5250469,"(52.4817888, 13.5250469)"
52.4610112,13.5209589,"(52.4610112, 13.5209589)"
52.4975011,13.5216425,"(52.4975011, 13.5216425)"
52.5637254,13.3289891,"(52.5637254, 13.3289891)"
52.5122086,13.45327,"(52.5122086, 13.45327)"
52.5072911,13.4677685,"(52.5072911, 13.4677685)"
52.4699818,13.4632351,"(52.4699818, 13.4632351)"
52.5479034,13.2015723,"(52.5479034, 13.2015723)"
52.4127212,13.5714066,"(52.4127212, 13.5714066)"
52.5124738,13.4775156,"(52.5124738, 13.4775156)"
52.5114264,13.5862843,"(52.5114264, 13.5862843)"
52.5123211,13.6119501,"(52.5123211, 13.6119501)"
52.508749,13.6135549,"(52.508749, 13.6135549)"
52.5352609,13.4223153,"(52.5352609, 13.4223153)"
52.6180992,13.2407359,"(52.6180992, 13.2407359)"
52.5508457,13.4143413,"(52.5508457, 13.4143413)"
52.4331872,13.5354903,"(52.4331872, 13.5354903)"
52.5705858,13.5667532,"(52.5705858, 13.5667532)"
52.5369021,13.2030227,"(52.5369021, 13.2030227)"
52.5367341,13.2048418,"(52.5367341, 13.2048418)"
52.5366871,13.2053397,"(52.5366871, 13.2053397)"
52.5379015,13.2044788,"(52.5379015, 13.2044788)"
52.5011008,13.341955,"(52.5011008, 13.341955)"
52.5211784,13.1976345,"(52.5211784, 13.1976345)"
52.5168774,13.3916223,"(52.5168774, 13.3916223)"
52.4573971,13.3209,"(52.4573971, 13.3209)"
52.538325,13.2018907,"(52.538325, 13.2018907)"
52.4837587,13.3849844,"(52.4837587, 13.3849844)"
