lat,lon,coor
52.4799688,13.3384592,"(52.4799688, 13.3384592)"
52.5394411,13.2880437,"(52.5394411, 13.2880437)"
52.521142,13.2416342,"(52.521142, 13.2416342)"
52.5376587,13.2883255,"(52.5376587, 13.2883255)"
52.5553761,13.4307335,"(52.5553761, 13.4307335)"
52.4545448,13.3814584,"(52.4545448, 13.3814584)"
52.3968526,13.4043701,"(52.3968526, 13.4043701)"
52.497182,13.4421727,"(52.497182, 13.4421727)"
52.5537197,13.3595911,"(52.5537197, 13.3595911)"
52.5721259,13.199678,"(52.5721259, 13.199678)"
52.4803608,13.3390601,"(52.4803608, 13.3390601)"
44.2270042,-72.6212214,"(44.2270042, -72.6212214)"
44.202838,-72.6378881,"(44.202838, -72.6378881)"
44.2228371,-72.5387795,"(44.2228371, -72.5387795)"
44.2057227,-72.5604911,"(44.2057227, -72.5604911)"
39.9224741,-78.9473252,"(39.9224741, -78.9473252)"
39.7972135,-74.948264,"(39.7972135, -74.948264)"
44.5114459,-71.1864662,"(44.5114459, -71.1864662)"
44.4681141,-71.1884101,"(44.4681141, -71.1884101)"
44.4836691,-71.1692436,"(44.4836691, -71.1692436)"
44.474836,-71.1746469,"(44.474836, -71.1746469)"
44.4695028,-71.1903545,"(44.4695028, -71.1903545)"
44.4725583,-71.1850769,"(44.4725583, -71.1850769)"
44.4749884,-71.181823,"(44.4749884, -71.181823)"
44.4822802,-71.1886881,"(44.4822802, -71.1886881)"
44.4755806,-71.1822844,"(44.4755806, -71.1822844)"
44.5108906,-71.1445216,"(44.5108906, -71.1445216)"
39.8038488,-74.9479875,"(39.8038488, -74.9479875)"
38.3309486,-75.2115777,"(38.3309486, -75.2115777)"
38.3162266,-75.2215782,"(38.3162266, -75.2215782)"
38.3162733,-75.2210068,"(38.3162733, -75.2210068)"
41.6217656,-72.7817643,"(41.6217656, -72.7817643)"
52.4717574,13.4357615,"(52.4717574, 13.4357615)"
52.4725928,13.4354917,"(52.4725928, 13.4354917)"
52.4618586,13.5233889,"(52.4618586, 13.5233889)"
52.4797318,13.4267486,"(52.4797318, 13.4267486)"
52.445113,13.5170522,"(52.445113, 13.5170522)"
52.5172615,13.5200632,"(52.5172615, 13.5200632)"
52.5116111,13.3149908,"(52.5116111, 13.3149908)"
52.5051161,13.4480863,"(52.5051161, 13.4480863)"
52.5135064,13.3908638,"(52.5135064, 13.3908638)"
52.4615416,13.5133725,"(52.4615416, 13.5133725)"
52.4626158,13.5239055,"(52.4626158, 13.5239055)"
52.5413537,13.4146824,"(52.5413537, 13.4146824)"
52.5353066,13.3982097,"(52.5353066, 13.3982097)"
52.512379,13.4195798,"(52.512379, 13.4195798)"
52.5282109,13.3960922,"(52.5282109, 13.3960922)"
52.541418,13.4494019,"(52.541418, 13.4494019)"
52.4049867,13.5069802,"(52.4049867, 13.5069802)"
52.5071331,13.2791571,"(52.5071331, 13.2791571)"
52.5264226,13.5311243,"(52.5264226, 13.5311243)"
