lat,lon,coor
52.5312448,13.3475136,"(52.5312448, 13.3475136)"
52.5307772,13.4708382,"(52.5307772, 13.4708382)"
52.5155636,13.4041356,"(52.5155636, 13.4041356)"
52.5015358,13.4333992,"(52.5015358, 13.4333992)"
52.5281578,13.538715,"(52.5281578, 13.538715)"
52.5375039,13.2871861,"(52.5375039, 13.2871861)"
42.3831037,-71.635397,"(42.3831037, -71.635397)"
52.5361334,13.2013864,"(52.5361334, 13.2013864)"
52.54722,13.556704,"(52.54722, 13.556704)"
52.5068092,13.369701,"(52.5068092, 13.369701)"
52.5316059,13.3986959,"(52.5316059, 13.3986959)"
52.5055546,13.6127893,"(52.5055546, 13.6127893)"
52.55563,13.4305,"(52.55563, 13.4305)"
52.4767411,13.3258251,"(52.4767411, 13.3258251)"
52.4685223,13.3325044,"(52.4685223, 13.3325044)"
52.5398837,13.3496243,"(52.5398837, 13.3496243)"
52.4978346,13.3019467,"(52.4978346, 13.3019467)"
52.5006833,13.3587022,"(52.5006833, 13.3587022)"
52.5916324,13.3258382,"(52.5916324, 13.3258382)"
52.5504682,13.2698094,"(52.5504682, 13.2698094)"
52.617587,13.3155199,"(52.617587, 13.3155199)"
52.4473892,13.3571434,"(52.4473892, 13.3571434)"
52.4791322,13.3211029,"(52.4791322, 13.3211029)"
52.4389996,13.3866799,"(52.4389996, 13.3866799)"
52.3853393,13.4057689,"(52.3853393, 13.4057689)"
52.5602005,13.3607718,"(52.5602005, 13.3607718)"
52.504493,13.2870406,"(52.504493, 13.2870406)"
52.4823986,13.2910551,"(52.4823986, 13.2910551)"
52.447636,13.3274376,"(52.447636, 13.3274376)"
52.4600379,13.3784317,"(52.4600379, 13.3784317)"
52.453963,13.144791,"(52.453963, 13.144791)"
52.5118671,13.1858413,"(52.5118671, 13.1858413)"
52.4226447,13.4505383,"(52.4226447, 13.4505383)"
52.4182906,13.4160335,"(52.4182906, 13.4160335)"
52.5082915,13.3139551,"(52.5082915, 13.3139551)"
52.4594287,13.286726,"(52.4594287, 13.286726)"
52.4376136,13.2192643,"(52.4376136, 13.2192643)"
52.4939543,13.3268807,"(52.4939543, 13.3268807)"
52.55894,13.1822088,"(52.55894, 13.1822088)"
52.5414858,13.267403,"(52.5414858, 13.267403)"
52.4561079,13.3186112,"(52.4561079, 13.3186112)"
52.4053643,13.4022689,"(52.4053643, 13.4022689)"
52.4958996,13.3431121,"(52.4958996, 13.3431121)"
52.4653362,13.1275935,"(52.4653362, 13.1275935)"
52.60932,13.33509,"(52.60932, 13.33509)"
52.4947329,13.3392604,"(52.4947329, 13.3392604)"
52.5506042,13.1782775,"(52.5506042, 13.1782775)"
52.5299838,13.3315829,"(52.5299838, 13.3315829)"
52.4663348,13.4363771,"(52.4663348, 13.4363771)"
52.4603819,13.3204746,"(52.4603819, 13.3204746)"
52.4878741,13.3526806,"(52.4878741, 13.3526806)"
52.582212,13.3890021,"(52.582212, 13.3890021)"
52.529794,13.3156844,"(52.529794, 13.3156844)"
52.4726664,13.3246757,"(52.4726664, 13.3246757)"
52.4713145,13.4318601,"(52.4713145, 13.4318601)"
52.4883013,13.3508734,"(52.4883013, 13.3508734)"
52.4770404,13.419956,"(52.4770404, 13.419956)"
52.4459867,13.3079431,"(52.4459867, 13.3079431)"
52.5141335,13.2895477,"(52.5141335, 13.2895477)"
52.4939862,13.4015118,"(52.4939862, 13.4015118)"
52.4942784,13.4172573,"(52.4942784, 13.4172573)"
52.4693894,13.4316805,"(52.4693894, 13.4316805)"
52.48884,13.40019,"(52.48884, 13.40019)"
52.4758505,13.3258095,"(52.4758505, 13.3258095)"
52.5466679,13.4152842,"(52.5466679, 13.4152842)"
52.575228,13.3545645,"(52.575228, 13.3545645)"
52.4874788,13.3936034,"(52.4874788, 13.3936034)"
52.4941875,13.4189042,"(52.4941875, 13.4189042)"
52.4883261,13.5243187,"(52.4883261, 13.5243187)"
52.5214934,13.3518167,"(52.5214934, 13.3518167)"
52.5027488,13.3614793,"(52.5027488, 13.3614793)"
52.5238536,13.302174,"(52.5238536, 13.302174)"
52.5167272,13.2932159,"(52.5167272, 13.2932159)"
52.5557638,13.204318,"(52.5557638, 13.204318)"
52.4796947,13.4230255,"(52.4796947, 13.4230255)"
52.4876781,13.3742344,"(52.4876781, 13.3742344)"
52.4173,13.3225,"(52.4173, 13.3225)"
52.4856365,13.3636446,"(52.4856365, 13.3636446)"
52.4801079,13.3214015,"(52.4801079, 13.3214015)"
52.5620245,13.3606221,"(52.5620245, 13.3606221)"
52.5526169,13.3849388,"(52.5526169, 13.3849388)"
52.6106394,13.2474774,"(52.6106394, 13.2474774)"
52.4172709,13.4016881,"(52.4172709, 13.4016881)"
52.4625536,13.5883783,"(52.4625536, 13.5883783)"
52.5423844,13.4158361,"(52.5423844, 13.4158361)"
52.4803423,13.348152,"(52.4803423, 13.348152)"
52.5261266,13.1805079,"(52.5261266, 13.1805079)"
52.4882528,13.3502754,"(52.4882528, 13.3502754)"
52.4901804,13.3518841,"(52.4901804, 13.3518841)"
52.4839742,13.3537357,"(52.4839742, 13.3537357)"
52.565144,13.3900088,"(52.565144, 13.3900088)"
52.490697,13.3917197,"(52.490697, 13.3917197)"
52.587628,13.402719,"(52.587628, 13.402719)"
52.5357939,13.4099167,"(52.5357939, 13.4099167)"
52.5422722,13.3594086,"(52.5422722, 13.3594086)"
52.5336213,13.433538,"(52.5336213, 13.433538)"
52.4932675,13.3908493,"(52.4932675, 13.3908493)"
52.5037708,13.5007695,"(52.5037708, 13.5007695)"
52.5045355,13.5076773,"(52.5045355, 13.5076773)"
52.5032947,13.2637921,"(52.5032947, 13.2637921)"
52.4957971,13.2661489,"(52.4957971, 13.2661489)"
52.5477809,13.208227,"(52.5477809, 13.208227)"
52.5010503,13.3022633,"(52.5010503, 13.3022633)"
52.5275438,13.3429994,"(52.5275438, 13.3429994)"
52.5176797,13.2942317,"(52.5176797, 13.2942317)"
52.5216126,13.3356677,"(52.5216126, 13.3356677)"
52.5164659,13.1952586,"(52.5164659, 13.1952586)"
52.5049186,13.2948594,"(52.5049186, 13.2948594)"
52.5234054,13.3338166,"(52.5234054, 13.3338166)"
52.505181,13.2993874,"(52.505181, 13.2993874)"
52.4929437,13.3518427,"(52.4929437, 13.3518427)"
52.496631,13.2957936,"(52.496631, 13.2957936)"
52.5687747,13.3978691,"(52.5687747, 13.3978691)"
52.5190368,13.3158255,"(52.5190368, 13.3158255)"
52.4527716,13.6266929,"(52.4527716, 13.6266929)"
52.5400602,13.3500158,"(52.5400602, 13.3500158)"
52.4775212,13.4215214,"(52.4775212, 13.4215214)"
