lat,lon,coor
42.3806347,-71.6401961,"(42.3806347, -71.6401961)"
52.4279888,13.3475413,"(52.4279888, 13.3475413)"
52.5094432,13.2679424,"(52.5094432, 13.2679424)"
44.470614,-71.1789656,"(44.470614, -71.1789656)"
44.4700584,-71.1800768,"(44.4700584, -71.1800768)"
52.4937205,13.3855667,"(52.4937205, 13.3855667)"
52.5155582,13.4615218,"(52.5155582, 13.4615218)"
52.4980912,13.3311587,"(52.4980912, 13.3311587)"
52.5049609,13.5583995,"(52.5049609, 13.5583995)"
52.4984261,13.4476465,"(52.4984261, 13.4476465)"
52.6326689,13.4953364,"(52.6326689, 13.4953364)"
52.5420112,13.428132,"(52.5420112, 13.428132)"
52.4937197,13.3854247,"(52.4937197, 13.3854247)"
52.5160574,13.4801012,"(52.5160574, 13.4801012)"
41.6264401,-72.7749917,"(41.6264401, -72.7749917)"
52.4822529,13.3853201,"(52.4822529, 13.3853201)"
31.0689058,-83.6235108,"(31.0689058, -83.6235108)"
52.51868,13.4135828,"(52.51868, 13.4135828)"
52.5188147,13.4134492,"(52.5188147, 13.4134492)"
52.3855262,13.3981864,"(52.3855262, 13.3981864)"
