lat,lon,coor
52.6231382,13.2375625,"(52.6231382, 13.2375625)"
52.4426607,13.2963669,"(52.4426607, 13.2963669)"
52.4499741,13.1450918,"(52.4499741, 13.1450918)"
52.5075585,13.3130101,"(52.5075585, 13.3130101)"
52.4616603,13.4160782,"(52.4616603, 13.4160782)"
52.4651807,13.4359157,"(52.4651807, 13.4359157)"
52.4396916,13.5001666,"(52.4396916, 13.5001666)"
52.5151416,13.4909414,"(52.5151416, 13.4909414)"
52.5037269,13.3640559,"(52.5037269, 13.3640559)"
52.5669204,13.4057435,"(52.5669204, 13.4057435)"
52.5265648,13.3630997,"(52.5265648, 13.3630997)"
52.5026297,13.4133911,"(52.5026297, 13.4133911)"
52.5027923,13.4132967,"(52.5027923, 13.4132967)"
52.5721447,13.4169764,"(52.5721447, 13.4169764)"
52.4392932,13.2152977,"(52.4392932, 13.2152977)"
52.5410106,13.348698,"(52.5410106, 13.348698)"
52.4992496,13.3531334,"(52.4992496, 13.3531334)"
52.6104915,13.4832985,"(52.6104915, 13.4832985)"
52.4980024,13.4119949,"(52.4980024, 13.4119949)"
52.4983468,13.4110617,"(52.4983468, 13.4110617)"
52.4164834,13.3624025,"(52.4164834, 13.3624025)"
52.5004273,13.505243,"(52.5004273, 13.505243)"
52.4227868,13.4352588,"(52.4227868, 13.4352588)"
52.5274543,13.4483964,"(52.5274543, 13.4483964)"
52.5165191,13.3024663,"(52.5165191, 13.3024663)"
52.5874574,13.2861622,"(52.5874574, 13.2861622)"
52.47781,13.3717015,"(52.47781, 13.3717015)"
52.5151646,13.4511418,"(52.5151646, 13.4511418)"
52.4478927,13.327585,"(52.4478927, 13.327585)"
52.4817769,13.3452805,"(52.4817769, 13.3452805)"
52.5143218,13.4958549,"(52.5143218, 13.4958549)"
52.5422772,13.3473804,"(52.5422772, 13.3473804)"
52.5011266,13.296388,"(52.5011266, 13.296388)"
52.5530219,13.5151415,"(52.5530219, 13.5151415)"
52.5369549,13.2044575,"(52.5369549, 13.2044575)"
52.5455373,13.2375323,"(52.5455373, 13.2375323)"
52.5670193,13.3880871,"(52.5670193, 13.3880871)"
52.5310817,13.3857661,"(52.5310817, 13.3857661)"
52.5658707,13.3946798,"(52.5658707, 13.3946798)"
52.5120437,13.5180094,"(52.5120437, 13.5180094)"
52.4766032,13.3158527,"(52.4766032, 13.3158527)"
52.5373695,13.4514281,"(52.5373695, 13.4514281)"
52.5466232,13.3581741,"(52.5466232, 13.3581741)"
52.5810182,13.4026001,"(52.5810182, 13.4026001)"
52.4680392,13.3418882,"(52.4680392, 13.3418882)"
52.4790049,13.4249089,"(52.4790049, 13.4249089)"
52.4339776,13.5436635,"(52.4339776, 13.5436635)"
52.4820101,13.317047,"(52.4820101, 13.317047)"
52.5503565,13.4710151,"(52.5503565, 13.4710151)"
52.5255244,13.3985387,"(52.5255244, 13.3985387)"
52.5197054,13.4783547,"(52.5197054, 13.4783547)"
52.5845816,13.4000825,"(52.5845816, 13.4000825)"
52.492212,13.3172694,"(52.492212, 13.3172694)"
52.4746508,13.4519297,"(52.4746508, 13.4519297)"
52.5395307,13.3562168,"(52.5395307, 13.3562168)"
52.527514,13.5419927,"(52.527514, 13.5419927)"
52.526536,13.5406885,"(52.526536, 13.5406885)"
