lat,lon,coor
52.401683,13.5743044,"(52.401683, 13.5743044)"
52.5336632,13.3536389,"(52.5336632, 13.3536389)"
52.5049589,13.3905699,"(52.5049589, 13.3905699)"
52.4874763,13.3206793,"(52.4874763, 13.3206793)"
52.4276915,13.3475906,"(52.4276915, 13.3475906)"
52.5280167,13.2269115,"(52.5280167, 13.2269115)"
52.479156,13.4347588,"(52.479156, 13.4347588)"
52.5118289,13.4445489,"(52.5118289, 13.4445489)"
42.3810342,-71.6400489,"(42.3810342, -71.6400489)"
52.5449832,13.209816,"(52.5449832, 13.209816)"
52.4927836,13.4545527,"(52.4927836, 13.4545527)"
52.4367173,13.716157,"(52.4367173, 13.716157)"
52.5090538,13.2959809,"(52.5090538, 13.2959809)"
52.5169714,13.4150578,"(52.5169714, 13.4150578)"
52.5265525,13.3891997,"(52.5265525, 13.3891997)"
52.6065955,13.2114269,"(52.6065955, 13.2114269)"
52.5707478,13.2289022,"(52.5707478, 13.2289022)"
52.6111032,13.4830902,"(52.6111032, 13.4830902)"
52.5209198,13.2042449,"(52.5209198, 13.2042449)"
52.4642428,13.5123721,"(52.4642428, 13.5123721)"
52.484016,13.5206765,"(52.484016, 13.5206765)"
52.4194509,13.4783085,"(52.4194509, 13.4783085)"
44.1998904,-72.6344975,"(44.1998904, -72.6344975)"
41.5848659,-72.8036982,"(41.5848659, -72.8036982)"
41.6157765,-72.7182219,"(41.6157765, -72.7182219)"
39.7907156,-74.9277397,"(39.7907156, -74.9277397)"
39.7907018,-74.9277523,"(39.7907018, -74.9277523)"
38.34351,-75.2241122,"(38.34351, -75.2241122)"
52.4838386,13.520221,"(52.4838386, 13.520221)"
52.5093215,13.4968683,"(52.5093215, 13.4968683)"
52.5085216,13.3336775,"(52.5085216, 13.3336775)"
52.513314,13.238435,"(52.513314, 13.238435)"
52.5406884,13.3671406,"(52.5406884, 13.3671406)"
52.524282,13.4156959,"(52.524282, 13.4156959)"
52.5379765,13.4523417,"(52.5379765, 13.4523417)"
52.5448495,13.2103551,"(52.5448495, 13.2103551)"
52.627041,13.484559,"(52.627041, 13.484559)"
52.5220276,13.3659377,"(52.5220276, 13.3659377)"
52.6171547,13.2446746,"(52.6171547, 13.2446746)"
52.5094753,13.4353317,"(52.5094753, 13.4353317)"
39.9214768,-78.9547946,"(39.9214768, -78.9547946)"
41.6267576,-72.7754339,"(41.6267576, -72.7754339)"
52.3757756,13.648458,"(52.3757756, 13.648458)"
52.5122072,13.444588,"(52.5122072, 13.444588)"
52.5017233,13.3325773,"(52.5017233, 13.3325773)"
52.4689781,13.4384198,"(52.4689781, 13.4384198)"
52.5095529,13.5564884,"(52.5095529, 13.5564884)"
31.0687955,-83.6235135,"(31.0687955, -83.6235135)"
52.4439347,13.3803699,"(52.4439347, 13.3803699)"
52.5534804,13.2845536,"(52.5534804, 13.2845536)"
52.495526,13.4032215,"(52.495526, 13.4032215)"
52.4955406,13.4029642,"(52.4955406, 13.4029642)"
52.5875384,13.3410448,"(52.5875384, 13.3410448)"
52.4296508,13.3802828,"(52.4296508, 13.3802828)"
52.5866698,13.2860944,"(52.5866698, 13.2860944)"
52.5091185,13.2960373,"(52.5091185, 13.2960373)"
52.5117447,13.4446081,"(52.5117447, 13.4446081)"
