lat,lon,coor
52.5495479,13.571724,"(52.5495479, 13.571724)"
52.5846088,13.3117903,"(52.5846088, 13.3117903)"
52.5467638,13.4425034,"(52.5467638, 13.4425034)"
52.4799991,13.3051873,"(52.4799991, 13.3051873)"
52.4429012,13.3296947,"(52.4429012, 13.3296947)"
52.43395,13.4691087,"(52.43395, 13.4691087)"
52.4612367,13.5126209,"(52.4612367, 13.5126209)"
52.5195649,13.4670158,"(52.5195649, 13.4670158)"
52.5194918,13.4678484,"(52.5194918, 13.4678484)"
52.5201789,13.209132,"(52.5201789, 13.209132)"
52.4945212,13.4043253,"(52.4945212, 13.4043253)"
52.5313803,13.4251219,"(52.5313803, 13.4251219)"
52.5284363,13.1338082,"(52.5284363, 13.1338082)"
52.5074247,13.4221092,"(52.5074247, 13.4221092)"
52.5368636,13.2701899,"(52.5368636, 13.2701899)"
52.5361874,13.4746956,"(52.5361874, 13.4746956)"
52.4973462,13.3439273,"(52.4973462, 13.3439273)"
52.4964457,13.4221664,"(52.4964457, 13.4221664)"
52.5109192,13.2101239,"(52.5109192, 13.2101239)"
52.5646251,13.3249268,"(52.5646251, 13.3249268)"
52.5106334,13.5345727,"(52.5106334, 13.5345727)"
52.4908163,13.3084939,"(52.4908163, 13.3084939)"
52.5021593,13.3080794,"(52.5021593, 13.3080794)"
52.5508931,13.3539279,"(52.5508931, 13.3539279)"
52.4595009,13.3149877,"(52.4595009, 13.3149877)"
52.4031371,13.5072516,"(52.4031371, 13.5072516)"
52.4797986,13.3454215,"(52.4797986, 13.3454215)"
52.4440686,13.3153344,"(52.4440686, 13.3153344)"
52.5005987,13.2943126,"(52.5005987, 13.2943126)"
52.4644342,13.3269685,"(52.4644342, 13.3269685)"
52.4866726,13.3283724,"(52.4866726, 13.3283724)"
52.4648869,13.3277034,"(52.4648869, 13.3277034)"
52.4190685,13.3592598,"(52.4190685, 13.3592598)"
52.4221861,13.3583522,"(52.4221861, 13.3583522)"
52.5123998,13.3908216,"(52.5123998, 13.3908216)"
52.5218057,13.4988651,"(52.5218057, 13.4988651)"
52.536244,13.3989044,"(52.536244, 13.3989044)"
52.5045718,13.3373165,"(52.5045718, 13.3373165)"
52.4609717,13.3250803,"(52.4609717, 13.3250803)"
52.5110587,13.4488022,"(52.5110587, 13.4488022)"
52.4927563,13.4142438,"(52.4927563, 13.4142438)"
52.464632,13.3272099,"(52.464632, 13.3272099)"
52.4616006,13.5127271,"(52.4616006, 13.5127271)"
52.5054221,13.3674272,"(52.5054221, 13.3674272)"
52.5123529,13.477944,"(52.5123529, 13.477944)"
52.4374123,13.2638613,"(52.4374123, 13.2638613)"
52.4378498,13.2641914,"(52.4378498, 13.2641914)"
52.5100356,13.4548892,"(52.5100356, 13.4548892)"
52.53338,13.198009,"(52.53338, 13.198009)"
52.5064594,13.289703,"(52.5064594, 13.289703)"
52.4794909,13.4327678,"(52.4794909, 13.4327678)"
52.4296407,13.2611651,"(52.4296407, 13.2611651)"
52.5496432,13.4147198,"(52.5496432, 13.4147198)"
52.6073684,13.4199703,"(52.6073684, 13.4199703)"
52.5293516,13.425576,"(52.5293516, 13.425576)"
52.5573727,13.3638597,"(52.5573727, 13.3638597)"
52.5129482,13.4409043,"(52.5129482, 13.4409043)"
52.5072487,13.3262582,"(52.5072487, 13.3262582)"
52.470673,13.3310663,"(52.470673, 13.3310663)"
52.5372216,13.2060342,"(52.5372216, 13.2060342)"
52.4772069,13.2895103,"(52.4772069, 13.2895103)"
52.5083534,13.3059323,"(52.5083534, 13.3059323)"
52.5186131,13.4160003,"(52.5186131, 13.4160003)"
52.5537674,13.3604139,"(52.5537674, 13.3604139)"
52.4934118,13.3886695,"(52.4934118, 13.3886695)"
52.4151006,13.3592842,"(52.4151006, 13.3592842)"
52.4089916,13.3775391,"(52.4089916, 13.3775391)"
52.4223527,13.4379849,"(52.4223527, 13.4379849)"
52.4246387,13.3507353,"(52.4246387, 13.3507353)"
52.5052223,13.6123631,"(52.5052223, 13.6123631)"
52.5391543,13.4215361,"(52.5391543, 13.4215361)"
52.4897726,13.3930155,"(52.4897726, 13.3930155)"
52.5134647,13.4747832,"(52.5134647, 13.4747832)"
