lat,lon,coor
52.5250027,13.3354981,"(52.5250027, 13.3354981)"
52.550683,13.334696,"(52.550683, 13.334696)"
52.5185032,13.4062678,"(52.5185032, 13.4062678)"
52.5175448,13.3738695,"(52.5175448, 13.3738695)"
52.5639385,13.3267121,"(52.5639385, 13.3267121)"
52.5445379,13.2762041,"(52.5445379, 13.2762041)"
52.5220147,13.4003281,"(52.5220147, 13.4003281)"
52.5096874,13.2725671,"(52.5096874, 13.2725671)"
52.4477899,13.2288157,"(52.4477899, 13.2288157)"
52.5279323,13.5380241,"(52.5279323, 13.5380241)"
52.5289801,13.3781221,"(52.5289801, 13.3781221)"
52.4668119,13.2260813,"(52.4668119, 13.2260813)"
52.4395401,13.1772821,"(52.4395401, 13.1772821)"
52.4373163,13.1773459,"(52.4373163, 13.1773459)"
52.4405511,13.1773664,"(52.4405511, 13.1773664)"
52.4702891,13.464036,"(52.4702891, 13.464036)"
52.4874875,13.4642879,"(52.4874875, 13.4642879)"
52.4811845,13.3633629,"(52.4811845, 13.3633629)"
52.5414216,13.2056731,"(52.5414216, 13.2056731)"
52.5383167,13.201168,"(52.5383167, 13.201168)"
52.484303,13.3527148,"(52.484303, 13.3527148)"
52.52942,13.59154,"(52.52942, 13.59154)"
52.4958545,13.4197605,"(52.4958545, 13.4197605)"
52.4303983,13.1214072,"(52.4303983, 13.1214072)"
52.4798387,13.2072973,"(52.4798387, 13.2072973)"
52.5368873,13.2050138,"(52.5368873, 13.2050138)"
52.4389743,13.3431051,"(52.4389743, 13.3431051)"
52.4238362,13.2163673,"(52.4238362, 13.2163673)"
52.4786729,13.343464,"(52.4786729, 13.343464)"
52.5172132,13.5138306,"(52.5172132, 13.5138306)"
52.5150386,13.5088114,"(52.5150386, 13.5088114)"
52.4982552,13.2855929,"(52.4982552, 13.2855929)"
52.5361522,13.294005,"(52.5361522, 13.294005)"
52.5335657,13.4370659,"(52.5335657, 13.4370659)"
52.4948538,13.3536461,"(52.4948538, 13.3536461)"
52.4276629,13.3260671,"(52.4276629, 13.3260671)"
52.5163697,13.3755165,"(52.5163697, 13.3755165)"
