lat,lon,coor
52.5448333,13.5580236,"(52.5448333, 13.5580236)"
52.5451018,13.5577215,"(52.5451018, 13.5577215)"
52.4188459,13.2501119,"(52.4188459, 13.2501119)"
52.5320235,13.399477,"(52.5320235, 13.399477)"
52.4239824,13.6292634,"(52.4239824, 13.6292634)"
52.4738933,13.5702537,"(52.4738933, 13.5702537)"
52.5405285,13.1325344,"(52.5405285, 13.1325344)"
52.5145532,13.5076501,"(52.5145532, 13.5076501)"
52.5753443,13.3056817,"(52.5753443, 13.3056817)"
52.5769229,13.3073332,"(52.5769229, 13.3073332)"
52.5720694,13.308858,"(52.5720694, 13.308858)"
52.5666141,13.3170693,"(52.5666141, 13.3170693)"
52.5715952,13.3115873,"(52.5715952, 13.3115873)"
52.5750263,13.313109,"(52.5750263, 13.313109)"
52.5744835,13.3144357,"(52.5744835, 13.3144357)"
52.4353784,13.2894251,"(52.4353784, 13.2894251)"
52.4369525,13.293536,"(52.4369525, 13.293536)"
52.4376344,13.2951877,"(52.4376344, 13.2951877)"
52.541267,13.1473195,"(52.541267, 13.1473195)"
52.4273331,13.3645202,"(52.4273331, 13.3645202)"
52.5760245,13.3324649,"(52.5760245, 13.3324649)"
52.583405,13.320502,"(52.583405, 13.320502)"
52.4724288,13.4287713,"(52.4724288, 13.4287713)"
52.5888336,13.3249857,"(52.5888336, 13.3249857)"
52.5769523,13.2945601,"(52.5769523, 13.2945601)"
52.5752855,13.3476073,"(52.5752855, 13.3476073)"
52.5745686,13.3470724,"(52.5745686, 13.3470724)"
52.4947408,13.1995997,"(52.4947408, 13.1995997)"
52.5752247,13.3379243,"(52.5752247, 13.3379243)"
52.5793491,13.3334673,"(52.5793491, 13.3334673)"
52.5791133,13.3088746,"(52.5791133, 13.3088746)"
52.5815915,13.3048887,"(52.5815915, 13.3048887)"
52.5841438,13.3025046,"(52.5841438, 13.3025046)"
52.5840935,13.3096501,"(52.5840935, 13.3096501)"
52.5884912,13.2884033,"(52.5884912, 13.2884033)"
52.520028,13.3555091,"(52.520028, 13.3555091)"
52.5265254,13.3543717,"(52.5265254, 13.3543717)"
52.5267626,13.3546541,"(52.5267626, 13.3546541)"
52.6342264,13.4971975,"(52.6342264, 13.4971975)"
52.6345649,13.4971351,"(52.6345649, 13.4971351)"
52.6309676,13.4993301,"(52.6309676, 13.4993301)"
52.6300355,13.4990918,"(52.6300355, 13.4990918)"
52.5383386,13.2008101,"(52.5383386, 13.2008101)"
52.5356604,13.1997152,"(52.5356604, 13.1997152)"
52.5420828,13.2061876,"(52.5420828, 13.2061876)"
52.5419316,13.2055836,"(52.5419316, 13.2055836)"
52.5450261,13.2076508,"(52.5450261, 13.2076508)"
52.5455615,13.2085052,"(52.5455615, 13.2085052)"
52.5482516,13.2010101,"(52.5482516, 13.2010101)"
