lat,lon,coor
52.5635192,13.3422935,"(52.5635192, 13.3422935)"
52.5599045,13.3170867,"(52.5599045, 13.3170867)"
52.5754097,13.3392778,"(52.5754097, 13.3392778)"
52.5730067,13.3595757,"(52.5730067, 13.3595757)"
52.5818183,13.4287678,"(52.5818183, 13.4287678)"
52.5143746,13.3364504,"(52.5143746, 13.3364504)"
52.515661,13.4742384,"(52.515661, 13.4742384)"
52.5237432,13.4648885,"(52.5237432, 13.4648885)"
52.5142146,13.4194925,"(52.5142146, 13.4194925)"
52.4977737,13.2818558,"(52.4977737, 13.2818558)"
52.6116707,13.3174434,"(52.6116707, 13.3174434)"
52.6075234,13.3242424,"(52.6075234, 13.3242424)"
52.5304677,13.299264,"(52.5304677, 13.299264)"
52.5180135,13.2844201,"(52.5180135, 13.2844201)"
52.5486588,13.3894369,"(52.5486588, 13.3894369)"
52.4320176,13.1930501,"(52.4320176, 13.1930501)"
52.4660884,13.3860197,"(52.4660884, 13.3860197)"
52.4214071,13.1798077,"(52.4214071, 13.1798077)"
52.463822,13.3318837,"(52.463822, 13.3318837)"
52.4936372,13.3041907,"(52.4936372, 13.3041907)"
52.5155249,13.3513134,"(52.5155249, 13.3513134)"
52.4455653,13.3298163,"(52.4455653, 13.3298163)"
52.4765537,13.28197,"(52.4765537, 13.28197)"
52.4771839,13.2807311,"(52.4771839, 13.2807311)"
52.4975638,13.2831574,"(52.4975638, 13.2831574)"
52.5052308,13.3364722,"(52.5052308, 13.3364722)"
52.5230995,13.2997182,"(52.5230995, 13.2997182)"
52.5128874,13.29701,"(52.5128874, 13.29701)"
52.5051048,13.3368513,"(52.5051048, 13.3368513)"
52.5349384,13.2981107,"(52.5349384, 13.2981107)"
52.486651,13.2714933,"(52.486651, 13.2714933)"
52.4653557,13.314052,"(52.4653557, 13.314052)"
52.4708485,13.3282799,"(52.4708485, 13.3282799)"
52.5067462,13.2789868,"(52.5067462, 13.2789868)"
52.5078537,13.2598587,"(52.5078537, 13.2598587)"
52.5088686,13.2724344,"(52.5088686, 13.2724344)"
52.4322811,13.2589892,"(52.4322811, 13.2589892)"
52.4348398,13.2613783,"(52.4348398, 13.2613783)"
52.4364446,13.2739864,"(52.4364446, 13.2739864)"
52.4550478,13.3217837,"(52.4550478, 13.3217837)"
52.452451,13.3195499,"(52.452451, 13.3195499)"
52.4564804,13.3222498,"(52.4564804, 13.3222498)"
52.467399,13.3370997,"(52.467399, 13.3370997)"
52.4673717,13.3367371,"(52.4673717, 13.3367371)"
52.4703937,13.3409812,"(52.4703937, 13.3409812)"
52.4503065,13.2690559,"(52.4503065, 13.2690559)"
52.4510332,13.281851,"(52.4510332, 13.281851)"
52.5134627,13.3206155,"(52.5134627, 13.3206155)"
52.5101503,13.2276304,"(52.5101503, 13.2276304)"
52.402131,13.52189,"(52.402131, 13.52189)"
52.488627,13.3002415,"(52.488627, 13.3002415)"
52.5933337,13.2811083,"(52.5933337, 13.2811083)"
52.5298289,13.3626412,"(52.5298289, 13.3626412)"
52.5368182,13.2939716,"(52.5368182, 13.2939716)"
52.5441714,13.313157,"(52.5441714, 13.313157)"
52.5154139,13.3514252,"(52.5154139, 13.3514252)"
52.4203295,13.1742621,"(52.4203295, 13.1742621)"
52.5697129,13.3005224,"(52.5697129, 13.3005224)"
52.5881388,13.2898709,"(52.5881388, 13.2898709)"
52.4789576,13.3512735,"(52.4789576, 13.3512735)"
52.4797246,13.3529104,"(52.4797246, 13.3529104)"
52.5229912,13.4724884,"(52.5229912, 13.4724884)"
52.5780444,13.3291599,"(52.5780444, 13.3291599)"
52.5778081,13.3507727,"(52.5778081, 13.3507727)"
52.4882479,13.2610104,"(52.4882479, 13.2610104)"
52.5238455,13.1449355,"(52.5238455, 13.1449355)"
