lat,lon,coor
52.5343784,13.3596231,"(52.5343784, 13.3596231)"
52.4940425,13.4291868,"(52.4940425, 13.4291868)"
52.5239216,13.3888786,"(52.5239216, 13.3888786)"
52.5236239,13.3886211,"(52.5236239, 13.3886211)"
52.5206669,13.3885051,"(52.5206669, 13.3885051)"
52.5207714,13.3889021,"(52.5207714, 13.3889021)"
52.5839192,13.2860048,"(52.5839192, 13.2860048)"
52.5088651,13.2707514,"(52.5088651, 13.2707514)"
52.5417516,13.5420275,"(52.5417516, 13.5420275)"
52.4990938,13.3862714,"(52.4990938, 13.3862714)"
52.5258112,13.4011409,"(52.5258112, 13.4011409)"
52.5129109,13.4581955,"(52.5129109, 13.4581955)"
52.5258984,13.4114358,"(52.5258984, 13.4114358)"
52.5354787,13.2023117,"(52.5354787, 13.2023117)"
52.5182037,13.4399455,"(52.5182037, 13.4399455)"
52.51314,13.6120626,"(52.51314, 13.6120626)"
52.5310025,13.3415438,"(52.5310025, 13.3415438)"
52.4888821,13.4193079,"(52.4888821, 13.4193079)"
52.504397,13.3096797,"(52.504397, 13.3096797)"
52.5426359,13.3760936,"(52.5426359, 13.3760936)"
52.436796,13.2133169,"(52.436796, 13.2133169)"
52.5385009,13.2063427,"(52.5385009, 13.2063427)"
52.4986606,13.3022747,"(52.4986606, 13.3022747)"
52.4976425,13.4430035,"(52.4976425, 13.4430035)"
52.4620593,13.5121795,"(52.4620593, 13.5121795)"
52.5488199,13.4509296,"(52.5488199, 13.4509296)"
52.5142329,13.4721701,"(52.5142329, 13.4721701)"
52.5121441,13.3083771,"(52.5121441, 13.3083771)"
52.5170913,13.4782731,"(52.5170913, 13.4782731)"
52.4669397,13.3286196,"(52.4669397, 13.3286196)"
52.5354615,13.2024584,"(52.5354615, 13.2024584)"
52.5565128,13.2192364,"(52.5565128, 13.2192364)"
52.4881169,13.366735,"(52.4881169, 13.366735)"
52.5067663,13.3084282,"(52.5067663, 13.3084282)"
52.5377975,13.6041151,"(52.5377975, 13.6041151)"
52.4873738,13.3883479,"(52.4873738, 13.3883479)"
52.5156648,13.3869856,"(52.5156648, 13.3869856)"
52.5178579,13.4210525,"(52.5178579, 13.4210525)"
52.4899914,13.4101466,"(52.4899914, 13.4101466)"
52.4819661,13.4316965,"(52.4819661, 13.4316965)"
52.5364987,13.4077602,"(52.5364987, 13.4077602)"
52.5240474,13.4019658,"(52.5240474, 13.4019658)"
52.5245664,13.4018422,"(52.5245664, 13.4018422)"
52.5393931,13.4136715,"(52.5393931, 13.4136715)"
52.5243546,13.3819066,"(52.5243546, 13.3819066)"
52.5015918,13.4146103,"(52.5015918, 13.4146103)"
52.5006568,13.4169229,"(52.5006568, 13.4169229)"
52.5401363,13.4788778,"(52.5401363, 13.4788778)"
52.4863303,13.3593976,"(52.4863303, 13.3593976)"
52.4930489,13.3853593,"(52.4930489, 13.3853593)"
52.5101819,13.2889708,"(52.5101819, 13.2889708)"
52.5226914,13.3893996,"(52.5226914, 13.3893996)"
52.5803587,13.401489,"(52.5803587, 13.401489)"
52.4295254,13.4554457,"(52.4295254, 13.4554457)"
52.4015333,13.5704821,"(52.4015333, 13.5704821)"
52.487144,13.3896483,"(52.487144, 13.3896483)"
52.5166946,13.4650587,"(52.5166946, 13.4650587)"
52.5166137,13.464371,"(52.5166137, 13.464371)"
52.5202013,13.412224,"(52.5202013, 13.412224)"
52.5265708,13.3184681,"(52.5265708, 13.3184681)"
52.5525596,13.4305846,"(52.5525596, 13.4305846)"
52.4903342,13.4234006,"(52.4903342, 13.4234006)"
52.5583825,13.413048,"(52.5583825, 13.413048)"
52.4733641,13.3223214,"(52.4733641, 13.3223214)"
52.4774811,13.439406,"(52.4774811, 13.439406)"
52.4775631,13.439333,"(52.4775631, 13.439333)"
52.5391566,13.4136686,"(52.5391566, 13.4136686)"
52.5398931,13.4132909,"(52.5398931, 13.4132909)"
52.5399039,13.4136365,"(52.5399039, 13.4136365)"
52.5207515,13.447355,"(52.5207515, 13.447355)"
52.481627,13.4523191,"(52.481627, 13.4523191)"
52.5398598,13.4107279,"(52.5398598, 13.4107279)"
52.620441,13.3558874,"(52.620441, 13.3558874)"
52.4519118,13.5320915,"(52.4519118, 13.5320915)"
52.5127673,13.3892817,"(52.5127673, 13.3892817)"
52.5185239,13.3954981,"(52.5185239, 13.3954981)"
52.4608983,13.5130035,"(52.4608983, 13.5130035)"
52.5061225,13.3285705,"(52.5061225, 13.3285705)"
52.49298,13.5343392,"(52.49298, 13.5343392)"
52.5003845,13.4197383,"(52.5003845, 13.4197383)"
52.5336588,13.4008151,"(52.5336588, 13.4008151)"
52.535733,13.398065,"(52.535733, 13.398065)"
52.524042,13.402083,"(52.524042, 13.402083)"
52.5103384,13.323503,"(52.5103384, 13.323503)"
52.5232893,13.3874786,"(52.5232893, 13.3874786)"
52.435842,13.547897,"(52.435842, 13.547897)"
52.5009791,13.4657857,"(52.5009791, 13.4657857)"
52.5010314,13.4657118,"(52.5010314, 13.4657118)"
52.4477346,13.4496581,"(52.4477346, 13.4496581)"
52.4758846,13.4242092,"(52.4758846, 13.4242092)"
52.5443562,13.3273403,"(52.5443562, 13.3273403)"
52.5040614,13.4234804,"(52.5040614, 13.4234804)"
52.4787966,13.4280286,"(52.4787966, 13.4280286)"
52.4936415,13.4397016,"(52.4936415, 13.4397016)"
52.547522,13.3566625,"(52.547522, 13.3566625)"
52.5086444,13.3737448,"(52.5086444, 13.3737448)"
52.5148305,13.4907784,"(52.5148305, 13.4907784)"
52.4894386,13.3122082,"(52.4894386, 13.3122082)"
52.539387,13.3956763,"(52.539387, 13.3956763)"
52.4937535,13.3876511,"(52.4937535, 13.3876511)"
52.5279121,13.3860465,"(52.5279121, 13.3860465)"
52.5049903,13.407098,"(52.5049903, 13.407098)"
52.5139341,13.449925,"(52.5139341, 13.449925)"
52.5361682,13.6094676,"(52.5361682, 13.6094676)"
52.4986179,13.4165594,"(52.4986179, 13.4165594)"
52.5127904,13.4497773,"(52.5127904, 13.4497773)"
52.5250687,13.4025511,"(52.5250687, 13.4025511)"
52.4834225,13.4244236,"(52.4834225, 13.4244236)"
52.5012357,13.4186726,"(52.5012357, 13.4186726)"
52.5024545,13.4144913,"(52.5024545, 13.4144913)"
52.5020031,13.4213249,"(52.5020031, 13.4213249)"
52.5016868,13.420827,"(52.5016868, 13.420827)"
52.5019625,13.4185606,"(52.5019625, 13.4185606)"
52.5016984,13.4214087,"(52.5016984, 13.4214087)"
52.5010192,13.4227444,"(52.5010192, 13.4227444)"
52.4881467,13.3678205,"(52.4881467, 13.3678205)"
52.5189862,13.3959797,"(52.5189862, 13.3959797)"
52.529684,13.3965478,"(52.529684, 13.3965478)"
52.5654952,13.401433,"(52.5654952, 13.401433)"
52.4770235,13.4399161,"(52.4770235, 13.4399161)"
52.5043712,13.3374894,"(52.5043712, 13.3374894)"
52.46254,13.46926,"(52.46254, 13.46926)"
52.5095662,13.3734177,"(52.5095662, 13.3734177)"
52.5354834,13.2025072,"(52.5354834, 13.2025072)"
52.5525607,13.4307318,"(52.5525607, 13.4307318)"
52.441939,13.2974764,"(52.441939, 13.2974764)"
52.5264513,13.3882296,"(52.5264513, 13.3882296)"
52.4919181,13.3882686,"(52.4919181, 13.3882686)"
52.4641482,13.3266521,"(52.4641482, 13.3266521)"
52.4776993,13.4240706,"(52.4776993, 13.4240706)"
52.5153343,13.2924731,"(52.5153343, 13.2924731)"
52.496875,13.4078199,"(52.496875, 13.4078199)"
52.516541,13.40783,"(52.516541, 13.40783)"
52.4667595,13.3213047,"(52.4667595, 13.3213047)"
