lat,lon,coor
52.4333644,13.190734,"(52.4333644, 13.190734)"
52.4200885,13.1763456,"(52.4200885, 13.1763456)"
52.5398463,13.3521465,"(52.5398463, 13.3521465)"
52.5698075,13.3101301,"(52.5698075, 13.3101301)"
52.56382,13.328849,"(52.56382, 13.328849)"
52.5712131,13.3134197,"(52.5712131, 13.3134197)"
52.512033,13.3919416,"(52.512033, 13.3919416)"
52.5129305,13.3912298,"(52.5129305, 13.3912298)"
52.5235991,13.4109696,"(52.5235991, 13.4109696)"
52.5840688,13.302578,"(52.5840688, 13.302578)"
52.5655612,13.3209279,"(52.5655612, 13.3209279)"
52.5699596,13.3138632,"(52.5699596, 13.3138632)"
52.5708788,13.3158208,"(52.5708788, 13.3158208)"
52.5688285,13.3170085,"(52.5688285, 13.3170085)"
52.5700374,13.3221149,"(52.5700374, 13.3221149)"
52.5342924,13.1421398,"(52.5342924, 13.1421398)"
52.5682701,13.367889,"(52.5682701, 13.367889)"
52.5754322,13.3303066,"(52.5754322, 13.3303066)"
52.5442039,13.4129805,"(52.5442039, 13.4129805)"
52.5431648,13.3566864,"(52.5431648, 13.3566864)"
52.5642761,13.3265108,"(52.5642761, 13.3265108)"
52.5235968,13.3007288,"(52.5235968, 13.3007288)"
52.4916944,13.4389954,"(52.4916944, 13.4389954)"
52.5965582,13.3330486,"(52.5965582, 13.3330486)"
52.5726395,13.3048085,"(52.5726395, 13.3048085)"
52.5640793,13.3644914,"(52.5640793, 13.3644914)"
52.5295259,13.3956385,"(52.5295259, 13.3956385)"
52.5355911,13.4200871,"(52.5355911, 13.4200871)"
52.4337259,13.1642419,"(52.4337259, 13.1642419)"
52.5406075,13.2066054,"(52.5406075, 13.2066054)"
52.4913696,13.3931533,"(52.4913696, 13.3931533)"
52.5129735,13.4201313,"(52.5129735, 13.4201313)"
52.5334428,13.4162759,"(52.5334428, 13.4162759)"
52.5232268,13.4164254,"(52.5232268, 13.4164254)"
52.5363657,13.425073,"(52.5363657, 13.425073)"
52.5231963,13.4769761,"(52.5231963, 13.4769761)"
52.5414032,13.3684921,"(52.5414032, 13.3684921)"
52.4286425,13.2155914,"(52.4286425, 13.2155914)"
52.5550162,13.3616898,"(52.5550162, 13.3616898)"
52.4594244,13.5779548,"(52.4594244, 13.5779548)"
52.4614742,13.339716,"(52.4614742, 13.339716)"
52.4882652,13.361927,"(52.4882652, 13.361927)"
52.429983,13.3540107,"(52.429983, 13.3540107)"
52.4689788,13.4354663,"(52.4689788, 13.4354663)"
52.5058484,13.4663943,"(52.5058484, 13.4663943)"
52.512183,13.4617297,"(52.512183, 13.4617297)"
52.5120463,13.4613169,"(52.5120463, 13.4613169)"
52.5976055,13.2749705,"(52.5976055, 13.2749705)"
52.5102582,13.4566212,"(52.5102582, 13.4566212)"
52.5106855,13.4568209,"(52.5106855, 13.4568209)"
52.5143396,13.4596231,"(52.5143396, 13.4596231)"
52.5158118,13.4591706,"(52.5158118, 13.4591706)"
52.5182491,13.4553049,"(52.5182491, 13.4553049)"
52.5179397,13.4656186,"(52.5179397, 13.4656186)"
52.510094,13.4603525,"(52.510094, 13.4603525)"
52.5111838,13.4613046,"(52.5111838, 13.4613046)"
52.5372124,13.2022687,"(52.5372124, 13.2022687)"
52.5378459,13.2031388,"(52.5378459, 13.2031388)"
52.4927208,13.4217007,"(52.4927208, 13.4217007)"
