lat,lon,coor
53.0547014,8.8864455,"(53.0547014, 8.8864455)"
53.0845835,8.8151859,"(53.0845835, 8.8151859)"
53.1699313,8.6267248,"(53.1699313, 8.6267248)"
53.1709334,8.685712,"(53.1709334, 8.685712)"
53.091886,8.8635682,"(53.091886, 8.8635682)"
53.0922788,8.8638501,"(53.0922788, 8.8638501)"
53.0556556,8.7838525,"(53.0556556, 8.7838525)"
53.1273276,8.8983248,"(53.1273276, 8.8983248)"
53.076838,8.8245933,"(53.076838, 8.8245933)"
53.0749218,8.9260814,"(53.0749218, 8.9260814)"
53.0634537,8.9494163,"(53.0634537, 8.9494163)"
53.0901902,8.9351898,"(53.0901902, 8.9351898)"
53.0862874,8.8963971,"(53.0862874, 8.8963971)"
53.0797437,8.892483,"(53.0797437, 8.892483)"
53.0617963,8.8863246,"(53.0617963, 8.8863246)"
53.0812311,8.8944903,"(53.0812311, 8.8944903)"
53.0513386,8.9583499,"(53.0513386, 8.9583499)"
53.0361068,8.8267971,"(53.0361068, 8.8267971)"
53.0797389,8.9167663,"(53.0797389, 8.9167663)"
53.0701411,8.8902043,"(53.0701411, 8.8902043)"
53.0699657,8.8885849,"(53.0699657, 8.8885849)"
53.0524644,8.914812,"(53.0524644, 8.914812)"
53.1816397,8.6514365,"(53.1816397, 8.6514365)"
53.180918,8.651036,"(53.180918, 8.651036)"
53.072275,8.8107385,"(53.072275, 8.8107385)"
53.0661411,8.7920282,"(53.0661411, 8.7920282)"
53.0664593,8.7934845,"(53.0664593, 8.7934845)"
53.0772408,8.8094554,"(53.0772408, 8.8094554)"
53.077128,8.8095815,"(53.077128, 8.8095815)"
53.0697377,8.7987362,"(53.0697377, 8.7987362)"
53.0698274,8.7988608,"(53.0698274, 8.7988608)"
53.069418,8.799628,"(53.069418, 8.799628)"
53.0668011,8.7930534,"(53.0668011, 8.7930534)"
53.0667747,8.7932201,"(53.0667747, 8.7932201)"
53.1687668,8.627933,"(53.1687668, 8.627933)"
53.0535452,8.784905,"(53.0535452, 8.784905)"
53.0555613,8.7840334,"(53.0555613, 8.7840334)"
53.0788429,8.8002311,"(53.0788429, 8.8002311)"
53.0734099,8.8133439,"(53.0734099, 8.8133439)"
53.073593,8.812799,"(53.073593, 8.812799)"
53.0739478,8.8103529,"(53.0739478, 8.8103529)"
53.0736787,8.8090373,"(53.0736787, 8.8090373)"
53.060064,8.8868818,"(53.060064, 8.8868818)"
53.060046,8.887687,"(53.060046, 8.887687)"
53.059936,8.8875956,"(53.059936, 8.8875956)"
53.0601197,8.8877483,"(53.0601197, 8.8877483)"
53.060241,8.8878491,"(53.060241, 8.8878491)"
53.0777278,8.8038003,"(53.0777278, 8.8038003)"
53.0738333,8.810618,"(53.0738333, 8.810618)"
53.0654884,8.7951487,"(53.0654884, 8.7951487)"
53.0783217,8.8060801,"(53.0783217, 8.8060801)"
53.0768999,8.8096612,"(53.0768999, 8.8096612)"
53.0665452,8.7935411,"(53.0665452, 8.7935411)"
53.0737212,8.8098678,"(53.0737212, 8.8098678)"
53.0736564,8.8096792,"(53.0736564, 8.8096792)"
53.0735916,8.8099307,"(53.0735916, 8.8099307)"
53.073783,8.8072164,"(53.073783, 8.8072164)"
53.0737002,8.8070612,"(53.0737002, 8.8070612)"
53.0718901,8.8047738,"(53.0718901, 8.8047738)"
53.0711394,8.8014747,"(53.0711394, 8.8014747)"
53.0710496,8.8011631,"(53.0710496, 8.8011631)"
53.0699539,8.8000582,"(53.0699539, 8.8000582)"
53.0702459,8.7995744,"(53.0702459, 8.7995744)"
53.0738714,8.8105228,"(53.0738714, 8.8105228)"
53.073756,8.8105429,"(53.073756, 8.8105429)"
53.0758754,8.8064595,"(53.0758754, 8.8064595)"
53.0753834,8.8040198,"(53.0753834, 8.8040198)"
53.0761193,8.8038576,"(53.0761193, 8.8038576)"
53.0744706,8.8093457,"(53.0744706, 8.8093457)"
53.0531592,8.7861703,"(53.0531592, 8.7861703)"
53.0796958,8.8104384,"(53.0796958, 8.8104384)"
53.0798301,8.8106494,"(53.0798301, 8.8106494)"
53.0719421,8.7902469,"(53.0719421, 8.7902469)"
53.0715893,8.7897276,"(53.0715893, 8.7897276)"
53.0714004,8.790042,"(53.0714004, 8.790042)"
53.0698039,8.78775,"(53.0698039, 8.78775)"
53.0697509,8.7876741,"(53.0697509, 8.7876741)"
53.0700592,8.7875882,"(53.0700592, 8.7875882)"
53.0702221,8.7877745,"(53.0702221, 8.7877745)"
53.0702907,8.7878781,"(53.0702907, 8.7878781)"
53.0705387,8.788256,"(53.0705387, 8.788256)"
53.070866,8.7887646,"(53.070866, 8.7887646)"
53.0691759,8.7927641,"(53.0691759, 8.7927641)"
53.0679657,8.7940208,"(53.0679657, 8.7940208)"
53.0678294,8.7950963,"(53.0678294, 8.7950963)"
53.0743696,8.8096693,"(53.0743696, 8.8096693)"
53.0670316,8.7926662,"(53.0670316, 8.7926662)"
53.0671202,8.7924943,"(53.0671202, 8.7924943)"
53.0673152,8.792162,"(53.0673152, 8.792162)"
53.0674242,8.7919695,"(53.0674242, 8.7919695)"
53.0676924,8.7915182,"(53.0676924, 8.7915182)"
53.0677758,8.7913708,"(53.0677758, 8.7913708)"
53.0683767,8.7901204,"(53.0683767, 8.7901204)"
53.0682371,8.7903541,"(53.0682371, 8.7903541)"
53.0675715,8.7915424,"(53.0675715, 8.7915424)"
53.074984,8.8072537,"(53.074984, 8.8072537)"
53.0748143,8.8067226,"(53.0748143, 8.8067226)"
53.0746382,8.8066197,"(53.0746382, 8.8066197)"
53.1029877,8.8591704,"(53.1029877, 8.8591704)"
53.0803829,8.9139101,"(53.0803829, 8.9139101)"
53.0811179,8.9162741,"(53.0811179, 8.9162741)"
53.0700632,8.807837,"(53.0700632, 8.807837)"
53.0858968,8.8174074,"(53.0858968, 8.8174074)"
53.0723309,8.7919287,"(53.0723309, 8.7919287)"
53.1474131,8.7121021,"(53.1474131, 8.7121021)"
53.0913043,8.8724145,"(53.0913043, 8.8724145)"
53.0828454,8.7868554,"(53.0828454, 8.7868554)"
53.0828041,8.7870296,"(53.0828041, 8.7870296)"
53.0690325,8.8469235,"(53.0690325, 8.8469235)"
53.0713886,8.8469928,"(53.0713886, 8.8469928)"
53.0715845,8.850997,"(53.0715845, 8.850997)"
53.090154,8.8631993,"(53.090154, 8.8631993)"
53.0488012,8.7407129,"(53.0488012, 8.7407129)"
53.1271078,8.8985301,"(53.1271078, 8.8985301)"
53.0374418,8.8220836,"(53.0374418, 8.8220836)"
53.0849914,8.8495919,"(53.0849914, 8.8495919)"
53.1213252,8.7530423,"(53.1213252, 8.7530423)"
53.1184744,8.896545,"(53.1184744, 8.896545)"
53.1209442,8.7531295,"(53.1209442, 8.7531295)"
53.0715894,8.7883617,"(53.0715894, 8.7883617)"
53.0592286,8.8972906,"(53.0592286, 8.8972906)"
53.1014158,8.8804826,"(53.1014158, 8.8804826)"
53.0321137,8.8386238,"(53.0321137, 8.8386238)"
53.0616918,8.8865118,"(53.0616918, 8.8865118)"
53.0290038,8.8381143,"(53.0290038, 8.8381143)"
53.0719513,8.7872606,"(53.0719513, 8.7872606)"
53.0620858,8.88774,"(53.0620858, 8.88774)"
53.1089047,8.8881776,"(53.1089047, 8.8881776)"
53.0824651,8.807081,"(53.0824651, 8.807081)"
53.1239551,8.900413,"(53.1239551, 8.900413)"
53.083402,8.8121617,"(53.083402, 8.8121617)"
53.0721229,8.7875662,"(53.0721229, 8.7875662)"
53.103386,8.7867095,"(53.103386, 8.7867095)"
53.1185427,8.8974912,"(53.1185427, 8.8974912)"
53.0722034,8.7874759,"(53.0722034, 8.7874759)"
53.0826176,8.807451,"(53.0826176, 8.807451)"
53.1186072,8.8975426,"(53.1186072, 8.8975426)"
53.0983882,8.8399424,"(53.0983882, 8.8399424)"
53.0595615,8.9001049,"(53.0595615, 8.9001049)"
53.064382,8.9495643,"(53.064382, 8.9495643)"
53.1187136,8.8976523,"(53.1187136, 8.8976523)"
53.0844762,8.8154606,"(53.0844762, 8.8154606)"
53.0949127,8.8498496,"(53.0949127, 8.8498496)"
53.1032992,8.7863735,"(53.1032992, 8.7863735)"
53.1669494,8.6273106,"(53.1669494, 8.6273106)"
53.1720017,8.6690423,"(53.1720017, 8.6690423)"
53.1692855,8.6285808,"(53.1692855, 8.6285808)"
53.1836224,8.5803116,"(53.1836224, 8.5803116)"
53.1709277,8.6858854,"(53.1709277, 8.6858854)"
53.1720017,8.6693306,"(53.1720017, 8.6693306)"
53.1700661,8.6244349,"(53.1700661, 8.6244349)"
53.1928278,8.5461487,"(53.1928278, 8.5461487)"
53.1664998,8.6271914,"(53.1664998, 8.6271914)"
53.1855775,8.5702719,"(53.1855775, 8.5702719)"
53.1849835,8.6184217,"(53.1849835, 8.6184217)"
53.1691463,8.6296173,"(53.1691463, 8.6296173)"
53.1935026,8.5446118,"(53.1935026, 8.5446118)"
53.2053971,8.5169274,"(53.2053971, 8.5169274)"
53.1671613,8.6274722,"(53.1671613, 8.6274722)"
53.1890897,8.5571708,"(53.1890897, 8.5571708)"
53.0871553,8.9387327,"(53.0871553, 8.9387327)"
53.1848732,8.5722865,"(53.1848732, 8.5722865)"
53.1726319,8.6494838,"(53.1726319, 8.6494838)"
53.1034086,8.8615508,"(53.1034086, 8.8615508)"
53.1101635,8.8575858,"(53.1101635, 8.8575858)"
53.1100925,8.8578133,"(53.1100925, 8.8578133)"
53.1029512,8.8625037,"(53.1029512, 8.8625037)"
53.102954,8.8616759,"(53.102954, 8.8616759)"
53.0710057,8.7965937,"(53.0710057, 8.7965937)"
53.1105553,8.8558465,"(53.1105553, 8.8558465)"
53.110674,8.8559422,"(53.110674, 8.8559422)"
53.0698474,8.8018765,"(53.0698474, 8.8018765)"
53.0696598,8.8015072,"(53.0696598, 8.8015072)"
53.0705335,8.7997744,"(53.0705335, 8.7997744)"
53.0794454,8.8048698,"(53.0794454, 8.8048698)"
53.0801267,8.8040538,"(53.0801267, 8.8040538)"
53.0799183,8.8037765,"(53.0799183, 8.8037765)"
53.0803644,8.8030579,"(53.0803644, 8.8030579)"
53.0999647,8.7873835,"(53.0999647, 8.7873835)"
53.1043079,8.782974,"(53.1043079, 8.782974)"
53.0674732,8.8365828,"(53.0674732, 8.8365828)"
53.066415,8.839778,"(53.066415, 8.839778)"
53.0657614,8.8394331,"(53.0657614, 8.8394331)"
53.0519658,8.9594296,"(53.0519658, 8.9594296)"
53.0473642,8.7299158,"(53.0473642, 8.7299158)"
53.083594,8.8018436,"(53.083594, 8.8018436)"
53.0475318,8.7293484,"(53.0475318, 8.7293484)"
53.0473973,8.7294525,"(53.0473973, 8.7294525)"
53.0839424,8.8022874,"(53.0839424, 8.8022874)"
53.048023,8.7303068,"(53.048023, 8.7303068)"
53.0472734,8.7297902,"(53.0472734, 8.7297902)"
53.0975864,8.8038493,"(53.0975864, 8.8038493)"
53.0932653,8.8112532,"(53.0932653, 8.8112532)"
53.0934841,8.8109966,"(53.0934841, 8.8109966)"
53.0944286,8.814073,"(53.0944286, 8.814073)"
53.1531827,8.7171709,"(53.1531827, 8.7171709)"
53.1529193,8.7169027,"(53.1529193, 8.7169027)"
53.0631846,8.8687136,"(53.0631846, 8.8687136)"
53.0630525,8.8686009,"(53.0630525, 8.8686009)"
53.0628067,8.8707908,"(53.0628067, 8.8707908)"
53.0622546,8.870194,"(53.0622546, 8.870194)"
53.1727697,8.6089235,"(53.1727697, 8.6089235)"
53.0651736,8.8730283,"(53.0651736, 8.8730283)"
53.1730293,8.6201089,"(53.1730293, 8.6201089)"
53.1738816,8.6484392,"(53.1738816, 8.6484392)"
53.0910391,8.884502,"(53.0910391, 8.884502)"
