lat,lon,coor
53.0705598,8.8574424,"(53.0705598, 8.8574424)"
53.5490128,8.5817521,"(53.5490128, 8.5817521)"
53.1100677,8.8419467,"(53.1100677, 8.8419467)"
53.0792317,8.8000128,"(53.0792317, 8.8000128)"
53.0857548,8.7977822,"(53.0857548, 8.7977822)"
53.109946,8.8586928,"(53.109946, 8.8586928)"
53.1099727,8.8595894,"(53.1099727, 8.8595894)"
53.0991173,8.7875418,"(53.0991173, 8.7875418)"
53.0675333,8.8025564,"(53.0675333, 8.8025564)"
53.069955,8.8018967,"(53.069955, 8.8018967)"
53.0756473,8.8066108,"(53.0756473, 8.8066108)"
53.0753923,8.8221394,"(53.0753923, 8.8221394)"
53.0791797,8.8075114,"(53.0791797, 8.8075114)"
53.0731864,8.8114816,"(53.0731864, 8.8114816)"
53.072186,8.8098907,"(53.072186, 8.8098907)"
53.0845191,8.8013334,"(53.0845191, 8.8013334)"
53.072218,8.8148923,"(53.072218, 8.8148923)"
53.0723097,8.8224363,"(53.0723097, 8.8224363)"
53.072011,8.8434103,"(53.072011, 8.8434103)"
53.0928462,8.7807465,"(53.0928462, 8.7807465)"
53.0589478,8.9248829,"(53.0589478, 8.9248829)"
53.0678371,8.7814422,"(53.0678371, 8.7814422)"
53.5495128,8.5794309,"(53.5495128, 8.5794309)"
53.5503573,8.5797717,"(53.5503573, 8.5797717)"
53.1108873,8.8558415,"(53.1108873, 8.8558415)"
53.1106538,8.8566217,"(53.1106538, 8.8566217)"
53.0759502,8.8194752,"(53.0759502, 8.8194752)"
53.0844071,8.7988886,"(53.0844071, 8.7988886)"
53.0713455,8.8501838,"(53.0713455, 8.8501838)"
53.5468704,8.5739341,"(53.5468704, 8.5739341)"
53.1204042,8.7542564,"(53.1204042, 8.7542564)"
53.0826836,8.8099664,"(53.0826836, 8.8099664)"
53.0647573,8.8067373,"(53.0647573, 8.8067373)"
53.1655817,8.6509763,"(53.1655817, 8.6509763)"
53.5357864,8.583845,"(53.5357864, 8.583845)"
53.0917272,8.8669926,"(53.0917272, 8.8669926)"
53.0819199,8.7952932,"(53.0819199, 8.7952932)"
53.0776338,8.8048158,"(53.0776338, 8.8048158)"
53.0742353,8.8085102,"(53.0742353, 8.8085102)"
53.5220177,8.5835514,"(53.5220177, 8.5835514)"
53.5398135,8.5836699,"(53.5398135, 8.5836699)"
53.5195903,8.5801077,"(53.5195903, 8.5801077)"
53.5199878,8.5792078,"(53.5199878, 8.5792078)"
53.5403332,8.5835668,"(53.5403332, 8.5835668)"
53.5403976,8.5832433,"(53.5403976, 8.5832433)"
53.1001433,8.8587346,"(53.1001433, 8.8587346)"
53.1041667,8.852591,"(53.1041667, 8.852591)"
53.1030761,8.7908488,"(53.1030761, 8.7908488)"
53.0751024,8.8436119,"(53.0751024, 8.8436119)"
53.0722282,8.8149,"(53.0722282, 8.8149)"
53.0685945,8.7968053,"(53.0685945, 8.7968053)"
53.072178,8.8098326,"(53.072178, 8.8098326)"
53.0824353,8.8069267,"(53.0824353, 8.8069267)"
53.0850151,8.7985018,"(53.0850151, 8.7985018)"
53.0589909,8.9248698,"(53.0589909, 8.9248698)"
53.177762,8.6026583,"(53.177762, 8.6026583)"
53.5488922,8.5811875,"(53.5488922, 8.5811875)"
53.1697461,8.6311556,"(53.1697461, 8.6311556)"
53.0829509,8.8685699,"(53.0829509, 8.8685699)"
53.1098728,8.8589495,"(53.1098728, 8.8589495)"
53.1162219,8.7631951,"(53.1162219, 8.7631951)"
53.0778193,8.8004185,"(53.0778193, 8.8004185)"
53.0763987,8.8112969,"(53.0763987, 8.8112969)"
53.5218533,8.5834354,"(53.5218533, 8.5834354)"
53.0703604,8.7864948,"(53.0703604, 8.7864948)"
53.1108356,8.8617994,"(53.1108356, 8.8617994)"
53.0812115,8.8116741,"(53.0812115, 8.8116741)"
53.0704249,8.8018722,"(53.0704249, 8.8018722)"
53.0705679,8.8002423,"(53.0705679, 8.8002423)"
53.5468473,8.5739528,"(53.5468473, 8.5739528)"
53.1703221,8.6238096,"(53.1703221, 8.6238096)"
53.081851,8.8161211,"(53.081851, 8.8161211)"
53.1075529,8.8528861,"(53.1075529, 8.8528861)"
53.0773648,8.845285,"(53.0773648, 8.845285)"
53.0766514,8.84454,"(53.0766514, 8.84454)"
53.5671397,8.5864596,"(53.5671397, 8.5864596)"
53.0847025,8.8272391,"(53.0847025, 8.8272391)"
53.126982,8.900826,"(53.126982, 8.900826)"
53.5336753,8.5950006,"(53.5336753, 8.5950006)"
53.0763083,8.8229909,"(53.0763083, 8.8229909)"
53.5329673,8.5844261,"(53.5329673, 8.5844261)"
53.1121226,8.8581684,"(53.1121226, 8.8581684)"
53.5440334,8.5764204,"(53.5440334, 8.5764204)"
53.0694002,8.8265102,"(53.0694002, 8.8265102)"
53.0626497,8.8829039,"(53.0626497, 8.8829039)"
53.0626704,8.8828203,"(53.0626704, 8.8828203)"
53.5219321,8.5838527,"(53.5219321, 8.5838527)"
53.5483652,8.5746725,"(53.5483652, 8.5746725)"
