lat,lon,coor
53.5406454,8.5811479,"(53.5406454, 8.5811479)"
53.0656941,8.8061216,"(53.0656941, 8.8061216)"
53.0724986,8.8093111,"(53.0724986, 8.8093111)"
53.0996223,8.7916081,"(53.0996223, 8.7916081)"
53.0965457,8.7887299,"(53.0965457, 8.7887299)"
53.0952162,8.9358294,"(53.0952162, 8.9358294)"
53.0799349,8.8847325,"(53.0799349, 8.8847325)"
53.0912087,8.9519164,"(53.0912087, 8.9519164)"
53.0854503,8.851811,"(53.0854503, 8.851811)"
53.5609312,8.583395,"(53.5609312, 8.583395)"
53.5609332,8.5820843,"(53.5609332, 8.5820843)"
53.521797,8.5874198,"(53.521797, 8.5874198)"
53.0520585,8.9610302,"(53.0520585, 8.9610302)"
53.0748879,8.8057089,"(53.0748879, 8.8057089)"
53.0658809,8.8067038,"(53.0658809, 8.8067038)"
53.0801885,8.8100655,"(53.0801885, 8.8100655)"
53.0832065,8.8097313,"(53.0832065, 8.8097313)"
53.0308194,8.8509853,"(53.0308194, 8.8509853)"
53.1689138,8.6237395,"(53.1689138, 8.6237395)"
53.1693621,8.629635,"(53.1693621, 8.629635)"
53.5666635,8.5953485,"(53.5666635, 8.5953485)"
53.1080149,8.851787,"(53.1080149, 8.851787)"
53.5546068,8.5779543,"(53.5546068, 8.5779543)"
53.0889079,8.7840459,"(53.0889079, 8.7840459)"
53.0721069,8.829288,"(53.0721069, 8.829288)"
53.0860614,8.791622,"(53.0860614, 8.791622)"
53.0947167,8.8021129,"(53.0947167, 8.8021129)"
53.0692228,8.8276937,"(53.0692228, 8.8276937)"
53.0729395,8.8109114,"(53.0729395, 8.8109114)"
53.0752564,8.8349427,"(53.0752564, 8.8349427)"
53.080779,8.8941568,"(53.080779, 8.8941568)"
53.0700974,8.8227321,"(53.0700974, 8.8227321)"
53.0947823,8.8004884,"(53.0947823, 8.8004884)"
53.0657164,8.937682,"(53.0657164, 8.937682)"
53.5571381,8.5801544,"(53.5571381, 8.5801544)"
53.0729066,8.8010791,"(53.0729066, 8.8010791)"
53.0704311,8.8337733,"(53.0704311, 8.8337733)"
53.11728,8.7566887,"(53.11728, 8.7566887)"
53.0677539,8.791228,"(53.0677539, 8.791228)"
53.0735582,8.827563,"(53.0735582, 8.827563)"
53.0723055,8.822212,"(53.0723055, 8.822212)"
53.5575646,8.5836727,"(53.5575646, 8.5836727)"
53.0991807,8.880709,"(53.0991807, 8.880709)"
53.0390593,8.9454581,"(53.0390593, 8.9454581)"
53.1079582,8.8539526,"(53.1079582, 8.8539526)"
53.0838879,8.8546977,"(53.0838879, 8.8546977)"
53.5202369,8.5796043,"(53.5202369, 8.5796043)"
53.0977621,8.786785,"(53.0977621, 8.786785)"
53.0709627,8.8161828,"(53.0709627, 8.8161828)"
53.0807115,8.811846,"(53.0807115, 8.811846)"
53.0722845,8.8222471,"(53.0722845, 8.8222471)"
53.1165548,8.7682546,"(53.1165548, 8.7682546)"
53.0890616,8.9508669,"(53.0890616, 8.9508669)"
53.1709668,8.6259118,"(53.1709668, 8.6259118)"
53.0714778,8.8239083,"(53.0714778, 8.8239083)"
53.0692333,8.8267494,"(53.0692333, 8.8267494)"
53.1074146,8.8516183,"(53.1074146, 8.8516183)"
53.0761817,8.8028349,"(53.0761817, 8.8028349)"
53.0743887,8.8260089,"(53.0743887, 8.8260089)"
53.100757,8.7929613,"(53.100757, 8.7929613)"
53.0669598,8.887566,"(53.0669598, 8.887566)"
53.0617081,8.8115001,"(53.0617081, 8.8115001)"
53.0860726,8.7982699,"(53.0860726, 8.7982699)"
53.0853926,8.8291844,"(53.0853926, 8.8291844)"
53.0815021,8.8160191,"(53.0815021, 8.8160191)"
53.0869675,8.8310766,"(53.0869675, 8.8310766)"
53.0836952,8.8325572,"(53.0836952, 8.8325572)"
53.0741143,8.8323212,"(53.0741143, 8.8323212)"
53.0711415,8.8179888,"(53.0711415, 8.8179888)"
53.5217368,8.5890317,"(53.5217368, 8.5890317)"
53.5167819,8.5917564,"(53.5167819, 8.5917564)"
53.5165184,8.5919028,"(53.5165184, 8.5919028)"
53.5344282,8.5882357,"(53.5344282, 8.5882357)"
53.0888035,8.804909,"(53.0888035, 8.804909)"
53.0733692,8.8295498,"(53.0733692, 8.8295498)"
53.53725,8.5776322,"(53.53725, 8.5776322)"
53.0923135,8.8454982,"(53.0923135, 8.8454982)"
53.066797,8.8211478,"(53.066797, 8.8211478)"
53.0937435,8.7713125,"(53.0937435, 8.7713125)"
53.0929741,8.7713183,"(53.0929741, 8.7713183)"
53.0900272,8.786939,"(53.0900272, 8.786939)"
53.066549,8.8025224,"(53.066549, 8.8025224)"
53.05839,8.8873487,"(53.05839, 8.8873487)"
53.0673554,8.7957371,"(53.0673554, 8.7957371)"
