lat,lon,coor
53.5221085,8.5842345,"(53.5221085, 8.5842345)"
53.0683892,8.8327825,"(53.0683892, 8.8327825)"
53.0527727,8.8998065,"(53.0527727, 8.8998065)"
53.0461411,8.8738111,"(53.0461411, 8.8738111)"
53.0362273,8.8733287,"(53.0362273, 8.8733287)"
53.0762782,8.8816679,"(53.0762782, 8.8816679)"
53.0378732,8.9241401,"(53.0378732, 8.9241401)"
53.0632969,8.8767775,"(53.0632969, 8.8767775)"
53.0594244,8.9175614,"(53.0594244, 8.9175614)"
53.0547809,8.946351,"(53.0547809, 8.946351)"
53.0537559,8.9614923,"(53.0537559, 8.9614923)"
53.0841297,8.8438906,"(53.0841297, 8.8438906)"
53.1323607,8.7361121,"(53.1323607, 8.7361121)"
53.1582575,8.7776045,"(53.1582575, 8.7776045)"
53.1683763,8.6245342,"(53.1683763, 8.6245342)"
53.1089479,8.7637963,"(53.1089479, 8.7637963)"
53.1709111,8.6272098,"(53.1709111, 8.6272098)"
53.0621823,8.8494541,"(53.0621823, 8.8494541)"
53.1683719,8.6995097,"(53.1683719, 8.6995097)"
53.065702,8.7951505,"(53.065702, 8.7951505)"
53.0723084,8.8094364,"(53.0723084, 8.8094364)"
53.0726179,8.819114,"(53.0726179, 8.819114)"
53.0720227,8.8294833,"(53.0720227, 8.8294833)"
53.0724417,8.8193103,"(53.0724417, 8.8193103)"
53.0885037,8.7789695,"(53.0885037, 8.7789695)"
53.0616428,8.842991,"(53.0616428, 8.842991)"
53.0687872,8.8111347,"(53.0687872, 8.8111347)"
53.0956605,8.7866513,"(53.0956605, 8.7866513)"
53.0891693,8.7765741,"(53.0891693, 8.7765741)"
53.0814708,8.9130622,"(53.0814708, 8.9130622)"
53.0728139,8.8095822,"(53.0728139, 8.8095822)"
53.0726718,8.8103704,"(53.0726718, 8.8103704)"
53.0726429,8.809982,"(53.0726429, 8.809982)"
53.0731835,8.8240396,"(53.0731835, 8.8240396)"
53.0779544,8.8021351,"(53.0779544, 8.8021351)"
53.0766481,8.8022652,"(53.0766481, 8.8022652)"
53.0710019,8.8285893,"(53.0710019, 8.8285893)"
53.0716081,8.83135,"(53.0716081, 8.83135)"
53.0727495,8.819629,"(53.0727495, 8.819629)"
53.0724615,8.8100332,"(53.0724615, 8.8100332)"
53.0723846,8.8101505,"(53.0723846, 8.8101505)"
53.0715718,8.8234654,"(53.0715718, 8.8234654)"
53.0728976,8.8234443,"(53.0728976, 8.8234443)"
53.0728872,8.8255039,"(53.0728872, 8.8255039)"
53.0730575,8.8272757,"(53.0730575, 8.8272757)"
53.0723001,8.8282054,"(53.0723001, 8.8282054)"
53.0722408,8.8289717,"(53.0722408, 8.8289717)"
53.0718139,8.8300128,"(53.0718139, 8.8300128)"
53.0713684,8.8307361,"(53.0713684, 8.8307361)"
53.0715984,8.8306533,"(53.0715984, 8.8306533)"
53.0711308,8.8319873,"(53.0711308, 8.8319873)"
53.0711415,8.8334967,"(53.0711415, 8.8334967)"
53.0705755,8.8309083,"(53.0705755, 8.8309083)"
53.0706176,8.8283312,"(53.0706176, 8.8283312)"
53.0700296,8.83769,"(53.0700296, 8.83769)"
53.0698915,8.8368613,"(53.0698915, 8.8368613)"
53.0700667,8.8358266,"(53.0700667, 8.8358266)"
53.0740111,8.8347834,"(53.0740111, 8.8347834)"
53.0757505,8.8326649,"(53.0757505, 8.8326649)"
53.0769632,8.8353299,"(53.0769632, 8.8353299)"
53.0763545,8.8276893,"(53.0763545, 8.8276893)"
53.0766115,8.8259774,"(53.0766115, 8.8259774)"
53.0784231,8.8265876,"(53.0784231, 8.8265876)"
53.0761197,8.8313052,"(53.0761197, 8.8313052)"
53.0763743,8.8216484,"(53.0763743, 8.8216484)"
53.0772013,8.8235683,"(53.0772013, 8.8235683)"
53.0776805,8.8239974,"(53.0776805, 8.8239974)"
53.0773724,8.8162147,"(53.0773724, 8.8162147)"
53.0774003,8.8163107,"(53.0774003, 8.8163107)"
53.0726529,8.8419922,"(53.0726529, 8.8419922)"
53.0724179,8.8191025,"(53.0724179, 8.8191025)"
53.0746909,8.826686,"(53.0746909, 8.826686)"
53.0793994,8.8259506,"(53.0793994, 8.8259506)"
53.0964181,8.7859583,"(53.0964181, 8.7859583)"
53.0961256,8.7862228,"(53.0961256, 8.7862228)"
53.0969467,8.7854544,"(53.0969467, 8.7854544)"
53.1023385,8.7899741,"(53.1023385, 8.7899741)"
53.0987072,8.7884487,"(53.0987072, 8.7884487)"
53.1022901,8.786071,"(53.1022901, 8.786071)"
53.0922081,8.7901838,"(53.0922081, 8.7901838)"
53.1680139,8.6916173,"(53.1680139, 8.6916173)"
53.0327393,8.8451959,"(53.0327393, 8.8451959)"
53.0493773,8.8207376,"(53.0493773, 8.8207376)"
53.061076,8.7667794,"(53.061076, 8.7667794)"
53.1692129,8.6246439,"(53.1692129, 8.6246439)"
53.1682881,8.6240123,"(53.1682881, 8.6240123)"
53.1658648,8.6415593,"(53.1658648, 8.6415593)"
53.166958,8.6286529,"(53.166958, 8.6286529)"
53.1741952,8.6173129,"(53.1741952, 8.6173129)"
53.1700517,8.6247354,"(53.1700517, 8.6247354)"
53.1672125,8.6322197,"(53.1672125, 8.6322197)"
53.0722337,8.8157537,"(53.0722337, 8.8157537)"
53.0409748,8.8314179,"(53.0409748, 8.8314179)"
53.0731316,8.8252722,"(53.0731316, 8.8252722)"
53.0729077,8.8249371,"(53.0729077, 8.8249371)"
53.0730913,8.8234853,"(53.0730913, 8.8234853)"
53.1674071,8.7045742,"(53.1674071, 8.7045742)"
53.1761886,8.6800422,"(53.1761886, 8.6800422)"
53.1768211,8.6834398,"(53.1768211, 8.6834398)"
53.1112968,8.7976143,"(53.1112968, 8.7976143)"
53.1675028,8.7023905,"(53.1675028, 8.7023905)"
53.086083,8.8527487,"(53.086083, 8.8527487)"
53.100425,8.7872824,"(53.100425, 8.7872824)"
53.5482903,8.5755063,"(53.5482903, 8.5755063)"
53.5534694,8.5795624,"(53.5534694, 8.5795624)"
53.107217,8.9009195,"(53.107217, 8.9009195)"
53.5522238,8.5721037,"(53.5522238, 8.5721037)"
53.0865041,8.8740276,"(53.0865041, 8.8740276)"
53.5606217,8.5862778,"(53.5606217, 8.5862778)"
53.0730604,8.8088322,"(53.0730604, 8.8088322)"
53.1633737,8.6826359,"(53.1633737, 8.6826359)"
53.0972996,8.8703669,"(53.0972996, 8.8703669)"
53.1026744,8.9117315,"(53.1026744, 8.9117315)"
53.0994827,8.8875644,"(53.0994827, 8.8875644)"
53.5640862,8.599335,"(53.5640862, 8.599335)"
53.5572586,8.5847742,"(53.5572586, 8.5847742)"
53.0660185,8.7946003,"(53.0660185, 8.7946003)"
53.0673641,8.8028539,"(53.0673641, 8.8028539)"
53.0650083,8.7917641,"(53.0650083, 8.7917641)"
53.5452342,8.5795306,"(53.5452342, 8.5795306)"
53.0847718,8.8020941,"(53.0847718, 8.8020941)"
53.1348032,8.8987539,"(53.1348032, 8.8987539)"
53.4995576,8.6064829,"(53.4995576, 8.6064829)"
53.5031668,8.6080346,"(53.5031668, 8.6080346)"
53.5302519,8.598789,"(53.5302519, 8.598789)"
53.1249683,8.9017294,"(53.1249683, 8.9017294)"
53.082893,8.8419498,"(53.082893, 8.8419498)"
53.2034392,8.523791,"(53.2034392, 8.523791)"
53.5416893,8.5759842,"(53.5416893, 8.5759842)"
53.0734009,8.92493,"(53.0734009, 8.92493)"
53.092995,8.8031791,"(53.092995, 8.8031791)"
53.091935,8.8019185,"(53.091935, 8.8019185)"
53.1619772,8.638745,"(53.1619772, 8.638745)"
53.0622043,8.8079598,"(53.0622043, 8.8079598)"
53.0628866,8.803539,"(53.0628866, 8.803539)"
53.062505,8.8102776,"(53.062505, 8.8102776)"
53.0538572,8.8722882,"(53.0538572, 8.8722882)"
53.063922,8.801673,"(53.063922, 8.801673)"
53.0884887,8.8102919,"(53.0884887, 8.8102919)"
53.0912443,8.8141486,"(53.0912443, 8.8141486)"
53.0901905,8.9349162,"(53.0901905, 8.9349162)"
53.0729138,8.824167,"(53.0729138, 8.824167)"
53.0729026,8.8253651,"(53.0729026, 8.8253651)"
53.5925857,8.5863853,"(53.5925857, 8.5863853)"
53.5905922,8.6086615,"(53.5905922, 8.6086615)"
