lat,lon,coor
53.0526516,8.8919477,"(53.0526516, 8.8919477)"
53.0466892,8.8977077,"(53.0466892, 8.8977077)"
53.053443,8.8942853,"(53.053443, 8.8942853)"
53.0764591,8.8802519,"(53.0764591, 8.8802519)"
53.0636429,8.8843072,"(53.0636429, 8.8843072)"
53.0557345,8.8850217,"(53.0557345, 8.8850217)"
53.0801296,8.894471,"(53.0801296, 8.894471)"
53.0790889,8.9046491,"(53.0790889, 8.9046491)"
53.0788084,8.8846237,"(53.0788084, 8.8846237)"
53.0787306,8.8855469,"(53.0787306, 8.8855469)"
53.1535388,8.7158775,"(53.1535388, 8.7158775)"
53.0527784,8.9119755,"(53.0527784, 8.9119755)"
53.0653203,8.9326028,"(53.0653203, 8.9326028)"
53.0633049,8.9490013,"(53.0633049, 8.9490013)"
53.1683536,8.6236427,"(53.1683536, 8.6236427)"
53.0735409,8.924883,"(53.0735409, 8.924883)"
53.0697023,8.9546715,"(53.0697023, 8.9546715)"
53.1701658,8.6282445,"(53.1701658, 8.6282445)"
53.0774251,8.8005416,"(53.0774251, 8.8005416)"
53.2178151,8.5081316,"(53.2178151, 8.5081316)"
53.0690439,8.8112557,"(53.0690439, 8.8112557)"
53.073148,8.8084786,"(53.073148, 8.8084786)"
53.0728368,8.8203611,"(53.0728368, 8.8203611)"
53.0747442,8.8268514,"(53.0747442, 8.8268514)"
53.0745552,8.8263523,"(53.0745552, 8.8263523)"
53.071058,8.833139,"(53.071058, 8.833139)"
53.0709021,8.8320978,"(53.0709021, 8.8320978)"
53.0724012,8.8096567,"(53.0724012, 8.8096567)"
53.0723518,8.8092348,"(53.0723518, 8.8092348)"
53.0696924,8.8242441,"(53.0696924, 8.8242441)"
53.0716714,8.8234257,"(53.0716714, 8.8234257)"
53.0720021,8.8215983,"(53.0720021, 8.8215983)"
53.0727832,8.8234755,"(53.0727832, 8.8234755)"
53.071204,8.8263909,"(53.071204, 8.8263909)"
53.0711685,8.8318776,"(53.0711685, 8.8318776)"
53.0752361,8.8363791,"(53.0752361, 8.8363791)"
53.0701981,8.8334067,"(53.0701981, 8.8334067)"
53.0705131,8.8382027,"(53.0705131, 8.8382027)"
53.0698412,8.8371754,"(53.0698412, 8.8371754)"
53.0695216,8.8373685,"(53.0695216, 8.8373685)"
53.0703382,8.8425117,"(53.0703382, 8.8425117)"
53.07148,8.8407291,"(53.07148, 8.8407291)"
53.0745593,8.8334121,"(53.0745593, 8.8334121)"
53.0763133,8.8280305,"(53.0763133, 8.8280305)"
53.076498,8.8267414,"(53.076498, 8.8267414)"
53.0747255,8.8267646,"(53.0747255, 8.8267646)"
53.0751706,8.8257747,"(53.0751706, 8.8257747)"
53.0757954,8.8218703,"(53.0757954, 8.8218703)"
53.0761927,8.8217026,"(53.0761927, 8.8217026)"
53.0759109,8.8212519,"(53.0759109, 8.8212519)"
53.0715464,8.8308073,"(53.0715464, 8.8308073)"
53.0734593,8.8243472,"(53.0734593, 8.8243472)"
