lat,lon,coor
52.490552,13.3192668,"(52.490552, 13.3192668)"
52.5495479,13.571724,"(52.5495479, 13.571724)"
52.4886132,13.3193928,"(52.4886132, 13.3193928)"
52.4296658,13.2165739,"(52.4296658, 13.2165739)"
52.4288397,13.2169575,"(52.4288397, 13.2169575)"
52.5120379,13.448009,"(52.5120379, 13.448009)"
52.5846088,13.3117903,"(52.5846088, 13.3117903)"
52.5467638,13.4425034,"(52.5467638, 13.4425034)"
52.4799991,13.3051873,"(52.4799991, 13.3051873)"
52.4429012,13.3296947,"(52.4429012, 13.3296947)"
52.43395,13.4691087,"(52.43395, 13.4691087)"
52.5410259,13.3612351,"(52.5410259, 13.3612351)"
52.4612367,13.5126209,"(52.4612367, 13.5126209)"
52.5195649,13.4670158,"(52.5195649, 13.4670158)"
52.5194918,13.4678484,"(52.5194918, 13.4678484)"
52.5201789,13.209132,"(52.5201789, 13.209132)"
52.4645615,13.332343,"(52.4645615, 13.332343)"
52.4529498,13.3682446,"(52.4529498, 13.3682446)"
52.4521983,13.368313,"(52.4521983, 13.368313)"
52.4945212,13.4043253,"(52.4945212, 13.4043253)"
52.5313803,13.4251219,"(52.5313803, 13.4251219)"
52.529359,13.3311578,"(52.529359, 13.3311578)"
52.5102304,13.414755,"(52.5102304, 13.414755)"
52.5284363,13.1338082,"(52.5284363, 13.1338082)"
52.576434,13.1653935,"(52.576434, 13.1653935)"
52.5735489,13.1783449,"(52.5735489, 13.1783449)"
52.4863916,13.3790253,"(52.4863916, 13.3790253)"
52.4862328,13.3790193,"(52.4862328, 13.3790193)"
52.4738797,13.4493815,"(52.4738797, 13.4493815)"
52.4967598,13.3442626,"(52.4967598, 13.3442626)"
52.5074247,13.4221092,"(52.5074247, 13.4221092)"
52.4845732,13.3786866,"(52.4845732, 13.3786866)"
52.523936,13.3207351,"(52.523936, 13.3207351)"
52.4936246,13.5849945,"(52.4936246, 13.5849945)"
52.4935954,13.5850484,"(52.4935954, 13.5850484)"
52.5289402,13.4832702,"(52.5289402, 13.4832702)"
52.4101717,13.5818934,"(52.4101717, 13.5818934)"
52.519756,13.4621284,"(52.519756, 13.4621284)"
52.6228571,13.4595931,"(52.6228571, 13.4595931)"
52.5414157,13.361145,"(52.5414157, 13.361145)"
52.5413044,13.3612425,"(52.5413044, 13.3612425)"
52.5415903,13.360724,"(52.5415903, 13.360724)"
52.5427664,13.3597792,"(52.5427664, 13.3597792)"
52.5428016,13.3595966,"(52.5428016, 13.3595966)"
52.5417618,13.3586725,"(52.5417618, 13.3586725)"
52.5418033,13.3586239,"(52.5418033, 13.3586239)"
52.54052,13.3531432,"(52.54052, 13.3531432)"
52.5401659,13.3547057,"(52.5401659, 13.3547057)"
52.5274053,13.4087033,"(52.5274053, 13.4087033)"
52.527369,13.4088358,"(52.527369, 13.4088358)"
52.5368636,13.2701899,"(52.5368636, 13.2701899)"
52.4731544,13.5673858,"(52.4731544, 13.5673858)"
52.622297,13.4586837,"(52.622297, 13.4586837)"
52.5361874,13.4746956,"(52.5361874, 13.4746956)"
52.4973462,13.3439273,"(52.4973462, 13.3439273)"
52.4964457,13.4221664,"(52.4964457, 13.4221664)"
52.5109192,13.2101239,"(52.5109192, 13.2101239)"
52.5646251,13.3249268,"(52.5646251, 13.3249268)"
52.5106334,13.5345727,"(52.5106334, 13.5345727)"
52.4908163,13.3084939,"(52.4908163, 13.3084939)"
52.4934652,13.3107346,"(52.4934652, 13.3107346)"
52.5025311,13.4179188,"(52.5025311, 13.4179188)"
52.5021593,13.3080794,"(52.5021593, 13.3080794)"
52.5492247,13.3621357,"(52.5492247, 13.3621357)"
52.5508931,13.3539279,"(52.5508931, 13.3539279)"
52.6202142,13.4821702,"(52.6202142, 13.4821702)"
52.4595009,13.3149877,"(52.4595009, 13.3149877)"
52.6202802,13.4819821,"(52.6202802, 13.4819821)"
52.4031371,13.5072516,"(52.4031371, 13.5072516)"
52.5473768,13.3722529,"(52.5473768, 13.3722529)"
52.5524013,13.3867693,"(52.5524013, 13.3867693)"
52.4969671,13.3681736,"(52.4969671, 13.3681736)"
52.5725079,13.489424,"(52.5725079, 13.489424)"
52.4806625,13.358492,"(52.4806625, 13.358492)"
52.4835193,13.3577918,"(52.4835193, 13.3577918)"
52.4881055,13.3517781,"(52.4881055, 13.3517781)"
52.4798653,13.4083302,"(52.4798653, 13.4083302)"
52.5003142,13.475257,"(52.5003142, 13.475257)"
52.5002479,13.4752059,"(52.5002479, 13.4752059)"
52.5244676,13.4738157,"(52.5244676, 13.4738157)"
52.5228602,13.4825122,"(52.5228602, 13.4825122)"
52.4877578,13.3410672,"(52.4877578, 13.3410672)"
52.485448,13.3247629,"(52.485448, 13.3247629)"
52.4729749,13.305543,"(52.4729749, 13.305543)"
52.4729012,13.3122,"(52.4729012, 13.3122)"
52.4753388,13.3044004,"(52.4753388, 13.3044004)"
52.4745695,13.3059195,"(52.4745695, 13.3059195)"
52.5813835,13.1935999,"(52.5813835, 13.1935999)"
52.503551,13.4215991,"(52.503551, 13.4215991)"
52.4914046,13.3389096,"(52.4914046, 13.3389096)"
52.4797986,13.3454215,"(52.4797986, 13.3454215)"
52.4440686,13.3153344,"(52.4440686, 13.3153344)"
52.5642894,13.1818128,"(52.5642894, 13.1818128)"
52.5005987,13.2943126,"(52.5005987, 13.2943126)"
52.4644342,13.3269685,"(52.4644342, 13.3269685)"
52.4866726,13.3283724,"(52.4866726, 13.3283724)"
52.6146442,13.2708735,"(52.6146442, 13.2708735)"
52.4648869,13.3277034,"(52.4648869, 13.3277034)"
52.4190685,13.3592598,"(52.4190685, 13.3592598)"
52.4221861,13.3583522,"(52.4221861, 13.3583522)"
52.5472284,13.3672789,"(52.5472284, 13.3672789)"
52.6394818,13.4630543,"(52.6394818, 13.4630543)"
52.5123239,13.3909088,"(52.5123239, 13.3909088)"
52.5218057,13.4988651,"(52.5218057, 13.4988651)"
52.6209197,13.4823999,"(52.6209197, 13.4823999)"
