lat,lon,kind,coor
52.4993218,13.2961178,convenience,"(52.4993218, 13.2961178)"
52.5408415,13.1474707,convenience,"(52.5408415, 13.1474707)"
52.5110467,13.4626981,convenience,"(52.5110467, 13.4626981)"
52.5092086,13.5874999,convenience,"(52.5092086, 13.5874999)"
52.4144951,13.4019812,convenience,"(52.4144951, 13.4019812)"
52.5017902,13.4165385,convenience,"(52.5017902, 13.4165385)"
52.4990942,13.3931869,convenience,"(52.4990942, 13.3931869)"
52.5083552,13.4529561,convenience,"(52.5083552, 13.4529561)"
52.5108993,13.4611651,convenience,"(52.5108993, 13.4611651)"
52.4992044,13.4635638,convenience,"(52.4992044, 13.4635638)"
52.5291171,13.4094976,convenience,"(52.5291171, 13.4094976)"
52.5376931,13.2035603,convenience,"(52.5376931, 13.2035603)"
52.3934584,13.5726195,convenience,"(52.3934584, 13.5726195)"
52.4924848,13.4175963,convenience,"(52.4924848, 13.4175963)"
52.5429183,13.376473,convenience,"(52.5429183, 13.376473)"
52.5257591,13.4519646,convenience,"(52.5257591, 13.4519646)"
52.5262878,13.4516579,convenience,"(52.5262878, 13.4516579)"
52.5231705,13.4531781,convenience,"(52.5231705, 13.4531781)"
52.5227042,13.4513021,convenience,"(52.5227042, 13.4513021)"
52.5223054,13.4509232,convenience,"(52.5223054, 13.4509232)"
52.5231896,13.4503447,convenience,"(52.5231896, 13.4503447)"
52.5267897,13.3984785,convenience,"(52.5267897, 13.3984785)"
52.5087187,13.4616129,convenience,"(52.5087187, 13.4616129)"
52.4756969,13.4247724,convenience,"(52.4756969, 13.4247724)"
52.5282633,13.3430149,convenience,"(52.5282633, 13.3430149)"
52.4550699,13.375534,convenience,"(52.4550699, 13.375534)"
52.5120271,13.4964222,convenience,"(52.5120271, 13.4964222)"
52.5117432,13.4974878,convenience,"(52.5117432, 13.4974878)"
52.4899925,13.3602113,convenience,"(52.4899925, 13.3602113)"
52.5028638,13.4543186,convenience,"(52.5028638, 13.4543186)"
52.5097543,13.4622583,convenience,"(52.5097543, 13.4622583)"
52.503197,13.4914514,convenience,"(52.503197, 13.4914514)"
52.5510932,13.3564031,convenience,"(52.5510932, 13.3564031)"
52.4609503,13.4346275,convenience,"(52.4609503, 13.4346275)"
52.4673029,13.4403109,convenience,"(52.4673029, 13.4403109)"
52.4866393,13.3921451,convenience,"(52.4866393, 13.3921451)"
52.5011115,13.4410845,convenience,"(52.5011115, 13.4410845)"
52.5509168,13.5100245,convenience,"(52.5509168, 13.5100245)"
52.4860909,13.4351467,convenience,"(52.4860909, 13.4351467)"
52.5211339,13.4465218,convenience,"(52.5211339, 13.4465218)"
52.5171097,13.4466536,convenience,"(52.5171097, 13.4466536)"
52.5885762,13.2855387,convenience,"(52.5885762, 13.2855387)"
52.4816447,13.4441313,convenience,"(52.4816447, 13.4441313)"
52.544033,13.4242868,convenience,"(52.544033, 13.4242868)"
52.5880587,13.2849445,convenience,"(52.5880587, 13.2849445)"
52.5891994,13.2805206,convenience,"(52.5891994, 13.2805206)"
52.5417979,13.3575292,convenience,"(52.5417979, 13.3575292)"
52.542862,13.3590534,convenience,"(52.542862, 13.3590534)"
52.5472275,13.4157637,convenience,"(52.5472275, 13.4157637)"
52.5454075,13.4204087,convenience,"(52.5454075, 13.4204087)"
52.5436171,13.416199,convenience,"(52.5436171, 13.416199)"
52.5227373,13.4496607,convenience,"(52.5227373, 13.4496607)"
52.523981,13.4527734,convenience,"(52.523981, 13.4527734)"
52.5128191,13.4673128,convenience,"(52.5128191, 13.4673128)"
52.5129377,13.4658832,convenience,"(52.5129377, 13.4658832)"
52.514379,13.4659476,convenience,"(52.514379, 13.4659476)"
52.5461354,13.4180767,convenience,"(52.5461354, 13.4180767)"
52.5132812,13.4713536,convenience,"(52.5132812, 13.4713536)"
52.469814,13.4630769,convenience,"(52.469814, 13.4630769)"
52.4682342,13.4672291,convenience,"(52.4682342, 13.4672291)"
52.4825323,13.4409421,convenience,"(52.4825323, 13.4409421)"
52.483436,13.4360938,convenience,"(52.483436, 13.4360938)"
52.5344555,13.4305661,convenience,"(52.5344555, 13.4305661)"
52.4933967,13.2958852,convenience,"(52.4933967, 13.2958852)"
52.5033624,13.4121295,convenience,"(52.5033624, 13.4121295)"
52.5514691,13.3578197,convenience,"(52.5514691, 13.3578197)"
52.5342305,13.4086992,convenience,"(52.5342305, 13.4086992)"
52.5488264,13.4140802,convenience,"(52.5488264, 13.4140802)"
52.5075231,13.4965878,convenience,"(52.5075231, 13.4965878)"
52.4031371,13.5072516,convenience,"(52.4031371, 13.5072516)"
52.5508319,13.3787053,convenience,"(52.5508319, 13.3787053)"
52.5463987,13.3696159,convenience,"(52.5463987, 13.3696159)"
52.5522529,13.3821551,convenience,"(52.5522529, 13.3821551)"
52.4746659,13.4232927,convenience,"(52.4746659, 13.4232927)"
52.5278285,13.4101407,convenience,"(52.5278285, 13.4101407)"
52.4879348,13.430489,convenience,"(52.4879348, 13.430489)"
52.4875623,13.4375216,convenience,"(52.4875623, 13.4375216)"
52.5802548,13.3988194,convenience,"(52.5802548, 13.3988194)"
52.4553748,13.5765726,convenience,"(52.4553748, 13.5765726)"
52.5704399,13.410203,convenience,"(52.5704399, 13.410203)"
52.5745998,13.357608,convenience,"(52.5745998, 13.357608)"
52.5663982,13.3632929,convenience,"(52.5663982, 13.3632929)"
52.5374494,13.408254,convenience,"(52.5374494, 13.408254)"
52.5401664,13.4111403,convenience,"(52.5401664, 13.4111403)"
52.488513,13.3532962,convenience,"(52.488513, 13.3532962)"
52.506133,13.4655484,convenience,"(52.506133, 13.4655484)"
52.5049744,13.4674633,convenience,"(52.5049744, 13.4674633)"
52.5046457,13.4678618,convenience,"(52.5046457, 13.4678618)"
52.4669419,13.5133836,convenience,"(52.4669419, 13.5133836)"
52.4668756,13.3198096,convenience,"(52.4668756, 13.3198096)"
52.4575426,13.3843486,convenience,"(52.4575426, 13.3843486)"
52.5058829,13.4703076,convenience,"(52.5058829, 13.4703076)"
52.5072131,13.4684572,convenience,"(52.5072131, 13.4684572)"
52.5255327,13.3303661,convenience,"(52.5255327, 13.3303661)"
52.52558,13.3299243,convenience,"(52.52558, 13.3299243)"
52.499861,13.4191728,convenience,"(52.499861, 13.4191728)"
52.4996809,13.4297459,convenience,"(52.4996809, 13.4297459)"
52.4982621,13.4288645,convenience,"(52.4982621, 13.4288645)"
52.4987819,13.4273375,convenience,"(52.4987819, 13.4273375)"
52.4981816,13.3848148,convenience,"(52.4981816, 13.3848148)"
52.5414875,13.3487169,convenience,"(52.5414875, 13.3487169)"
52.5416669,13.3494233,convenience,"(52.5416669, 13.3494233)"
52.5533409,13.4083302,convenience,"(52.5533409, 13.4083302)"
52.445943,13.500479,convenience,"(52.445943, 13.500479)"
52.4938895,13.4218188,convenience,"(52.4938895, 13.4218188)"
52.5272929,13.4500121,convenience,"(52.5272929, 13.4500121)"
52.4885157,13.4287783,convenience,"(52.4885157, 13.4287783)"
52.5469121,13.406241,convenience,"(52.5469121, 13.406241)"
52.5154783,13.290879,convenience,"(52.5154783, 13.290879)"
52.5402467,13.4158448,convenience,"(52.5402467, 13.4158448)"
52.5394809,13.4238961,convenience,"(52.5394809, 13.4238961)"
52.4854176,13.4268834,convenience,"(52.4854176, 13.4268834)"
52.5053204,13.3940873,convenience,"(52.5053204, 13.3940873)"
52.5348523,13.4379797,convenience,"(52.5348523, 13.4379797)"
52.5065512,13.4698185,convenience,"(52.5065512, 13.4698185)"
52.5100286,13.462105,convenience,"(52.5100286, 13.462105)"
52.5157165,13.4399122,convenience,"(52.5157165, 13.4399122)"
52.5110245,13.4356582,convenience,"(52.5110245, 13.4356582)"
52.5230609,13.4344701,convenience,"(52.5230609, 13.4344701)"
52.519883,13.4516496,convenience,"(52.519883, 13.4516496)"
52.5222261,13.449453,convenience,"(52.5222261, 13.449453)"
52.5534498,13.3921872,convenience,"(52.5534498, 13.3921872)"
52.4369217,13.7181357,convenience,"(52.4369217, 13.7181357)"
52.6069342,13.4217062,convenience,"(52.6069342, 13.4217062)"
52.5091058,13.4555933,convenience,"(52.5091058, 13.4555933)"
52.5116257,13.3898386,convenience,"(52.5116257, 13.3898386)"
52.4799667,13.5214915,convenience,"(52.4799667, 13.5214915)"
52.5087859,13.4973357,convenience,"(52.5087859, 13.4973357)"
52.5196117,13.1712485,convenience,"(52.5196117, 13.1712485)"
52.5375585,13.4111971,convenience,"(52.5375585, 13.4111971)"
52.4923613,13.4169147,convenience,"(52.4923613, 13.4169147)"
52.5237092,13.4393122,convenience,"(52.5237092, 13.4393122)"
52.5014008,13.4934074,convenience,"(52.5014008, 13.4934074)"
52.4568134,13.384211,convenience,"(52.4568134, 13.384211)"
52.5541616,13.3397118,convenience,"(52.5541616, 13.3397118)"
52.5211006,13.4470268,convenience,"(52.5211006, 13.4470268)"
52.5143319,13.4929949,convenience,"(52.5143319, 13.4929949)"
52.5258885,13.3070269,convenience,"(52.5258885, 13.3070269)"
52.518017,13.3168638,convenience,"(52.518017, 13.3168638)"
52.4687842,13.4302906,convenience,"(52.4687842, 13.4302906)"
52.5062656,13.3113681,convenience,"(52.5062656, 13.3113681)"
52.5094123,13.3916066,convenience,"(52.5094123, 13.3916066)"
52.5546103,13.4153894,convenience,"(52.5546103, 13.4153894)"
52.489136,13.4509862,convenience,"(52.489136, 13.4509862)"
52.4980049,13.4211603,convenience,"(52.4980049, 13.4211603)"
52.4591429,13.5253076,convenience,"(52.4591429, 13.5253076)"
52.47496,13.3428619,convenience,"(52.47496, 13.3428619)"
52.475761,13.339905,convenience,"(52.475761, 13.339905)"
52.5006355,13.4316495,convenience,"(52.5006355, 13.4316495)"
52.5069169,13.4234636,convenience,"(52.5069169, 13.4234636)"
52.5029232,13.4202891,convenience,"(52.5029232, 13.4202891)"
52.5117259,13.4167008,convenience,"(52.5117259, 13.4167008)"
52.4682986,13.4302019,convenience,"(52.4682986, 13.4302019)"
52.5014844,13.4318688,convenience,"(52.5014844, 13.4318688)"
52.5021417,13.4325367,convenience,"(52.5021417, 13.4325367)"
52.5485711,13.500718,convenience,"(52.5485711, 13.500718)"
52.4151673,13.4972812,convenience,"(52.4151673, 13.4972812)"
52.5030129,13.3956038,convenience,"(52.5030129, 13.3956038)"
52.4708586,13.3439672,convenience,"(52.4708586, 13.3439672)"
52.4700074,13.4254726,convenience,"(52.4700074, 13.4254726)"
52.511525,13.4610655,convenience,"(52.511525, 13.4610655)"
52.5035281,13.3842362,convenience,"(52.5035281, 13.3842362)"
52.5295875,13.4258675,convenience,"(52.5295875, 13.4258675)"
52.528339,13.4253908,convenience,"(52.528339, 13.4253908)"
52.5282926,13.3937035,convenience,"(52.5282926, 13.3937035)"
52.5446717,13.2463188,convenience,"(52.5446717, 13.2463188)"
52.5049434,13.3679278,convenience,"(52.5049434, 13.3679278)"
52.547506,13.2597088,convenience,"(52.547506, 13.2597088)"
52.5278268,13.3917759,convenience,"(52.5278268, 13.3917759)"
52.5395099,13.2723203,convenience,"(52.5395099, 13.2723203)"
52.497054,13.4322378,convenience,"(52.497054, 13.4322378)"
52.5141024,13.5543949,convenience,"(52.5141024, 13.5543949)"
52.5085725,13.4660361,convenience,"(52.5085725, 13.4660361)"
52.5146738,13.4629626,convenience,"(52.5146738, 13.4629626)"
52.5531116,13.3620341,convenience,"(52.5531116, 13.3620341)"
52.5450604,13.4123349,convenience,"(52.5450604, 13.4123349)"
52.4927794,13.4445307,convenience,"(52.4927794, 13.4445307)"
52.4802885,13.4375394,convenience,"(52.4802885, 13.4375394)"
52.5426837,13.3562697,convenience,"(52.5426837, 13.3562697)"
52.5095164,13.4996572,convenience,"(52.5095164, 13.4996572)"
52.5714856,13.408441,convenience,"(52.5714856, 13.408441)"
52.4796484,13.4256815,convenience,"(52.4796484, 13.4256815)"
52.573191,13.4118765,convenience,"(52.573191, 13.4118765)"
52.5391505,13.4229654,convenience,"(52.5391505, 13.4229654)"
52.5313486,13.3457172,convenience,"(52.5313486, 13.3457172)"
52.5006325,13.4220527,convenience,"(52.5006325, 13.4220527)"
52.517851,13.4618701,convenience,"(52.517851, 13.4618701)"
52.513557,13.4740244,convenience,"(52.513557, 13.4740244)"
52.5087196,13.497297,convenience,"(52.5087196, 13.497297)"
52.5000597,13.4408296,convenience,"(52.5000597, 13.4408296)"
52.4562768,13.5113805,convenience,"(52.4562768, 13.5113805)"
52.5478164,13.3512729,convenience,"(52.5478164, 13.3512729)"
52.4628371,13.4834482,convenience,"(52.4628371, 13.4834482)"
52.476671,13.3200611,convenience,"(52.476671, 13.3200611)"
52.4556392,13.5772838,convenience,"(52.4556392, 13.5772838)"
52.4901887,13.3612234,convenience,"(52.4901887, 13.3612234)"
52.4902201,13.3615476,convenience,"(52.4902201, 13.3615476)"
52.532324,13.3405799,convenience,"(52.532324, 13.3405799)"
52.5460604,13.4242176,convenience,"(52.5460604, 13.4242176)"
52.5429314,13.4232484,convenience,"(52.5429314, 13.4232484)"
52.5062656,13.2835133,convenience,"(52.5062656, 13.2835133)"
52.5122969,13.4697138,convenience,"(52.5122969, 13.4697138)"
52.4973075,13.4452756,convenience,"(52.4973075, 13.4452756)"
52.5445553,13.4187368,convenience,"(52.5445553, 13.4187368)"
52.543873,13.4120203,convenience,"(52.543873, 13.4120203)"
52.4785103,13.4388209,convenience,"(52.4785103, 13.4388209)"
