lat,lon,coor
52.4584678,13.5762278,"(52.4584678, 13.5762278)"
52.5423271,13.3658567,"(52.5423271, 13.3658567)"
52.5453694,13.4577226,"(52.5453694, 13.4577226)"
52.4480841,13.4440895,"(52.4480841, 13.4440895)"
52.4525653,13.4495822,"(52.4525653, 13.4495822)"
52.5208191,13.3774253,"(52.5208191, 13.3774253)"
52.5174024,13.3914034,"(52.5174024, 13.3914034)"
52.5838022,13.3132125,"(52.5838022, 13.3132125)"
52.540561,13.437831,"(52.540561, 13.437831)"
52.543354,13.3519762,"(52.543354, 13.3519762)"
52.5443531,13.3544905,"(52.5443531, 13.3544905)"
52.5437603,13.3513338,"(52.5437603, 13.3513338)"
52.5210667,13.4141137,"(52.5210667, 13.4141137)"
52.5468406,13.3595746,"(52.5468406, 13.3595746)"
52.5317177,13.3317053,"(52.5317177, 13.3317053)"
52.5322904,13.3415812,"(52.5322904, 13.3415812)"
52.532204,13.3385351,"(52.532204, 13.3385351)"
52.530768,13.3386093,"(52.530768, 13.3386093)"
52.5308366,13.3388346,"(52.5308366, 13.3388346)"
52.5098068,13.4332698,"(52.5098068, 13.4332698)"
52.5233541,13.4642264,"(52.5233541, 13.4642264)"
52.5244797,13.4651175,"(52.5244797, 13.4651175)"
52.4597179,13.3237878,"(52.4597179, 13.3237878)"
52.4697293,13.4623917,"(52.4697293, 13.4623917)"
52.507965,13.3333368,"(52.507965, 13.3333368)"
52.5972753,13.3761318,"(52.5972753, 13.3761318)"
52.6371555,13.4334847,"(52.6371555, 13.4334847)"
52.5097581,13.3719282,"(52.5097581, 13.3719282)"
52.5057693,13.5611124,"(52.5057693, 13.5611124)"
52.5660036,13.3918533,"(52.5660036, 13.3918533)"
52.5117666,13.5875147,"(52.5117666, 13.5875147)"
52.5035283,13.3816595,"(52.5035283, 13.3816595)"
52.4332067,13.5294476,"(52.4332067, 13.5294476)"
52.4324801,13.5284207,"(52.4324801, 13.5284207)"
52.5297419,13.3352332,"(52.5297419, 13.3352332)"
52.5302342,13.3353657,"(52.5302342, 13.3353657)"
52.4314084,13.1927271,"(52.4314084, 13.1927271)"
52.4308476,13.1938634,"(52.4308476, 13.1938634)"
52.4311974,13.1941469,"(52.4311974, 13.1941469)"
52.5244912,13.3678866,"(52.5244912, 13.3678866)"
52.5341197,13.3590966,"(52.5341197, 13.3590966)"
52.5344672,13.3586012,"(52.5344672, 13.3586012)"
52.497208,13.5241193,"(52.497208, 13.5241193)"
52.3993894,13.5401451,"(52.3993894, 13.5401451)"
52.4576033,13.6010773,"(52.4576033, 13.6010773)"
52.4566898,13.6252882,"(52.4566898, 13.6252882)"
52.457063,13.6256486,"(52.457063, 13.6256486)"
52.5109898,13.4351585,"(52.5109898, 13.4351585)"
52.5093727,13.4348601,"(52.5093727, 13.4348601)"
52.4298621,13.5158692,"(52.4298621, 13.5158692)"
52.5200849,13.4604082,"(52.5200849, 13.4604082)"
52.5262925,13.3232426,"(52.5262925, 13.3232426)"
52.4683858,13.5270198,"(52.4683858, 13.5270198)"
52.5399045,13.3526175,"(52.5399045, 13.3526175)"
52.5413089,13.3534112,"(52.5413089, 13.3534112)"
52.517044,13.2498186,"(52.517044, 13.2498186)"
52.4563792,13.4994072,"(52.4563792, 13.4994072)"
52.4307998,13.5307973,"(52.4307998, 13.5307973)"
52.4308036,13.5319754,"(52.4308036, 13.5319754)"
52.5492897,13.3878403,"(52.5492897, 13.3878403)"
52.5496692,13.3922658,"(52.5496692, 13.3922658)"
52.4415836,13.4462789,"(52.4415836, 13.4462789)"
52.4394217,13.5069822,"(52.4394217, 13.5069822)"
52.4392205,13.5074858,"(52.4392205, 13.5074858)"
52.4406793,13.5162112,"(52.4406793, 13.5162112)"
52.4410178,13.5167868,"(52.4410178, 13.5167868)"
52.4353026,13.5350852,"(52.4353026, 13.5350852)"
52.5209578,13.2765703,"(52.5209578, 13.2765703)"
52.4709973,13.5647063,"(52.4709973, 13.5647063)"
52.4400875,13.4975718,"(52.4400875, 13.4975718)"
52.439882,13.4996384,"(52.439882, 13.4996384)"
52.4452353,13.5109916,"(52.4452353, 13.5109916)"
52.5282651,13.4102036,"(52.5282651, 13.4102036)"
52.5396469,13.41347,"(52.5396469, 13.41347)"
52.5442627,13.3689211,"(52.5442627, 13.3689211)"
52.514343,13.325992,"(52.514343, 13.325992)"
52.5156949,13.3239006,"(52.5156949, 13.3239006)"
52.5154477,13.3250338,"(52.5154477, 13.3250338)"
52.5134274,13.3266286,"(52.5134274, 13.3266286)"
52.5157023,13.3241848,"(52.5157023, 13.3241848)"
52.5155007,13.3254211,"(52.5155007, 13.3254211)"
52.5132362,13.3269045,"(52.5132362, 13.3269045)"
52.5146798,13.3265916,"(52.5146798, 13.3265916)"
52.5132143,13.3265399,"(52.5132143, 13.3265399)"
52.5043157,13.467824,"(52.5043157, 13.467824)"
52.5269707,13.4791025,"(52.5269707, 13.4791025)"
52.5416337,13.4409905,"(52.5416337, 13.4409905)"
52.5132265,13.3234368,"(52.5132265, 13.3234368)"
52.4866378,13.3268535,"(52.4866378, 13.3268535)"
52.470312,13.3403898,"(52.470312, 13.3403898)"
52.446835,13.5618885,"(52.446835, 13.5618885)"
52.4887702,13.3404266,"(52.4887702, 13.3404266)"
52.4887999,13.3406411,"(52.4887999, 13.3406411)"
52.5107259,13.4361668,"(52.5107259, 13.4361668)"
52.5142825,13.4676607,"(52.5142825, 13.4676607)"
52.5141258,13.4693237,"(52.5141258, 13.4693237)"
52.5142434,13.468122,"(52.5142434, 13.468122)"
52.5140767,13.4669311,"(52.5140767, 13.4669311)"
52.5347843,13.4515251,"(52.5347843, 13.4515251)"
52.5237769,13.4631518,"(52.5237769, 13.4631518)"
52.5203672,13.4628357,"(52.5203672, 13.4628357)"
52.5204357,13.4624316,"(52.5204357, 13.4624316)"
52.5458176,13.4444505,"(52.5458176, 13.4444505)"
52.5464674,13.4426569,"(52.5464674, 13.4426569)"
52.5231456,13.4623449,"(52.5231456, 13.4623449)"
52.5293623,13.4570425,"(52.5293623, 13.4570425)"
52.5178313,13.4529227,"(52.5178313, 13.4529227)"
52.5113261,13.4590788,"(52.5113261, 13.4590788)"
52.4562162,13.2976117,"(52.4562162, 13.2976117)"
52.4557723,13.2963423,"(52.4557723, 13.2963423)"
52.4563219,13.2976361,"(52.4563219, 13.2976361)"
52.453383,13.2879479,"(52.453383, 13.2879479)"
52.4528537,13.2877341,"(52.4528537, 13.2877341)"
52.4674467,13.4317154,"(52.4674467, 13.4317154)"
52.5510481,13.3513605,"(52.5510481, 13.3513605)"
52.4104119,13.6652199,"(52.4104119, 13.6652199)"
52.4568233,13.2965497,"(52.4568233, 13.2965497)"
52.4317748,13.531984,"(52.4317748, 13.531984)"
52.4322301,13.5283524,"(52.4322301, 13.5283524)"
52.4334292,13.5298171,"(52.4334292, 13.5298171)"
52.4320036,13.5286909,"(52.4320036, 13.5286909)"
52.4323924,13.5282718,"(52.4323924, 13.5282718)"
52.4333203,13.5296371,"(52.4333203, 13.5296371)"
52.4316755,13.5326508,"(52.4316755, 13.5326508)"
52.4317276,13.5290007,"(52.4317276, 13.5290007)"
52.4297848,13.5310057,"(52.4297848, 13.5310057)"
52.432192,13.5345729,"(52.432192, 13.5345729)"
52.4322771,13.534424,"(52.4322771, 13.534424)"
52.4309611,13.5260933,"(52.4309611, 13.5260933)"
52.4311083,13.5265225,"(52.4311083, 13.5265225)"
52.4314396,13.5262437,"(52.4314396, 13.5262437)"
52.5062277,13.4657872,"(52.5062277, 13.4657872)"
52.5061901,13.4658113,"(52.5061901, 13.4658113)"
52.5716121,13.3801388,"(52.5716121, 13.3801388)"
52.5911668,13.4427829,"(52.5911668, 13.4427829)"
52.5952704,13.2763844,"(52.5952704, 13.2763844)"
52.5736664,13.3513039,"(52.5736664, 13.3513039)"
52.5134231,13.3229338,"(52.5134231, 13.3229338)"
52.4290906,13.5296233,"(52.4290906, 13.5296233)"
52.442268,13.5060287,"(52.442268, 13.5060287)"
52.4909215,13.4113558,"(52.4909215, 13.4113558)"
52.4900611,13.4094112,"(52.4900611, 13.4094112)"
52.4821921,13.4072463,"(52.4821921, 13.4072463)"
52.4904212,13.4100538,"(52.4904212, 13.4100538)"
52.389538,13.5709024,"(52.389538, 13.5709024)"
52.4057086,13.5642377,"(52.4057086, 13.5642377)"
52.398948,13.5410158,"(52.398948, 13.5410158)"
52.4905719,13.4099345,"(52.4905719, 13.4099345)"
52.4153337,13.4960345,"(52.4153337, 13.4960345)"
52.4909988,13.4105095,"(52.4909988, 13.4105095)"
52.4029147,13.5123737,"(52.4029147, 13.5123737)"
52.4026604,13.5126374,"(52.4026604, 13.5126374)"
52.4944993,13.4148481,"(52.4944993, 13.4148481)"
52.4930989,13.4143297,"(52.4930989, 13.4143297)"
52.4837674,13.4171212,"(52.4837674, 13.4171212)"
52.4868354,13.4178511,"(52.4868354, 13.4178511)"
52.4714842,13.3859776,"(52.4714842, 13.3859776)"
52.4872185,13.4201667,"(52.4872185, 13.4201667)"
52.5065688,13.3330031,"(52.5065688, 13.3330031)"
52.5192997,13.3757352,"(52.5192997, 13.3757352)"
52.5155013,13.5019774,"(52.5155013, 13.5019774)"
52.5208149,13.4008413,"(52.5208149, 13.4008413)"
52.4411242,13.5204268,"(52.4411242, 13.5204268)"
52.4349531,13.260103,"(52.4349531, 13.260103)"
52.4377099,13.2622086,"(52.4377099, 13.2622086)"
52.437807,13.2638245,"(52.437807, 13.2638245)"
52.4309352,13.2594536,"(52.4309352, 13.2594536)"
52.4347085,13.2619547,"(52.4347085, 13.2619547)"
52.4343066,13.2602462,"(52.4343066, 13.2602462)"
52.4362586,13.2610132,"(52.4362586, 13.2610132)"
52.4381717,13.26249,"(52.4381717, 13.26249)"
52.411252,13.2621787,"(52.411252, 13.2621787)"
52.4118164,13.2670899,"(52.4118164, 13.2670899)"
52.4122508,13.2667108,"(52.4122508, 13.2667108)"
52.4563393,13.3204261,"(52.4563393, 13.3204261)"
52.4550768,13.3194462,"(52.4550768, 13.3194462)"
52.4573676,13.3198124,"(52.4573676, 13.3198124)"
52.4569014,13.3202593,"(52.4569014, 13.3202593)"
52.4374084,13.2641866,"(52.4374084, 13.2641866)"
52.4641775,13.3268765,"(52.4641775, 13.3268765)"
52.4378995,13.263374,"(52.4378995, 13.263374)"
52.5276622,13.3805177,"(52.5276622, 13.3805177)"
52.5276528,13.3812475,"(52.5276528, 13.3812475)"
52.4141132,13.2645137,"(52.4141132, 13.2645137)"
52.4138547,13.2645827,"(52.4138547, 13.2645827)"
52.5276513,13.3801287,"(52.5276513, 13.3801287)"
52.5291881,13.3754212,"(52.5291881, 13.3754212)"
52.510016,13.4055756,"(52.510016, 13.4055756)"
52.5401222,13.3586919,"(52.5401222, 13.3586919)"
52.5434447,13.3593771,"(52.5434447, 13.3593771)"
52.5435908,13.3590017,"(52.5435908, 13.3590017)"
52.549845,13.3533,"(52.549845, 13.3533)"
52.5426103,13.3591032,"(52.5426103, 13.3591032)"
52.5422363,13.3585704,"(52.5422363, 13.3585704)"
52.5203906,13.3214578,"(52.5203906, 13.3214578)"
52.5271965,13.3647885,"(52.5271965, 13.3647885)"
52.5279028,13.3820091,"(52.5279028, 13.3820091)"
52.5277588,13.381241,"(52.5277588, 13.381241)"
52.5281752,13.3816493,"(52.5281752, 13.3816493)"
52.5276419,13.3800071,"(52.5276419, 13.3800071)"
52.540409,13.3536936,"(52.540409, 13.3536936)"
52.5289494,13.3791785,"(52.5289494, 13.3791785)"
