lat,lon,coor
52.506911,13.3228214,"(52.506911, 13.3228214)"
52.5062119,13.3180811,"(52.5062119, 13.3180811)"
52.5073199,13.3207804,"(52.5073199, 13.3207804)"
52.5063184,13.2846256,"(52.5063184, 13.2846256)"
52.5388551,13.3960965,"(52.5388551, 13.3960965)"
52.4907103,13.3939814,"(52.4907103, 13.3939814)"
52.5476798,13.3563426,"(52.5476798, 13.3563426)"
52.5068889,13.2839198,"(52.5068889, 13.2839198)"
52.5103223,13.2829535,"(52.5103223, 13.2829535)"
52.5543102,13.3311051,"(52.5543102, 13.3311051)"
52.4983826,13.2969979,"(52.4983826, 13.2969979)"
52.4985867,13.2982491,"(52.4985867, 13.2982491)"
52.5009791,13.2976442,"(52.5009791, 13.2976442)"
52.5194029,13.3887381,"(52.5194029, 13.3887381)"
52.5167295,13.3797732,"(52.5167295, 13.3797732)"
52.507931,13.3737316,"(52.507931, 13.3737316)"
52.5105871,13.3764297,"(52.5105871, 13.3764297)"
52.572519,13.3082697,"(52.572519, 13.3082697)"
52.5697324,13.3124707,"(52.5697324, 13.3124707)"
52.5770943,13.3073438,"(52.5770943, 13.3073438)"
52.4800304,13.3277157,"(52.4800304, 13.3277157)"
52.5701303,13.3098188,"(52.5701303, 13.3098188)"
52.5096736,13.2707607,"(52.5096736, 13.2707607)"
52.5089075,13.2708507,"(52.5089075, 13.2708507)"
52.509874,13.2708833,"(52.509874, 13.2708833)"
52.5106205,13.2716607,"(52.5106205, 13.2716607)"
52.5082693,13.3770044,"(52.5082693, 13.3770044)"
52.5151154,13.3889505,"(52.5151154, 13.3889505)"
52.5150034,13.3903882,"(52.5150034, 13.3903882)"
52.5150373,13.3907724,"(52.5150373, 13.3907724)"
52.514689,13.3909281,"(52.514689, 13.3909281)"
52.5141056,13.3909914,"(52.5141056, 13.3909914)"
52.5132123,13.3911782,"(52.5132123, 13.3911782)"
52.5124049,13.3913074,"(52.5124049, 13.3913074)"
52.5120539,13.3922763,"(52.5120539, 13.3922763)"
52.5130816,13.3935532,"(52.5130816, 13.3935532)"
52.5307598,13.3831456,"(52.5307598, 13.3831456)"
