lat,lon,coor
52.5407412,13.4866016,"(52.5407412, 13.4866016)"
52.5318353,13.4696536,"(52.5318353, 13.4696536)"
52.5275552,13.4685134,"(52.5275552, 13.4685134)"
52.4893898,13.4505704,"(52.4893898, 13.4505704)"
52.5105088,13.3959459,"(52.5105088, 13.3959459)"
52.510659,13.390049,"(52.510659, 13.390049)"
52.4815485,13.3190694,"(52.4815485, 13.3190694)"
52.4865543,13.3314064,"(52.4865543, 13.3314064)"
52.5431994,13.4423197,"(52.5431994, 13.4423197)"
52.5071247,13.3947881,"(52.5071247, 13.3947881)"
52.5633045,13.3287743,"(52.5633045, 13.3287743)"
52.5668918,13.3170343,"(52.5668918, 13.3170343)"
52.5701291,13.3213944,"(52.5701291, 13.3213944)"
52.4815398,13.3289844,"(52.4815398, 13.3289844)"
52.5104923,13.2716035,"(52.5104923, 13.2716035)"
52.5306975,13.3841248,"(52.5306975, 13.3841248)"
52.5117692,13.3868843,"(52.5117692, 13.3868843)"
52.5218379,13.4096557,"(52.5218379, 13.4096557)"
52.519834,13.4111159,"(52.519834, 13.4111159)"
52.5133809,13.4053524,"(52.5133809, 13.4053524)"
52.5268708,13.5425973,"(52.5268708, 13.5425973)"
52.5276071,13.5421939,"(52.5276071, 13.5421939)"
52.5204665,13.5558118,"(52.5204665, 13.5558118)"
52.5264625,13.3501221,"(52.5264625, 13.3501221)"
52.54973,13.3498263,"(52.54973, 13.3498263)"
52.5069033,13.3218338,"(52.5069033, 13.3218338)"
52.4818892,13.440147,"(52.4818892, 13.440147)"
52.4803687,13.4394937,"(52.4803687, 13.4394937)"
52.5069568,13.2972926,"(52.5069568, 13.2972926)"
52.549263,13.4133047,"(52.549263, 13.4133047)"
52.5509103,13.4079077,"(52.5509103, 13.4079077)"
52.4123291,13.5725477,"(52.4123291, 13.5725477)"
52.4905931,13.456649,"(52.4905931, 13.456649)"
52.5241575,13.4800051,"(52.5241575, 13.4800051)"
52.517681,13.5829,"(52.517681, 13.5829)"
52.5111499,13.6121832,"(52.5111499, 13.6121832)"
52.5093071,13.6138321,"(52.5093071, 13.6138321)"
52.5071368,13.592044,"(52.5071368, 13.592044)"
52.5360082,13.4270624,"(52.5360082, 13.4270624)"
52.5372848,13.1879163,"(52.5372848, 13.1879163)"
52.4985391,13.3071113,"(52.4985391, 13.3071113)"
52.4789497,13.4451781,"(52.4789497, 13.4451781)"
52.6128103,13.2315014,"(52.6128103, 13.2315014)"
52.607565,13.2348292,"(52.607565, 13.2348292)"
52.5430244,13.3626634,"(52.5430244, 13.3626634)"
52.4956842,13.4052329,"(52.4956842, 13.4052329)"
52.6231382,13.2375625,"(52.6231382, 13.2375625)"
52.4935361,13.4134932,"(52.4935361, 13.4134932)"
52.507579,13.414104,"(52.507579, 13.414104)"
52.4322633,13.2196207,"(52.4322633, 13.2196207)"
52.4271388,13.216597,"(52.4271388, 13.216597)"
52.4327628,13.7098785,"(52.4327628, 13.7098785)"
52.543989,13.3735976,"(52.543989, 13.3735976)"
52.5320913,13.1981714,"(52.5320913, 13.1981714)"
52.5366282,13.2052104,"(52.5366282, 13.2052104)"
52.5376866,13.2060246,"(52.5376866, 13.2060246)"
52.5376635,13.2036654,"(52.5376635, 13.2036654)"
52.542908,13.2059594,"(52.542908, 13.2059594)"
52.5286784,13.1960626,"(52.5286784, 13.1960626)"
52.5211632,13.1970215,"(52.5211632, 13.1970215)"
52.5208942,13.1948184,"(52.5208942, 13.1948184)"
52.5254705,13.1971411,"(52.5254705, 13.1971411)"
52.4678648,13.4421953,"(52.4678648, 13.4421953)"
52.4889422,13.3939616,"(52.4889422, 13.3939616)"
52.5356492,13.1956671,"(52.5356492, 13.1956671)"
52.5217984,13.198061,"(52.5217984, 13.198061)"
52.5133802,13.6120014,"(52.5133802, 13.6120014)"
52.5236079,13.3867577,"(52.5236079, 13.3867577)"
52.4671189,13.4886389,"(52.4671189, 13.4886389)"
52.512828,13.1833779,"(52.512828, 13.1833779)"
52.4364093,13.3464079,"(52.4364093, 13.3464079)"
52.517377,13.4686866,"(52.517377, 13.4686866)"
52.5144491,13.4652178,"(52.5144491, 13.4652178)"
52.5144752,13.4648596,"(52.5144752, 13.4648596)"
52.4824957,13.5262915,"(52.4824957, 13.5262915)"
52.5467539,13.2094458,"(52.5467539, 13.2094458)"
52.5678242,13.5724583,"(52.5678242, 13.5724583)"
52.5643537,13.4445534,"(52.5643537, 13.4445534)"
52.4163173,13.3997542,"(52.4163173, 13.3997542)"
52.5473903,13.1871238,"(52.5473903, 13.1871238)"
52.4564263,13.3209201,"(52.4564263, 13.3209201)"
52.5953568,13.3351509,"(52.5953568, 13.3351509)"
52.4997043,13.4969744,"(52.4997043, 13.4969744)"
52.4129601,13.3530353,"(52.4129601, 13.3530353)"
52.4675849,13.3308517,"(52.4675849, 13.3308517)"
52.4672318,13.3279955,"(52.4672318, 13.3279955)"
52.4426607,13.2963669,"(52.4426607, 13.2963669)"
52.6066211,13.4800575,"(52.6066211, 13.4800575)"
52.5114112,13.612096,"(52.5114112, 13.612096)"
52.5249401,13.1424401,"(52.5249401, 13.1424401)"
52.5463569,13.3586662,"(52.5463569, 13.3586662)"
52.5054076,13.5142084,"(52.5054076, 13.5142084)"
52.4274299,13.3262036,"(52.4274299, 13.3262036)"
52.4286915,13.3289561,"(52.4286915, 13.3289561)"
52.4920349,13.4194693,"(52.4920349, 13.4194693)"
52.4800967,13.342851,"(52.4800967, 13.342851)"
52.5057922,13.5128096,"(52.5057922, 13.5128096)"
52.5028212,13.3167347,"(52.5028212, 13.3167347)"
52.4236416,13.3978849,"(52.4236416, 13.3978849)"
52.4752159,13.2899562,"(52.4752159, 13.2899562)"
52.5667802,13.4155075,"(52.5667802, 13.4155075)"
