lat,lon,coor
52.401683,13.5743044,"(52.401683, 13.5743044)"
52.489074,13.322506,"(52.489074, 13.322506)"
52.5245064,13.3465209,"(52.5245064, 13.3465209)"
52.5336632,13.3536389,"(52.5336632, 13.3536389)"
52.524022,13.3525663,"(52.524022, 13.3525663)"
52.549737,13.3869855,"(52.549737, 13.3869855)"
52.5319726,13.4687709,"(52.5319726, 13.4687709)"
52.4369572,13.2822684,"(52.4369572, 13.2822684)"
52.5646771,13.5071817,"(52.5646771, 13.5071817)"
52.5254154,13.5442452,"(52.5254154, 13.5442452)"
52.4982937,13.4469544,"(52.4982937, 13.4469544)"
52.5233589,13.5431897,"(52.5233589, 13.5431897)"
52.5111447,13.4060606,"(52.5111447, 13.4060606)"
52.5107074,13.3966566,"(52.5107074, 13.3966566)"
52.5078509,13.3728499,"(52.5078509, 13.3728499)"
52.5057284,13.3458948,"(52.5057284, 13.3458948)"
52.5086732,13.349208,"(52.5086732, 13.349208)"
52.5097654,13.3589548,"(52.5097654, 13.3589548)"
52.5121598,13.3769532,"(52.5121598, 13.3769532)"
52.4840507,13.3204092,"(52.4840507, 13.3204092)"
52.54308,13.442233,"(52.54308, 13.442233)"
52.5395517,13.452109,"(52.5395517, 13.452109)"
52.507221,13.3980701,"(52.507221, 13.3980701)"
52.5220063,13.4006779,"(52.5220063, 13.4006779)"
52.5737422,13.3141716,"(52.5737422, 13.3141716)"
52.5721286,13.3082253,"(52.5721286, 13.3082253)"
52.5253225,13.5572599,"(52.5253225, 13.5572599)"
52.5094005,13.27078,"(52.5094005, 13.27078)"
52.5098557,13.2735671,"(52.5098557, 13.2735671)"
52.4867096,13.3266869,"(52.4867096, 13.3266869)"
52.5049589,13.3905699,"(52.5049589, 13.3905699)"
52.505348,13.381445,"(52.505348, 13.381445)"
52.5196982,13.4115537,"(52.5196982, 13.4115537)"
52.5134394,13.4064956,"(52.5134394, 13.4064956)"
52.6357854,13.4938163,"(52.6357854, 13.4938163)"
52.630945,13.4948574,"(52.630945, 13.4948574)"
52.4874763,13.3206793,"(52.4874763, 13.3206793)"
52.587371,13.3248544,"(52.587371, 13.3248544)"
52.4388427,13.2878765,"(52.4388427, 13.2878765)"
52.5410346,13.1466038,"(52.5410346, 13.1466038)"
52.5279419,13.5391019,"(52.5279419, 13.5391019)"
52.5137981,13.5546334,"(52.5137981, 13.5546334)"
52.5520377,13.3494479,"(52.5520377, 13.3494479)"
52.416142,13.5793661,"(52.416142, 13.5793661)"
52.410682,13.5895942,"(52.410682, 13.5895942)"
52.4906112,13.3307123,"(52.4906112, 13.3307123)"
52.5421186,13.542334,"(52.5421186, 13.542334)"
52.5420425,13.5421872,"(52.5420425, 13.5421872)"
52.4276915,13.3475906,"(52.4276915, 13.3475906)"
52.5280167,13.2269115,"(52.5280167, 13.2269115)"
52.479156,13.4347588,"(52.479156, 13.4347588)"
52.4038062,13.5705702,"(52.4038062, 13.5705702)"
52.4013394,13.5615865,"(52.4013394, 13.5615865)"
52.4515857,13.6914864,"(52.4515857, 13.6914864)"
52.4413043,13.6891314,"(52.4413043, 13.6891314)"
52.4412573,13.6891399,"(52.4412573, 13.6891399)"
52.5044927,13.4679367,"(52.5044927, 13.4679367)"
52.50912,13.4597216,"(52.50912, 13.4597216)"
52.5118289,13.4445489,"(52.5118289, 13.4445489)"
52.4919239,13.3192956,"(52.4919239, 13.3192956)"
52.4853641,13.3626047,"(52.4853641, 13.3626047)"
52.5025343,13.3245777,"(52.5025343, 13.3245777)"
52.5036331,13.3274719,"(52.5036331, 13.3274719)"
52.503675,13.3072467,"(52.503675, 13.3072467)"
52.4657796,13.4649827,"(52.4657796, 13.4649827)"
52.4877399,13.2630071,"(52.4877399, 13.2630071)"
