lat,lon,coor
51.023212,13.7426331,"(51.023212, 13.7426331)"
51.0772896,13.7180323,"(51.0772896, 13.7180323)"
51.053962,13.7589041,"(51.053962, 13.7589041)"
51.0019987,13.8403195,"(51.0019987, 13.8403195)"
51.0522607,13.8055411,"(51.0522607, 13.8055411)"
51.0519449,13.8042266,"(51.0519449, 13.8042266)"
51.0519162,13.8074734,"(51.0519162, 13.8074734)"
51.0627412,13.7541416,"(51.0627412, 13.7541416)"
51.0341666,13.7229596,"(51.0341666, 13.7229596)"
51.0547523,13.7207361,"(51.0547523, 13.7207361)"
51.0003752,13.8292077,"(51.0003752, 13.8292077)"
51.0196435,13.7215374,"(51.0196435, 13.7215374)"
51.0618263,13.7441515,"(51.0618263, 13.7441515)"
50.999759,13.8234849,"(50.999759, 13.8234849)"
51.0439467,13.7005644,"(51.0439467, 13.7005644)"
51.0335478,13.7222131,"(51.0335478, 13.7222131)"
51.027027,13.7290895,"(51.027027, 13.7290895)"
51.0195693,13.7215036,"(51.0195693, 13.7215036)"
51.0200908,13.7303183,"(51.0200908, 13.7303183)"
51.0290949,13.7084665,"(51.0290949, 13.7084665)"
51.0332654,13.8942101,"(51.0332654, 13.8942101)"
51.0232655,13.7425659,"(51.0232655, 13.7425659)"
51.0439105,13.7020136,"(51.0439105, 13.7020136)"
50.9952344,13.8258487,"(50.9952344, 13.8258487)"
51.0627033,13.6801813,"(51.0627033, 13.6801813)"
51.0620122,13.676777,"(51.0620122, 13.676777)"
51.0108293,13.8282953,"(51.0108293, 13.8282953)"
51.0111381,13.8284725,"(51.0111381, 13.8284725)"
51.066412,13.7473665,"(51.066412, 13.7473665)"
51.0476137,13.7372333,"(51.0476137, 13.7372333)"
51.0476721,13.7389194,"(51.0476721, 13.7389194)"
51.0529286,13.7632176,"(51.0529286, 13.7632176)"
51.0822569,13.7265539,"(51.0822569, 13.7265539)"
51.0470388,13.7363987,"(51.0470388, 13.7363987)"
51.0444004,13.7806575,"(51.0444004, 13.7806575)"
51.0671739,13.746759,"(51.0671739, 13.746759)"
51.0272884,13.7596221,"(51.0272884, 13.7596221)"
51.0060697,13.7974003,"(51.0060697, 13.7974003)"
51.0522487,13.8068259,"(51.0522487, 13.8068259)"
51.0395677,13.8087226,"(51.0395677, 13.8087226)"
51.093537,13.720398,"(51.093537, 13.720398)"
51.0541954,13.8154083,"(51.0541954, 13.8154083)"
51.1161725,13.74563,"(51.1161725, 13.74563)"
51.0632447,13.8212052,"(51.0632447, 13.8212052)"
51.063538,13.822988,"(51.063538, 13.822988)"
51.0836575,13.710177,"(51.0836575, 13.710177)"
51.0597051,13.7171269,"(51.0597051, 13.7171269)"
51.0406512,13.8030136,"(51.0406512, 13.8030136)"
51.0639922,13.7579463,"(51.0639922, 13.7579463)"
51.0397009,13.7342023,"(51.0397009, 13.7342023)"
51.0716181,13.75118,"(51.0716181, 13.75118)"
51.03436,13.7122048,"(51.03436, 13.7122048)"
51.0439828,13.6977144,"(51.0439828, 13.6977144)"
51.0556702,13.7327438,"(51.0556702, 13.7327438)"
51.0264512,13.760847,"(51.0264512, 13.760847)"
51.0555388,13.7235395,"(51.0555388, 13.7235395)"
51.0452036,13.7363094,"(51.0452036, 13.7363094)"
51.0400004,13.6331677,"(51.0400004, 13.6331677)"
51.0841472,13.6955385,"(51.0841472, 13.6955385)"
51.0256799,13.8044977,"(51.0256799, 13.8044977)"
51.0290829,13.8035923,"(51.0290829, 13.8035923)"
51.0107767,13.6926577,"(51.0107767, 13.6926577)"
51.0277352,13.7581215,"(51.0277352, 13.7581215)"
51.1129935,13.7734828,"(51.1129935, 13.7734828)"
51.0489289,13.7218264,"(51.0489289, 13.7218264)"
51.1256,13.8401239,"(51.1256, 13.8401239)"
51.0184833,13.7802541,"(51.0184833, 13.7802541)"
51.0604486,13.7400255,"(51.0604486, 13.7400255)"
51.0471573,13.776157,"(51.0471573, 13.776157)"
51.0292884,13.8024636,"(51.0292884, 13.8024636)"
51.0455696,13.7380866,"(51.0455696, 13.7380866)"
51.0439383,13.7358726,"(51.0439383, 13.7358726)"
51.0873537,13.6382497,"(51.0873537, 13.6382497)"
51.0106995,13.6926606,"(51.0106995, 13.6926606)"
51.0657472,13.7411043,"(51.0657472, 13.7411043)"
51.0435146,13.6996289,"(51.0435146, 13.6996289)"
51.0663685,13.8937878,"(51.0663685, 13.8937878)"
51.0449213,13.6701082,"(51.0449213, 13.6701082)"
51.0519305,13.7425151,"(51.0519305, 13.7425151)"
51.0123178,13.7658276,"(51.0123178, 13.7658276)"
51.0705234,13.7495749,"(51.0705234, 13.7495749)"
51.0452257,13.669561,"(51.0452257, 13.669561)"
51.0489874,13.7381934,"(51.0489874, 13.7381934)"
51.1449886,13.800191,"(51.1449886, 13.800191)"
51.0693988,13.7483122,"(51.0693988, 13.7483122)"
51.052612,13.8078286,"(51.052612, 13.8078286)"
51.049072,13.739487,"(51.049072, 13.739487)"
51.0490477,13.7375644,"(51.0490477, 13.7375644)"
51.0401966,13.7329083,"(51.0401966, 13.7329083)"
51.0631932,13.7468291,"(51.0631932, 13.7468291)"
51.0541559,13.7843007,"(51.0541559, 13.7843007)"
51.0605923,13.74427,"(51.0605923, 13.74427)"
51.046662,13.7492224,"(51.046662, 13.7492224)"
51.0620712,13.7438965,"(51.0620712, 13.7438965)"
51.0806605,13.7126147,"(51.0806605, 13.7126147)"
51.0849788,13.6969318,"(51.0849788, 13.6969318)"
51.0509002,13.7357048,"(51.0509002, 13.7357048)"
51.0277626,13.7581633,"(51.0277626, 13.7581633)"
51.0273374,13.7595707,"(51.0273374, 13.7595707)"
51.0145202,13.7832824,"(51.0145202, 13.7832824)"
51.0356383,13.785309,"(51.0356383, 13.785309)"
51.0688276,13.7790843,"(51.0688276, 13.7790843)"
51.043938,13.700685,"(51.043938, 13.700685)"
51.0438492,13.7039417,"(51.0438492, 13.7039417)"
51.0673058,13.7468299,"(51.0673058, 13.7468299)"
51.0937753,13.7672344,"(51.0937753, 13.7672344)"
51.0809185,13.7578972,"(51.0809185, 13.7578972)"
51.0519447,13.806728,"(51.0519447, 13.806728)"
51.0689778,13.6901904,"(51.0689778, 13.6901904)"
51.0819789,13.7509822,"(51.0819789, 13.7509822)"
51.0495072,13.7403369,"(51.0495072, 13.7403369)"
51.0860856,13.693785,"(51.0860856, 13.693785)"
51.0439529,13.6977444,"(51.0439529, 13.6977444)"
51.1413225,13.7965562,"(51.1413225, 13.7965562)"
51.0404424,13.7323513,"(51.0404424, 13.7323513)"
51.0270532,13.7289595,"(51.0270532, 13.7289595)"
50.9972976,13.7998602,"(50.9972976, 13.7998602)"
51.0774855,13.6955495,"(51.0774855, 13.6955495)"
51.0491173,13.7392172,"(51.0491173, 13.7392172)"
51.084823,13.6949751,"(51.084823, 13.6949751)"
51.0498496,13.6612266,"(51.0498496, 13.6612266)"
51.0525764,13.7413392,"(51.0525764, 13.7413392)"
51.05202,13.74055,"(51.05202, 13.74055)"
51.05193,13.7384844,"(51.05193, 13.7384844)"
51.0406316,13.7327256,"(51.0406316, 13.7327256)"
51.0186111,13.779422,"(51.0186111, 13.779422)"
51.050106,13.73672,"(51.050106, 13.73672)"
51.0548377,13.7810688,"(51.0548377, 13.7810688)"
51.0484895,13.7358276,"(51.0484895, 13.7358276)"
51.0485231,13.7358434,"(51.0485231, 13.7358434)"
51.0493748,13.7353703,"(51.0493748, 13.7353703)"
51.0495913,13.7354733,"(51.0495913, 13.7354733)"
51.0403419,13.7332133,"(51.0403419, 13.7332133)"
51.0854892,13.6949528,"(51.0854892, 13.6949528)"
51.0856108,13.6960178,"(51.0856108, 13.6960178)"
51.0332651,13.894265,"(51.0332651, 13.894265)"
51.0565643,13.6874568,"(51.0565643, 13.6874568)"
51.0654551,13.7406392,"(51.0654551, 13.7406392)"
51.0742052,13.7490429,"(51.0742052, 13.7490429)"
51.0438649,13.7017581,"(51.0438649, 13.7017581)"
51.0582997,13.7315798,"(51.0582997, 13.7315798)"
51.0291505,13.7962278,"(51.0291505, 13.7962278)"
51.0455843,13.7380374,"(51.0455843, 13.7380374)"
51.0048462,13.7883448,"(51.0048462, 13.7883448)"
51.0416362,13.7316895,"(51.0416362, 13.7316895)"
51.050487,13.7339962,"(51.050487, 13.7339962)"
51.0618428,13.851219,"(51.0618428, 13.851219)"
51.0658221,13.7465014,"(51.0658221, 13.7465014)"
51.0705255,13.7495872,"(51.0705255, 13.7495872)"
51.1223269,13.7918263,"(51.1223269, 13.7918263)"
51.0399742,13.7319508,"(51.0399742, 13.7319508)"
51.0402014,13.7323177,"(51.0402014, 13.7323177)"
51.0472486,13.7728331,"(51.0472486, 13.7728331)"
40.1201103,-82.0108102,"(40.1201103, -82.0108102)"
40.1239116,-82.0197068,"(40.1239116, -82.0197068)"
51.0459803,13.7354723,"(51.0459803, 13.7354723)"
50.9973803,13.7996267,"(50.9973803, 13.7996267)"
51.0389626,13.7323647,"(51.0389626, 13.7323647)"
51.0820607,13.7509277,"(51.0820607, 13.7509277)"
51.0538238,13.7843745,"(51.0538238, 13.7843745)"
51.0538218,13.7843373,"(51.0538218, 13.7843373)"
51.0643958,13.745974,"(51.0643958, 13.745974)"
51.0485042,13.7338841,"(51.0485042, 13.7338841)"
51.0493019,13.7389457,"(51.0493019, 13.7389457)"
51.0957433,13.7198187,"(51.0957433, 13.7198187)"
51.04933,13.7434412,"(51.04933, 13.7434412)"
51.0766648,13.7335674,"(51.0766648, 13.7335674)"
51.0897291,13.7086879,"(51.0897291, 13.7086879)"
51.0812272,13.713555,"(51.0812272, 13.713555)"
51.0419839,13.734469,"(51.0419839, 13.734469)"
51.05145,13.7440091,"(51.05145, 13.7440091)"
51.0689729,13.7556626,"(51.0689729, 13.7556626)"
51.0413051,13.7341476,"(51.0413051, 13.7341476)"
51.0823384,13.6959777,"(51.0823384, 13.6959777)"
51.07196,13.7479602,"(51.07196, 13.7479602)"
51.0472153,13.7725616,"(51.0472153, 13.7725616)"
51.0520462,13.7292533,"(51.0520462, 13.7292533)"
51.0524355,13.7409769,"(51.0524355, 13.7409769)"
51.0643486,13.7489967,"(51.0643486, 13.7489967)"
51.0653324,13.7563827,"(51.0653324, 13.7563827)"
51.0657001,13.7570417,"(51.0657001, 13.7570417)"
51.016984,13.6726723,"(51.016984, 13.6726723)"
51.0517404,13.735057,"(51.0517404, 13.735057)"
51.0627873,13.9504858,"(51.0627873, 13.9504858)"
