lat,lon,coor
51.0579726,13.6776143,"(51.0579726, 13.6776143)"
51.055886,13.6868791,"(51.055886, 13.6868791)"
51.0997833,13.6907717,"(51.0997833, 13.6907717)"
36.2889304,-88.7082972,"(36.2889304, -88.7082972)"
36.289229,-88.7072788,"(36.289229, -88.7072788)"
40.1208329,-82.0051941,"(40.1208329, -82.0051941)"
40.116259,-82.0062125,"(40.116259, -82.0062125)"
51.0135674,13.7710763,"(51.0135674, 13.7710763)"
51.0511307,13.7829107,"(51.0511307, 13.7829107)"
51.0474768,13.7796618,"(51.0474768, 13.7796618)"
51.0513891,13.7591257,"(51.0513891, 13.7591257)"
51.0347321,13.7456758,"(51.0347321, 13.7456758)"
51.0619054,13.6780304,"(51.0619054, 13.6780304)"
51.06246,13.752945,"(51.06246, 13.752945)"
51.0845548,13.7090852,"(51.0845548, 13.7090852)"
51.0653666,13.7432199,"(51.0653666, 13.7432199)"
51.07614,13.7543138,"(51.07614, 13.7543138)"
51.0694953,13.756543,"(51.0694953, 13.756543)"
51.0376677,13.7832068,"(51.0376677, 13.7832068)"
51.0644222,13.7428879,"(51.0644222, 13.7428879)"
51.0409481,13.6999889,"(51.0409481, 13.6999889)"
51.0664273,13.7572968,"(51.0664273, 13.7572968)"
51.0732765,13.7244164,"(51.0732765, 13.7244164)"
51.0286155,13.7596048,"(51.0286155, 13.7596048)"
51.0472274,13.7713041,"(51.0472274, 13.7713041)"
51.0446327,13.6635346,"(51.0446327, 13.6635346)"
51.0495273,13.7297851,"(51.0495273, 13.7297851)"
51.0449735,13.7979887,"(51.0449735, 13.7979887)"
51.0515885,13.7835429,"(51.0515885, 13.7835429)"
51.0542802,13.7228155,"(51.0542802, 13.7228155)"
51.0460421,13.770699,"(51.0460421, 13.770699)"
51.0720489,13.7586239,"(51.0720489, 13.7586239)"
51.0466204,13.7547856,"(51.0466204, 13.7547856)"
51.0466339,13.754799,"(51.0466339, 13.754799)"
51.0568305,13.8873274,"(51.0568305, 13.8873274)"
51.0598408,13.7524553,"(51.0598408, 13.7524553)"
51.0057659,13.6887113,"(51.0057659, 13.6887113)"
51.0608754,13.7396161,"(51.0608754, 13.7396161)"
51.1318454,13.7800309,"(51.1318454, 13.7800309)"
51.0465803,13.7704691,"(51.0465803, 13.7704691)"
51.023841,13.7437664,"(51.023841, 13.7437664)"
51.0241144,13.7434382,"(51.0241144, 13.7434382)"
51.0473025,13.7889177,"(51.0473025, 13.7889177)"
51.0641431,13.7415672,"(51.0641431, 13.7415672)"
51.0644586,13.7416661,"(51.0644586, 13.7416661)"
51.0305036,13.7122615,"(51.0305036, 13.7122615)"
51.0491317,13.8101169,"(51.0491317, 13.8101169)"
51.0146887,13.6818086,"(51.0146887, 13.6818086)"
51.0487643,13.7219335,"(51.0487643, 13.7219335)"
51.033835,13.7041613,"(51.033835, 13.7041613)"
51.0541589,13.7182967,"(51.0541589, 13.7182967)"
51.0668115,13.7575262,"(51.0668115, 13.7575262)"
51.0423771,13.6882045,"(51.0423771, 13.6882045)"
51.0700924,13.6965599,"(51.0700924, 13.6965599)"
51.0892892,13.7092509,"(51.0892892, 13.7092509)"
51.0577871,13.7832018,"(51.0577871, 13.7832018)"
51.0616672,13.753305,"(51.0616672, 13.753305)"
