lat,lon,coor
51.140982,13.7955504,"(51.140982, 13.7955504)"
51.0442307,13.7319993,"(51.0442307, 13.7319993)"
51.1474774,13.8658927,"(51.1474774, 13.8658927)"
51.030512,13.7225241,"(51.030512, 13.7225241)"
51.0345233,13.7267507,"(51.0345233, 13.7267507)"
51.0566551,13.6812252,"(51.0566551, 13.6812252)"
50.9988801,13.8274617,"(50.9988801, 13.8274617)"
51.1001709,13.6912667,"(51.1001709, 13.6912667)"
51.051078,13.807806,"(51.051078, 13.807806)"
51.124604,13.8406301,"(51.124604, 13.8406301)"
36.2875342,-88.705185,"(36.2875342, -88.705185)"
51.0275463,13.743714,"(51.0275463, 13.743714)"
51.0523704,13.7110911,"(51.0523704, 13.7110911)"
51.0673753,13.7582794,"(51.0673753, 13.7582794)"
51.1191937,13.7700386,"(51.1191937, 13.7700386)"
51.0139958,13.7694857,"(51.0139958, 13.7694857)"
51.007284,13.8488501,"(51.007284, 13.8488501)"
51.0293748,13.706515,"(51.0293748, 13.706515)"
51.0539033,13.7943716,"(51.0539033, 13.7943716)"
51.0283079,13.731705,"(51.0283079, 13.731705)"
51.0310682,13.7312723,"(51.0310682, 13.7312723)"
51.0616248,13.8488284,"(51.0616248, 13.8488284)"
51.0882856,13.630135,"(51.0882856, 13.630135)"
51.0454819,13.7701289,"(51.0454819, 13.7701289)"
51.0206754,13.7624561,"(51.0206754, 13.7624561)"
51.0147156,13.7014418,"(51.0147156, 13.7014418)"
51.0644093,13.7539544,"(51.0644093, 13.7539544)"
51.0336504,13.7839319,"(51.0336504, 13.7839319)"
51.146712,13.8649459,"(51.146712, 13.8649459)"
51.0455635,13.6694149,"(51.0455635, 13.6694149)"
51.0589725,13.7127526,"(51.0589725, 13.7127526)"
50.9859868,13.803544,"(50.9859868, 13.803544)"
51.0188031,13.7800918,"(51.0188031, 13.7800918)"
51.0544655,13.7262287,"(51.0544655, 13.7262287)"
51.0212356,13.9064046,"(51.0212356, 13.9064046)"
51.1208834,13.7877404,"(51.1208834, 13.7877404)"
51.0644939,13.7569385,"(51.0644939, 13.7569385)"
51.076882,13.7212693,"(51.076882, 13.7212693)"
51.0400057,13.9187588,"(51.0400057, 13.9187588)"
51.0640949,13.6688778,"(51.0640949, 13.6688778)"
50.9968754,13.8506675,"(50.9968754, 13.8506675)"
51.0632514,13.8210207,"(51.0632514, 13.8210207)"
50.9893135,13.7966686,"(50.9893135, 13.7966686)"
51.0616373,13.885424,"(51.0616373, 13.885424)"
51.0164304,13.8615047,"(51.0164304, 13.8615047)"
51.0527067,13.7727093,"(51.0527067, 13.7727093)"
51.0574263,13.6859349,"(51.0574263, 13.6859349)"
51.0561737,13.7222364,"(51.0561737, 13.7222364)"
51.027892,13.6878334,"(51.027892, 13.6878334)"
51.0296171,13.8173537,"(51.0296171, 13.8173537)"
51.005614,13.7979293,"(51.005614, 13.7979293)"
51.0399676,13.9185833,"(51.0399676, 13.9185833)"
51.0520871,13.7372786,"(51.0520871, 13.7372786)"
51.017703,13.6996726,"(51.017703, 13.6996726)"
51.0671501,13.7475649,"(51.0671501, 13.7475649)"
51.0476656,13.7192487,"(51.0476656, 13.7192487)"
51.0447457,13.6634904,"(51.0447457, 13.6634904)"
51.1415476,13.8001811,"(51.1415476, 13.8001811)"
51.1415577,13.8008572,"(51.1415577, 13.8008572)"
51.0266331,13.8663832,"(51.0266331, 13.8663832)"
51.0625105,13.7502931,"(51.0625105, 13.7502931)"
51.0506989,13.7382987,"(51.0506989, 13.7382987)"
51.0605938,13.8856128,"(51.0605938, 13.8856128)"
51.0289221,13.722394,"(51.0289221, 13.722394)"
51.0298065,13.7388942,"(51.0298065, 13.7388942)"
51.004743,13.8295121,"(51.004743, 13.8295121)"
51.0688786,13.8090096,"(51.0688786, 13.8090096)"
51.0529085,13.7718505,"(51.0529085, 13.7718505)"
51.1267997,13.8441655,"(51.1267997, 13.8441655)"
51.0581123,13.7894302,"(51.0581123, 13.7894302)"
51.0580169,13.7900136,"(51.0580169, 13.7900136)"
51.057687,13.797127,"(51.057687, 13.797127)"
51.0530097,13.761004,"(51.0530097, 13.761004)"
51.0454667,13.7878638,"(51.0454667, 13.7878638)"
51.0642787,13.7527078,"(51.0642787, 13.7527078)"
51.0309219,13.7728066,"(51.0309219, 13.7728066)"
51.0487185,13.7690006,"(51.0487185, 13.7690006)"
51.0750384,13.768656,"(51.0750384, 13.768656)"
51.0701649,13.7531685,"(51.0701649, 13.7531685)"
