lat,lon,coor
51.0325052,13.7332978,"(51.0325052, 13.7332978)"
51.0493713,13.7553608,"(51.0493713, 13.7553608)"
51.0325683,13.7264614,"(51.0325683, 13.7264614)"
51.0890626,13.7050262,"(51.0890626, 13.7050262)"
51.0533645,13.8058182,"(51.0533645, 13.8058182)"
51.0403024,13.8061328,"(51.0403024, 13.8061328)"
51.0331572,13.7220104,"(51.0331572, 13.7220104)"
51.0323392,13.7217624,"(51.0323392, 13.7217624)"
51.0646385,13.6735877,"(51.0646385, 13.6735877)"
50.9959652,13.8260004,"(50.9959652, 13.8260004)"
51.0237739,13.8290208,"(51.0237739, 13.8290208)"
51.0454565,13.7758862,"(51.0454565, 13.7758862)"
51.0444026,13.7781094,"(51.0444026, 13.7781094)"
51.0493609,13.7215192,"(51.0493609, 13.7215192)"
51.028398,13.7588419,"(51.028398, 13.7588419)"
51.0880197,13.729844,"(51.0880197, 13.729844)"
51.0848283,13.7273468,"(51.0848283, 13.7273468)"
51.0544493,13.7600739,"(51.0544493, 13.7600739)"
51.0922784,13.7213087,"(51.0922784, 13.7213087)"
51.1235232,13.7836186,"(51.1235232, 13.7836186)"
51.0627342,13.7520647,"(51.0627342, 13.7520647)"
51.0509382,13.7754097,"(51.0509382, 13.7754097)"
51.1187456,13.7906103,"(51.1187456, 13.7906103)"
51.0515549,13.7515849,"(51.0515549, 13.7515849)"
51.0041111,13.7927341,"(51.0041111, 13.7927341)"
51.0057076,13.7984563,"(51.0057076, 13.7984563)"
51.0367655,13.7795254,"(51.0367655, 13.7795254)"
51.04403,13.6788093,"(51.04403, 13.6788093)"
51.0441759,13.678255,"(51.0441759, 13.678255)"
51.0420205,13.6832051,"(51.0420205, 13.6832051)"
51.043183,13.6940416,"(51.043183, 13.6940416)"
51.046719,13.760188,"(51.046719, 13.760188)"
51.0441396,13.797328,"(51.0441396, 13.797328)"
51.0414848,13.8039515,"(51.0414848, 13.8039515)"
51.0849952,13.6953485,"(51.0849952, 13.6953485)"
51.009751,13.8310315,"(51.009751, 13.8310315)"
51.1150411,13.7851893,"(51.1150411, 13.7851893)"
51.0194492,13.7222084,"(51.0194492, 13.7222084)"
51.0407525,13.6673158,"(51.0407525, 13.6673158)"
51.0561447,13.7631781,"(51.0561447, 13.7631781)"
51.0348815,13.7845908,"(51.0348815, 13.7845908)"
51.0275694,13.7893098,"(51.0275694, 13.7893098)"
51.0921901,13.7004591,"(51.0921901, 13.7004591)"
51.0102715,13.8155202,"(51.0102715, 13.8155202)"
51.0489477,13.7899602,"(51.0489477, 13.7899602)"
51.128309,13.8457997,"(51.128309, 13.8457997)"
51.0626977,13.7423161,"(51.0626977, 13.7423161)"
51.0623976,13.7412998,"(51.0623976, 13.7412998)"
51.0613784,13.7417884,"(51.0613784, 13.7417884)"
51.0490563,13.7791224,"(51.0490563, 13.7791224)"
51.0719036,13.7270552,"(51.0719036, 13.7270552)"
51.0748781,13.7499106,"(51.0748781, 13.7499106)"
51.0040036,13.8477877,"(51.0040036, 13.8477877)"
51.0434034,13.7951874,"(51.0434034, 13.7951874)"
