lat,lon,coor
51.0856463,13.7217198,"(51.0856463, 13.7217198)"
51.036157,13.7783894,"(51.036157, 13.7783894)"
51.0633583,13.7584254,"(51.0633583, 13.7584254)"
51.0647023,13.7624117,"(51.0647023, 13.7624117)"
51.0534917,13.7807386,"(51.0534917, 13.7807386)"
51.0646291,13.7529907,"(51.0646291, 13.7529907)"
51.0439092,13.7037485,"(51.0439092, 13.7037485)"
51.0577676,13.7681844,"(51.0577676, 13.7681844)"
51.043139,13.806843,"(51.043139, 13.806843)"
51.0330705,13.7861329,"(51.0330705, 13.7861329)"
51.0625968,13.8429665,"(51.0625968, 13.8429665)"
51.0131118,13.7915299,"(51.0131118, 13.7915299)"
51.006379,13.799468,"(51.006379, 13.799468)"
51.0691175,13.7773451,"(51.0691175, 13.7773451)"
51.0441569,13.6989231,"(51.0441569, 13.6989231)"
51.0222448,13.7435761,"(51.0222448, 13.7435761)"
51.0391455,13.8026258,"(51.0391455, 13.8026258)"
51.0365304,13.699451,"(51.0365304, 13.699451)"
51.051154,13.73444,"(51.051154, 13.73444)"
51.0184765,13.7796952,"(51.0184765, 13.7796952)"
51.0774831,13.7210531,"(51.0774831, 13.7210531)"
51.0324969,13.7332025,"(51.0324969, 13.7332025)"
51.0404152,13.7048639,"(51.0404152, 13.7048639)"
51.0766375,13.7248322,"(51.0766375, 13.7248322)"
51.0760821,13.7235808,"(51.0760821, 13.7235808)"
51.0325669,13.733041,"(51.0325669, 13.733041)"
51.048602,13.8096703,"(51.048602, 13.8096703)"
51.0765233,13.7284509,"(51.0765233, 13.7284509)"
51.0464879,13.6781867,"(51.0464879, 13.6781867)"
51.0452175,13.6652367,"(51.0452175, 13.6652367)"
51.0494633,13.6579685,"(51.0494633, 13.6579685)"
51.0697873,13.7556193,"(51.0697873, 13.7556193)"
51.0679405,13.8862655,"(51.0679405, 13.8862655)"
51.0471486,13.7661667,"(51.0471486, 13.7661667)"
51.0471494,13.7657751,"(51.0471494, 13.7657751)"
51.0232661,13.7426419,"(51.0232661, 13.7426419)"
51.0478538,13.7506059,"(51.0478538, 13.7506059)"
51.0524101,13.7755439,"(51.0524101, 13.7755439)"
51.0696936,13.747585,"(51.0696936, 13.747585)"
51.0360028,13.7001714,"(51.0360028, 13.7001714)"
51.0379455,13.8029613,"(51.0379455, 13.8029613)"
51.0521946,13.7280212,"(51.0521946, 13.7280212)"
51.0708769,13.6967284,"(51.0708769, 13.6967284)"
51.0307325,13.7799172,"(51.0307325, 13.7799172)"
51.0633662,13.7584775,"(51.0633662, 13.7584775)"
51.0135497,13.7711872,"(51.0135497, 13.7711872)"
51.0380958,13.7026882,"(51.0380958, 13.7026882)"
51.0773062,13.7176848,"(51.0773062, 13.7176848)"
51.0442001,13.6788583,"(51.0442001, 13.6788583)"
51.0027511,13.8258071,"(51.0027511, 13.8258071)"
51.0630229,13.8431659,"(51.0630229, 13.8431659)"
51.0203423,13.7069147,"(51.0203423, 13.7069147)"
51.0521535,13.8078866,"(51.0521535, 13.8078866)"
51.0386325,13.8021554,"(51.0386325, 13.8021554)"
51.0280017,13.7619431,"(51.0280017, 13.7619431)"
51.0395107,13.7321579,"(51.0395107, 13.7321579)"
51.0278551,13.7623467,"(51.0278551, 13.7623467)"
51.0260226,13.7583402,"(51.0260226, 13.7583402)"
51.0260576,13.7584126,"(51.0260576, 13.7584126)"
51.0567873,13.7634957,"(51.0567873, 13.7634957)"
51.0454202,13.7391289,"(51.0454202, 13.7391289)"
51.0530332,13.7580606,"(51.0530332, 13.7580606)"
51.0525763,13.7577273,"(51.0525763, 13.7577273)"
51.0561192,13.7252619,"(51.0561192, 13.7252619)"
