lat,lon,coor
51.0187507,13.7056725,"(51.0187507, 13.7056725)"
51.0196411,13.7180433,"(51.0196411, 13.7180433)"
51.0056571,13.8384168,"(51.0056571, 13.8384168)"
51.0176407,13.6958375,"(51.0176407, 13.6958375)"
50.9975835,13.8220279,"(50.9975835, 13.8220279)"
51.0193962,13.7224253,"(51.0193962, 13.7224253)"
51.0323813,13.7417553,"(51.0323813, 13.7417553)"
51.0658988,13.7535379,"(51.0658988, 13.7535379)"
51.0680826,13.7584591,"(51.0680826, 13.7584591)"
51.0631378,13.751188,"(51.0631378, 13.751188)"
51.0627767,13.7547619,"(51.0627767, 13.7547619)"
51.1436207,13.8016185,"(51.1436207, 13.8016185)"
51.0018334,13.8409236,"(51.0018334, 13.8409236)"
51.0814149,13.7256154,"(51.0814149, 13.7256154)"
51.0529468,13.7630749,"(51.0529468, 13.7630749)"
51.0442616,13.7804455,"(51.0442616, 13.7804455)"
50.9929462,13.8510979,"(50.9929462, 13.8510979)"
51.0156854,13.763753,"(51.0156854, 13.763753)"
51.0365834,13.7392753,"(51.0365834, 13.7392753)"
51.0342545,13.6458565,"(51.0342545, 13.6458565)"
51.031401,13.726752,"(51.031401, 13.726752)"
51.0265512,13.731336,"(51.0265512, 13.731336)"
51.0397577,13.7336032,"(51.0397577, 13.7336032)"
51.0895044,13.7042439,"(51.0895044, 13.7042439)"
51.0346669,13.7314974,"(51.0346669, 13.7314974)"
51.0439592,13.735148,"(51.0439592, 13.735148)"
51.0345523,13.7213837,"(51.0345523, 13.7213837)"
51.0432232,13.7952004,"(51.0432232, 13.7952004)"
51.0539303,13.7926678,"(51.0539303, 13.7926678)"
51.0440232,13.6979504,"(51.0440232, 13.6979504)"
51.0622516,13.7445416,"(51.0622516, 13.7445416)"
51.0396109,13.8086382,"(51.0396109, 13.8086382)"
51.0345316,13.6870913,"(51.0345316, 13.6870913)"
51.110324,13.7755492,"(51.110324, 13.7755492)"
51.0130365,13.7425864,"(51.0130365, 13.7425864)"
51.0249385,13.7132915,"(51.0249385, 13.7132915)"
51.033497,13.758642,"(51.033497, 13.758642)"
51.0230329,13.7432792,"(51.0230329, 13.7432792)"
51.0747835,13.7501822,"(51.0747835, 13.7501822)"
51.0769292,13.7513686,"(51.0769292, 13.7513686)"
51.0291047,13.7073835,"(51.0291047, 13.7073835)"
51.0475136,13.7496689,"(51.0475136, 13.7496689)"
51.0616211,13.7523151,"(51.0616211, 13.7523151)"
51.1187475,13.7895316,"(51.1187475, 13.7895316)"
51.048981,13.74337,"(51.048981, 13.74337)"
51.0431719,13.7885088,"(51.0431719, 13.7885088)"
51.0898874,13.7091494,"(51.0898874, 13.7091494)"
51.0181361,13.7044806,"(51.0181361, 13.7044806)"
51.0848539,13.7628611,"(51.0848539, 13.7628611)"
51.0478969,13.7907103,"(51.0478969, 13.7907103)"
51.0677436,13.6661562,"(51.0677436, 13.6661562)"
51.0717492,13.6696033,"(51.0717492, 13.6696033)"
51.0332654,13.8942946,"(51.0332654, 13.8942946)"
51.0403032,13.7408157,"(51.0403032, 13.7408157)"
51.057758,13.7457168,"(51.057758, 13.7457168)"
51.0401065,13.7161925,"(51.0401065, 13.7161925)"
51.0231629,13.7426954,"(51.0231629, 13.7426954)"
51.0243095,13.7530641,"(51.0243095, 13.7530641)"
50.9956092,13.8253177,"(50.9956092, 13.8253177)"
51.0280874,13.8321808,"(51.0280874, 13.8321808)"
51.0244635,13.836832,"(51.0244635, 13.836832)"
51.0309652,13.7069689,"(51.0309652, 13.7069689)"
51.0388707,13.7212891,"(51.0388707, 13.7212891)"
51.0159407,13.6997833,"(51.0159407, 13.6997833)"
51.0566366,13.6869839,"(51.0566366, 13.6869839)"
51.0277943,13.7148753,"(51.0277943, 13.7148753)"
51.117054,13.742151,"(51.117054, 13.742151)"
51.0493465,13.7213397,"(51.0493465, 13.7213397)"
51.0095722,13.8316185,"(51.0095722, 13.8316185)"
51.0750763,13.7337349,"(51.0750763, 13.7337349)"
51.0719771,13.7478468,"(51.0719771, 13.7478468)"
51.0423182,13.7009039,"(51.0423182, 13.7009039)"
51.0467211,13.75751,"(51.0467211, 13.75751)"
51.0497351,13.7672469,"(51.0497351, 13.7672469)"
51.0258064,13.7573608,"(51.0258064, 13.7573608)"
51.0487283,13.7345147,"(51.0487283, 13.7345147)"
51.0770887,13.7252202,"(51.0770887, 13.7252202)"
51.1148783,13.7624567,"(51.1148783, 13.7624567)"
51.0847932,13.7273513,"(51.0847932, 13.7273513)"
51.0530411,13.7633472,"(51.0530411, 13.7633472)"
51.0728422,13.7868449,"(51.0728422, 13.7868449)"
51.0718553,13.7702052,"(51.0718553, 13.7702052)"
51.0497652,13.7230727,"(51.0497652, 13.7230727)"
51.0108061,13.7711114,"(51.0108061, 13.7711114)"
51.0018749,13.8404585,"(51.0018749, 13.8404585)"
51.0514754,13.8047895,"(51.0514754, 13.8047895)"
51.1511047,13.8089831,"(51.1511047, 13.8089831)"
51.0339821,13.7838546,"(51.0339821, 13.7838546)"
51.0329792,13.78638,"(51.0329792, 13.78638)"
51.0475241,13.7222234,"(51.0475241, 13.7222234)"
51.0604403,13.7439971,"(51.0604403, 13.7439971)"
51.1155945,13.7866977,"(51.1155945, 13.7866977)"
51.0269216,13.7450916,"(51.0269216, 13.7450916)"
51.0325357,13.7486802,"(51.0325357, 13.7486802)"
51.058035,13.7746057,"(51.058035, 13.7746057)"
