lat,lon,coor
51.111078,13.774511,"(51.111078, 13.774511)"
51.0414532,13.723193,"(51.0414532, 13.723193)"
51.0612081,13.8492082,"(51.0612081, 13.8492082)"
51.0281545,13.7271078,"(51.0281545, 13.7271078)"
51.0355865,13.9428954,"(51.0355865, 13.9428954)"
51.0175342,13.9103884,"(51.0175342, 13.9103884)"
50.9868873,13.8071075,"(50.9868873, 13.8071075)"
51.1234583,13.7614253,"(51.1234583, 13.7614253)"
51.0030369,13.8943092,"(51.0030369, 13.8943092)"
51.0506639,13.7440743,"(51.0506639, 13.7440743)"
51.0406274,13.7318932,"(51.0406274, 13.7318932)"
51.0331847,13.8971374,"(51.0331847, 13.8971374)"
51.0657695,13.7416662,"(51.0657695, 13.7416662)"
51.1111842,13.7744571,"(51.1111842, 13.7744571)"
44.0875341,-69.7719532,"(44.0875341, -69.7719532)"
51.0616208,13.8853115,"(51.0616208, 13.8853115)"
51.026673,13.8664756,"(51.026673, 13.8664756)"
44.107072,-69.7247172,"(44.107072, -69.7247172)"
