lat,lon,coor
51.0387313,13.7334935,"(51.0387313, 13.7334935)"
51.043579,13.7359017,"(51.043579, 13.7359017)"
51.0405806,13.7539688,"(51.0405806, 13.7539688)"
51.0331289,13.7644475,"(51.0331289, 13.7644475)"
51.038406,13.7012297,"(51.038406, 13.7012297)"
51.1008613,13.8084198,"(51.1008613, 13.8084198)"
51.11205,13.7900567,"(51.11205, 13.7900567)"
51.0919115,13.8257593,"(51.0919115, 13.8257593)"
51.033987,13.7217443,"(51.033987, 13.7217443)"
51.0962031,13.7192724,"(51.0962031, 13.7192724)"
51.053937,13.7389721,"(51.053937, 13.7389721)"
51.1021055,13.8425857,"(51.1021055, 13.8425857)"
51.0998166,13.7894243,"(51.0998166, 13.7894243)"
51.089404,13.7994351,"(51.089404, 13.7994351)"
51.0523775,13.7921079,"(51.0523775, 13.7921079)"
51.1312252,13.8126593,"(51.1312252, 13.8126593)"
51.1225052,13.8591948,"(51.1225052, 13.8591948)"
51.0439642,13.7446225,"(51.0439642, 13.7446225)"
51.0371646,13.7645765,"(51.0371646, 13.7645765)"
51.0758412,13.8080415,"(51.0758412, 13.8080415)"
51.0715354,13.8313319,"(51.0715354, 13.8313319)"
51.0722964,13.8111555,"(51.0722964, 13.8111555)"
51.0677424,13.8220345,"(51.0677424, 13.8220345)"
51.0773353,13.8217046,"(51.0773353, 13.8217046)"
51.0803935,13.8396037,"(51.0803935, 13.8396037)"
51.0766571,13.8438516,"(51.0766571, 13.8438516)"
51.0788015,13.8527163,"(51.0788015, 13.8527163)"
51.033158,13.7866499,"(51.033158, 13.7866499)"
51.038446,13.7547071,"(51.038446, 13.7547071)"
51.0372027,13.7527924,"(51.0372027, 13.7527924)"
51.0374361,13.7522815,"(51.0374361, 13.7522815)"
51.1582293,13.7835068,"(51.1582293, 13.7835068)"
51.1187571,13.8317709,"(51.1187571, 13.8317709)"
51.1165637,13.8440353,"(51.1165637, 13.8440353)"
51.1107093,13.850451,"(51.1107093, 13.850451)"
51.0040318,13.8010111,"(51.0040318, 13.8010111)"
51.0694732,13.7925539,"(51.0694732, 13.7925539)"
51.0269799,13.7250293,"(51.0269799, 13.7250293)"
51.1237031,13.720921,"(51.1237031, 13.720921)"
51.0530712,13.7457258,"(51.0530712, 13.7457258)"
51.053132,13.7457452,"(51.053132, 13.7457452)"
51.0531865,13.7457349,"(51.0531865, 13.7457349)"
51.0532322,13.7456801,"(51.0532322, 13.7456801)"
51.0532566,13.7455997,"(51.0532566, 13.7455997)"
51.0532573,13.7455096,"(51.0532573, 13.7455096)"
51.0531632,13.7452752,"(51.0531632, 13.7452752)"
51.0531334,13.7452253,"(51.0531334, 13.7452253)"
51.0530923,13.7452121,"(51.0530923, 13.7452121)"
51.052937,13.745405,"(51.052937, 13.745405)"
51.0529329,13.7454589,"(51.0529329, 13.7454589)"
51.0529523,13.7455179,"(51.0529523, 13.7455179)"
51.0844177,13.868318,"(51.0844177, 13.868318)"
51.0435421,13.6576651,"(51.0435421, 13.6576651)"
51.0362919,13.7648893,"(51.0362919, 13.7648893)"
51.0036184,13.8683809,"(51.0036184, 13.8683809)"
51.0643575,13.7562122,"(51.0643575, 13.7562122)"
51.1140698,13.7971092,"(51.1140698, 13.7971092)"
51.1019098,13.792568,"(51.1019098, 13.792568)"
51.1499135,13.7842862,"(51.1499135, 13.7842862)"
51.0157289,13.7190699,"(51.0157289, 13.7190699)"
51.0414836,13.7434367,"(51.0414836, 13.7434367)"
51.0207352,13.703565,"(51.0207352, 13.703565)"
51.0207765,13.7035832,"(51.0207765, 13.7035832)"
51.0157576,13.7189358,"(51.0157576, 13.7189358)"
51.0157222,13.7189358,"(51.0157222, 13.7189358)"
50.9985664,13.8279498,"(50.9985664, 13.8279498)"
50.9985654,13.8279898,"(50.9985654, 13.8279898)"
51.0462786,13.7984562,"(51.0462786, 13.7984562)"
51.0260317,13.7023788,"(51.0260317, 13.7023788)"
51.0309394,13.7426951,"(51.0309394, 13.7426951)"
51.0492488,13.7436899,"(51.0492488, 13.7436899)"
51.038853,13.7989551,"(51.038853, 13.7989551)"
50.9997016,13.8727624,"(50.9997016, 13.8727624)"
51.1037063,13.758903,"(51.1037063, 13.758903)"
51.0359299,13.7610313,"(51.0359299, 13.7610313)"
51.036284,13.7611134,"(51.036284, 13.7611134)"
51.0403481,13.7650851,"(51.0403481, 13.7650851)"
51.0413068,13.7660311,"(51.0413068, 13.7660311)"
51.0482861,13.7901452,"(51.0482861, 13.7901452)"
51.0297521,13.7064575,"(51.0297521, 13.7064575)"
51.0784454,13.7331984,"(51.0784454, 13.7331984)"
51.0283269,13.7169744,"(51.0283269, 13.7169744)"
51.0286086,13.7176367,"(51.0286086, 13.7176367)"
51.0287746,13.7182862,"(51.0287746, 13.7182862)"
51.029058,13.7189219,"(51.029058, 13.7189219)"
51.0291558,13.7193832,"(51.0291558, 13.7193832)"
51.0294714,13.7200693,"(51.0294714, 13.7200693)"
51.0296623,13.7207619,"(51.0296623, 13.7207619)"
51.0299225,13.7213578,"(51.0299225, 13.7213578)"
51.0300586,13.721965,"(51.0300586, 13.721965)"
51.0303342,13.7225665,"(51.0303342, 13.7225665)"
51.0305085,13.7232838,"(51.0305085, 13.7232838)"
51.0307495,13.7238284,"(51.0307495, 13.7238284)"
51.0310171,13.7247447,"(51.0310171, 13.7247447)"
51.0313149,13.7254201,"(51.0313149, 13.7254201)"
51.0156744,13.7189028,"(51.0156744, 13.7189028)"
51.0156426,13.7189623,"(51.0156426, 13.7189623)"
51.0522355,13.8056948,"(51.0522355, 13.8056948)"
51.0067272,13.7403885,"(51.0067272, 13.7403885)"
51.0297128,13.7223127,"(51.0297128, 13.7223127)"
51.111438,13.7823457,"(51.111438, 13.7823457)"
51.1125388,13.7847256,"(51.1125388, 13.7847256)"
51.1100508,13.7770734,"(51.1100508, 13.7770734)"
51.1211764,13.8010234,"(51.1211764, 13.8010234)"
51.0672525,13.8302876,"(51.0672525, 13.8302876)"
51.1060434,13.7942222,"(51.1060434, 13.7942222)"
51.1060946,13.8125662,"(51.1060946, 13.8125662)"
51.0670001,13.8279389,"(51.0670001, 13.8279389)"
51.0670347,13.8276817,"(51.0670347, 13.8276817)"
51.0671929,13.8270236,"(51.0671929, 13.8270236)"
51.0650141,13.8131702,"(51.0650141, 13.8131702)"
51.1122985,13.6961601,"(51.1122985, 13.6961601)"
51.1122643,13.697227,"(51.1122643, 13.697227)"
51.1120804,13.6986459,"(51.1120804, 13.6986459)"
51.1003214,13.696219,"(51.1003214, 13.696219)"
51.0684739,13.699229,"(51.0684739, 13.699229)"
51.068334,13.6991294,"(51.068334, 13.6991294)"
51.0661832,13.6382476,"(51.0661832, 13.6382476)"
51.0661579,13.6445778,"(51.0661579, 13.6445778)"
51.0656877,13.6454015,"(51.0656877, 13.6454015)"
51.064992,13.6458978,"(51.064992, 13.6458978)"
51.0621598,13.6412495,"(51.0621598, 13.6412495)"
51.0619466,13.64168,"(51.0619466, 13.64168)"
51.0610366,13.6422411,"(51.0610366, 13.6422411)"
51.060017,13.6424261,"(51.060017, 13.6424261)"
51.0595192,13.6439641,"(51.0595192, 13.6439641)"
51.061686,13.6459627,"(51.061686, 13.6459627)"
51.062238,13.6457977,"(51.062238, 13.6457977)"
51.064333,13.6546569,"(51.064333, 13.6546569)"
51.0647365,13.6552793,"(51.0647365, 13.6552793)"
51.064981,13.655635,"(51.064981, 13.655635)"
51.0671415,13.8195916,"(51.0671415, 13.8195916)"
51.0803539,13.8397919,"(51.0803539, 13.8397919)"
51.0154173,13.7328594,"(51.0154173, 13.7328594)"
51.0094293,13.7510819,"(51.0094293, 13.7510819)"
