lat,lon,coor
51.0696095,13.7532088,"(51.0696095, 13.7532088)"
51.0335348,13.7833659,"(51.0335348, 13.7833659)"
51.1231454,13.7916371,"(51.1231454, 13.7916371)"
51.1233213,13.7839272,"(51.1233213, 13.7839272)"
51.0465268,13.7785585,"(51.0465268, 13.7785585)"
51.0875414,13.7258942,"(51.0875414, 13.7258942)"
51.053691,13.784404,"(51.053691, 13.784404)"
51.0492698,13.7255419,"(51.0492698, 13.7255419)"
51.0677315,13.7770526,"(51.0677315, 13.7770526)"
51.048392,13.8124608,"(51.048392, 13.8124608)"
51.055363,13.7147274,"(51.055363, 13.7147274)"
51.0534311,13.7807329,"(51.0534311, 13.7807329)"
51.0152595,13.8050563,"(51.0152595, 13.8050563)"
51.0474874,13.7495851,"(51.0474874, 13.7495851)"
51.0599925,13.7453776,"(51.0599925, 13.7453776)"
51.043992,13.7011602,"(51.043992, 13.7011602)"
51.0423888,13.8166356,"(51.0423888, 13.8166356)"
51.0127829,13.8278486,"(51.0127829, 13.8278486)"
51.0126887,13.8282455,"(51.0126887, 13.8282455)"
51.0518141,13.7635803,"(51.0518141, 13.7635803)"
51.040235,13.818404,"(51.040235, 13.818404)"
51.0575127,13.7683233,"(51.0575127, 13.7683233)"
51.0422379,13.8163621,"(51.0422379, 13.8163621)"
51.0302632,13.8314584,"(51.0302632, 13.8314584)"
51.0790446,13.7432046,"(51.0790446, 13.7432046)"
51.0392201,13.8039774,"(51.0392201, 13.8039774)"
51.0428981,13.7008533,"(51.0428981, 13.7008533)"
51.0658566,13.8953172,"(51.0658566, 13.8953172)"
51.0720087,13.7515381,"(51.0720087, 13.7515381)"
51.0736026,13.6892863,"(51.0736026, 13.6892863)"
51.0613375,13.8543777,"(51.0613375, 13.8543777)"
51.0778932,13.7177857,"(51.0778932, 13.7177857)"
51.071782,13.7290623,"(51.071782, 13.7290623)"
51.0719303,13.7290219,"(51.0719303, 13.7290219)"
51.0509351,13.7355131,"(51.0509351, 13.7355131)"
51.0371397,13.7054904,"(51.0371397, 13.7054904)"
51.0897797,13.7341926,"(51.0897797, 13.7341926)"
51.07152,13.792547,"(51.07152, 13.792547)"
51.005084,13.8293474,"(51.005084, 13.8293474)"
51.0294856,13.7032841,"(51.0294856, 13.7032841)"
51.0699346,13.7521204,"(51.0699346, 13.7521204)"
50.9976652,13.8370747,"(50.9976652, 13.8370747)"
51.0145562,13.7748442,"(51.0145562, 13.7748442)"
51.0845514,13.728459,"(51.0845514, 13.728459)"
51.0040329,13.8181135,"(51.0040329, 13.8181135)"
51.0430404,13.6792401,"(51.0430404, 13.6792401)"
51.0439145,13.7026169,"(51.0439145, 13.7026169)"
51.0800157,13.7132463,"(51.0800157, 13.7132463)"
51.0043345,13.8177159,"(51.0043345, 13.8177159)"
51.0417286,13.7998794,"(51.0417286, 13.7998794)"
51.0245005,13.756861,"(51.0245005, 13.756861)"
51.0340866,13.7104463,"(51.0340866, 13.7104463)"
51.0701186,13.7507829,"(51.0701186, 13.7507829)"
51.0041294,13.8182,"(51.0041294, 13.8182)"
51.0295974,13.8017834,"(51.0295974, 13.8017834)"
51.0521729,13.7383914,"(51.0521729, 13.7383914)"
51.0478924,13.7191415,"(51.0478924, 13.7191415)"
51.0799639,13.7601293,"(51.0799639, 13.7601293)"
51.041127,13.734518,"(51.041127, 13.734518)"
51.0683261,13.7494887,"(51.0683261, 13.7494887)"
51.038653,13.6323745,"(51.038653, 13.6323745)"
51.0666712,13.7466944,"(51.0666712, 13.7466944)"
51.0778932,13.7177857,"(51.0778932, 13.7177857)"
51.0955757,13.7138252,"(51.0955757, 13.7138252)"
51.04183,13.7009942,"(51.04183, 13.7009942)"
51.0481112,13.8703894,"(51.0481112, 13.8703894)"
51.0271141,13.7736194,"(51.0271141, 13.7736194)"
51.0492775,13.721638,"(51.0492775, 13.721638)"
51.062801,13.7509348,"(51.062801, 13.7509348)"
51.0641168,13.7544711,"(51.0641168, 13.7544711)"
51.0364411,13.7462626,"(51.0364411, 13.7462626)"
51.0825377,13.6960044,"(51.0825377, 13.6960044)"
51.0506612,13.7331704,"(51.0506612, 13.7331704)"
51.0270973,13.7606193,"(51.0270973, 13.7606193)"
51.0284376,13.7586932,"(51.0284376, 13.7586932)"
51.0495603,13.809272,"(51.0495603, 13.809272)"
51.075458,13.772812,"(51.075458, 13.772812)"
51.0295625,13.8030226,"(51.0295625, 13.8030226)"
51.0512882,13.8191003,"(51.0512882, 13.8191003)"
51.0487906,13.7931315,"(51.0487906, 13.7931315)"
51.0558286,13.7969132,"(51.0558286, 13.7969132)"
51.0397298,13.7053409,"(51.0397298, 13.7053409)"
51.0397767,13.7052663,"(51.0397767, 13.7052663)"
51.0398199,13.7053695,"(51.0398199, 13.7053695)"
51.0398975,13.7053523,"(51.0398975, 13.7053523)"
51.0632763,13.758055,"(51.0632763, 13.758055)"
51.0647588,13.7596858,"(51.0647588, 13.7596858)"
51.0394025,13.765836,"(51.0394025, 13.765836)"
51.0467191,13.6867029,"(51.0467191, 13.6867029)"
51.025569,13.837728,"(51.025569, 13.837728)"
51.0627573,13.6843409,"(51.0627573, 13.6843409)"
51.0169153,13.9124317,"(51.0169153, 13.9124317)"
51.0171616,13.9131665,"(51.0171616, 13.9131665)"
51.0186101,13.9123303,"(51.0186101, 13.9123303)"
51.0191044,13.9125239,"(51.0191044, 13.9125239)"
