lat,lon,coor
51.0230539,13.7125356,"(51.0230539, 13.7125356)"
51.0230482,13.7125748,"(51.0230482, 13.7125748)"
51.0268,13.7237416,"(51.0268, 13.7237416)"
51.1528134,13.7835919,"(51.1528134, 13.7835919)"
51.0472717,13.7979255,"(51.0472717, 13.7979255)"
51.0292846,13.7498826,"(51.0292846, 13.7498826)"
51.0291263,13.6986805,"(51.0291263, 13.6986805)"
51.048944,13.7481334,"(51.048944, 13.7481334)"
51.0700098,13.7246198,"(51.0700098, 13.7246198)"
51.0627377,13.7648723,"(51.0627377, 13.7648723)"
51.0523025,13.8123341,"(51.0523025, 13.8123341)"
51.0231304,13.8434342,"(51.0231304, 13.8434342)"
51.047641,13.7596813,"(51.047641, 13.7596813)"
51.0538307,13.7656452,"(51.0538307, 13.7656452)"
51.0442141,13.7077017,"(51.0442141, 13.7077017)"
51.0442563,13.7077393,"(51.0442563, 13.7077393)"
51.0823836,13.6959918,"(51.0823836, 13.6959918)"
51.0108589,13.8814159,"(51.0108589, 13.8814159)"
51.0466779,13.6996882,"(51.0466779, 13.6996882)"
51.0540851,13.7204364,"(51.0540851, 13.7204364)"
51.0538736,13.7202183,"(51.0538736, 13.7202183)"
51.0323865,13.7074037,"(51.0323865, 13.7074037)"
51.035726,13.7154081,"(51.035726, 13.7154081)"
51.0934056,13.7296158,"(51.0934056, 13.7296158)"
51.0452227,13.7052991,"(51.0452227, 13.7052991)"
51.0283225,13.8215376,"(51.0283225, 13.8215376)"
50.9913987,13.7818277,"(50.9913987, 13.7818277)"
51.0202581,13.7414168,"(51.0202581, 13.7414168)"
51.0197955,13.7413844,"(51.0197955, 13.7413844)"
51.0475209,13.65499,"(51.0475209, 13.65499)"
50.9918961,13.7813448,"(50.9918961, 13.7813448)"
51.0478087,13.7262931,"(51.0478087, 13.7262931)"
51.0842991,13.7634943,"(51.0842991, 13.7634943)"
51.0842696,13.7635747,"(51.0842696, 13.7635747)"
51.0539441,13.7201523,"(51.0539441, 13.7201523)"
51.0502037,13.6651095,"(51.0502037, 13.6651095)"
51.0477185,13.7597109,"(51.0477185, 13.7597109)"
51.0485697,13.7072333,"(51.0485697, 13.7072333)"
51.0435038,13.7316521,"(51.0435038, 13.7316521)"
51.0486371,13.7265294,"(51.0486371, 13.7265294)"
51.0529753,13.7278367,"(51.0529753, 13.7278367)"
51.0386064,13.7010094,"(51.0386064, 13.7010094)"
51.0385699,13.7009272,"(51.0385699, 13.7009272)"
51.0387891,13.7009869,"(51.0387891, 13.7009869)"
51.1433138,13.807232,"(51.1433138, 13.807232)"
51.0408989,13.7878928,"(51.0408989, 13.7878928)"
51.0353557,13.7431772,"(51.0353557, 13.7431772)"
51.0337281,13.7570107,"(51.0337281, 13.7570107)"
51.0409577,13.7732781,"(51.0409577, 13.7732781)"
51.0341725,13.7552216,"(51.0341725, 13.7552216)"
51.0450843,13.7627291,"(51.0450843, 13.7627291)"
51.0462495,13.7678213,"(51.0462495, 13.7678213)"
51.0406146,13.6710946,"(51.0406146, 13.6710946)"
51.0406214,13.6712918,"(51.0406214, 13.6712918)"
51.0294449,13.7152511,"(51.0294449, 13.7152511)"
51.0288975,13.7170309,"(51.0288975, 13.7170309)"
51.0294171,13.7153101,"(51.0294171, 13.7153101)"
51.0273472,13.7325634,"(51.0273472, 13.7325634)"
51.039747,13.720448,"(51.039747, 13.720448)"
51.0232284,13.6879913,"(51.0232284, 13.6879913)"
51.0486341,13.757365,"(51.0486341, 13.757365)"
51.0402007,13.7755638,"(51.0402007, 13.7755638)"
51.0442784,13.7398112,"(51.0442784, 13.7398112)"
51.0485641,13.7573342,"(51.0485641, 13.7573342)"
51.0425736,13.8232294,"(51.0425736, 13.8232294)"
51.0504476,13.7614302,"(51.0504476, 13.7614302)"
51.0280991,13.8179694,"(51.0280991, 13.8179694)"
51.0501912,13.7742314,"(51.0501912, 13.7742314)"
51.0516717,13.7667916,"(51.0516717, 13.7667916)"
51.0428636,13.7856112,"(51.0428636, 13.7856112)"
51.050021,13.776155,"(51.050021, 13.776155)"
51.0889923,13.7610544,"(51.0889923, 13.7610544)"
51.0708242,13.7638994,"(51.0708242, 13.7638994)"
51.0423827,13.7474642,"(51.0423827, 13.7474642)"
51.0423885,13.7475701,"(51.0423885, 13.7475701)"
51.0181936,13.677664,"(51.0181936, 13.677664)"
51.0881225,13.7012478,"(51.0881225, 13.7012478)"
51.0033832,13.8388622,"(51.0033832, 13.8388622)"
51.0033931,13.8389681,"(51.0033931, 13.8389681)"
51.0285044,13.72879,"(51.0285044, 13.72879)"
51.028495,13.7285994,"(51.028495, 13.7285994)"
51.0519579,13.7741842,"(51.0519579, 13.7741842)"
51.1242939,13.720141,"(51.1242939, 13.720141)"
51.0187144,13.724242,"(51.0187144, 13.724242)"
50.9871706,13.8314122,"(50.9871706, 13.8314122)"
51.0712948,13.7842713,"(51.0712948, 13.7842713)"
51.0713407,13.7842633,"(51.0713407, 13.7842633)"
51.0265797,13.7052728,"(51.0265797, 13.7052728)"
51.026616,13.7052741,"(51.026616, 13.7052741)"
51.0097221,13.7861534,"(51.0097221, 13.7861534)"
51.0097871,13.7862848,"(51.0097871, 13.7862848)"
51.0418901,13.9228277,"(51.0418901, 13.9228277)"
51.0808788,13.5985947,"(51.0808788, 13.5985947)"
51.0376989,13.7186924,"(51.0376989, 13.7186924)"
51.0808253,13.7449464,"(51.0808253, 13.7449464)"
51.0826283,13.7414099,"(51.0826283, 13.7414099)"
51.0472188,13.7273427,"(51.0472188, 13.7273427)"
51.0295449,13.7273046,"(51.0295449, 13.7273046)"
51.0750276,13.7252213,"(51.0750276, 13.7252213)"
51.0751442,13.7252446,"(51.0751442, 13.7252446)"
51.0567568,13.8878819,"(51.0567568, 13.8878819)"
51.0424206,13.8791571,"(51.0424206, 13.8791571)"
51.0592611,13.7607288,"(51.0592611, 13.7607288)"
51.0471157,13.7977881,"(51.0471157, 13.7977881)"
51.0696428,13.7532118,"(51.0696428, 13.7532118)"
51.0501245,13.6602795,"(51.0501245, 13.6602795)"
51.050157,13.6570409,"(51.050157, 13.6570409)"
51.0460106,13.6672559,"(51.0460106, 13.6672559)"
51.0466423,13.6690486,"(51.0466423, 13.6690486)"
51.0430824,13.6659997,"(51.0430824, 13.6659997)"
51.0463916,13.6649712,"(51.0463916, 13.6649712)"
51.0461925,13.6681961,"(51.0461925, 13.6681961)"
51.0361587,13.6968921,"(51.0361587, 13.6968921)"
51.035772,13.6954157,"(51.035772, 13.6954157)"
51.0368168,13.6955692,"(51.0368168, 13.6955692)"
51.087043,13.7212828,"(51.087043, 13.7212828)"
51.0425512,13.8791754,"(51.0425512, 13.8791754)"
50.9903257,13.7913038,"(50.9903257, 13.7913038)"
50.9903127,13.7912446,"(50.9903127, 13.7912446)"
51.0160048,13.8598953,"(51.0160048, 13.8598953)"
51.0288166,13.6889588,"(51.0288166, 13.6889588)"
51.0465854,13.8102235,"(51.0465854, 13.8102235)"
51.0619269,13.7599686,"(51.0619269, 13.7599686)"
51.0350101,13.7306105,"(51.0350101, 13.7306105)"
51.090457,13.7310888,"(51.090457, 13.7310888)"
51.0722885,13.7535632,"(51.0722885, 13.7535632)"
51.0559786,13.7627176,"(51.0559786, 13.7627176)"
51.0142408,13.746898,"(51.0142408, 13.746898)"
51.0254277,13.7434728,"(51.0254277, 13.7434728)"
50.9933455,13.8953108,"(50.9933455, 13.8953108)"
51.0700315,13.7419228,"(51.0700315, 13.7419228)"
51.1073746,13.8617429,"(51.1073746, 13.8617429)"
51.1436485,13.8069966,"(51.1436485, 13.8069966)"
51.0174951,13.6999893,"(51.0174951, 13.6999893)"
51.0322768,13.8125346,"(51.0322768, 13.8125346)"
51.0420077,13.8413926,"(51.0420077, 13.8413926)"
51.0528435,13.8168702,"(51.0528435, 13.8168702)"
51.0527372,13.8167133,"(51.0527372, 13.8167133)"
51.0995816,13.7138529,"(51.0995816, 13.7138529)"
51.0319248,13.7089042,"(51.0319248, 13.7089042)"
51.0499601,13.7158289,"(51.0499601, 13.7158289)"
51.0926888,13.6441832,"(51.0926888, 13.6441832)"
51.0861083,13.6303057,"(51.0861083, 13.6303057)"
51.0692531,13.6221014,"(51.0692531, 13.6221014)"
51.099343,13.7299752,"(51.099343, 13.7299752)"
51.0467782,13.7264752,"(51.0467782, 13.7264752)"
51.0467247,13.7264997,"(51.0467247, 13.7264997)"
51.0443229,13.8075114,"(51.0443229, 13.8075114)"
51.045006,13.706569,"(51.045006, 13.706569)"
51.077271,13.643375,"(51.077271, 13.643375)"
51.076748,13.6926381,"(51.076748, 13.6926381)"
51.0767678,13.6925577,"(51.0767678, 13.6925577)"
51.0362076,13.7650771,"(51.0362076, 13.7650771)"
51.0362269,13.7650911,"(51.0362269, 13.7650911)"
51.0658158,13.7522815,"(51.0658158, 13.7522815)"
51.0663683,13.7526631,"(51.0663683, 13.7526631)"
51.0663951,13.7526822,"(51.0663951, 13.7526822)"
51.0663844,13.7527278,"(51.0663844, 13.7527278)"
51.0663581,13.7527085,"(51.0663581, 13.7527085)"
51.0663476,13.7527515,"(51.0663476, 13.7527515)"
51.0663739,13.7527702,"(51.0663739, 13.7527702)"
50.9971728,13.8596502,"(50.9971728, 13.8596502)"
51.033849,13.8030788,"(51.033849, 13.8030788)"
51.0490094,13.7944677,"(51.0490094, 13.7944677)"
51.049084,13.7944123,"(51.049084, 13.7944123)"
51.0851425,13.7848656,"(51.0851425, 13.7848656)"
