lat,lon,coor
51.0289579,13.7349906,"(51.0289579, 13.7349906)"
51.0401385,13.7336264,"(51.0401385, 13.7336264)"
51.0400779,13.7338134,"(51.0400779, 13.7338134)"
51.0906035,13.7235925,"(51.0906035, 13.7235925)"
50.9997437,13.8288365,"(50.9997437, 13.8288365)"
51.0288384,13.7369205,"(51.0288384, 13.7369205)"
51.0537744,13.8157808,"(51.0537744, 13.8157808)"
51.0254754,13.7235489,"(51.0254754, 13.7235489)"
51.0373057,13.7568349,"(51.0373057, 13.7568349)"
51.0611898,13.7588214,"(51.0611898, 13.7588214)"
51.027268,13.7250506,"(51.027268, 13.7250506)"
51.0270682,13.7267145,"(51.0270682, 13.7267145)"
51.0270641,13.7262302,"(51.0270641, 13.7262302)"
51.0392191,13.7215269,"(51.0392191, 13.7215269)"
51.0449998,13.7541474,"(51.0449998, 13.7541474)"
51.0438741,13.7530213,"(51.0438741, 13.7530213)"
51.0744141,13.7602388,"(51.0744141, 13.7602388)"
51.0212223,13.7686892,"(51.0212223, 13.7686892)"
51.0270669,13.7254353,"(51.0270669, 13.7254353)"
51.0491507,13.7208733,"(51.0491507, 13.7208733)"
51.0492627,13.7215004,"(51.0492627, 13.7215004)"
51.0628972,13.7234554,"(51.0628972, 13.7234554)"
51.020906,13.7901922,"(51.020906, 13.7901922)"
51.118768,13.7895961,"(51.118768, 13.7895961)"
51.0292321,13.7385707,"(51.0292321, 13.7385707)"
51.0264953,13.7231003,"(51.0264953, 13.7231003)"
51.0263774,13.7224793,"(51.0263774, 13.7224793)"
51.1021541,13.7757245,"(51.1021541, 13.7757245)"
51.0790854,13.7330684,"(51.0790854, 13.7330684)"
51.0406478,13.6325939,"(51.0406478, 13.6325939)"
51.031528,13.7261853,"(51.031528, 13.7261853)"
51.0474254,13.7405287,"(51.0474254, 13.7405287)"
51.0470013,13.7365476,"(51.0470013, 13.7365476)"
51.0489786,13.7441605,"(51.0489786, 13.7441605)"
51.057388,13.7271996,"(51.057388, 13.7271996)"
51.0410609,13.732207,"(51.0410609, 13.732207)"
51.0321315,13.7585571,"(51.0321315, 13.7585571)"
51.0444617,13.7487119,"(51.0444617, 13.7487119)"
51.0442447,13.7475217,"(51.0442447, 13.7475217)"
51.0438197,13.7471058,"(51.0438197, 13.7471058)"
51.0447084,13.7488907,"(51.0447084, 13.7488907)"
51.048504,13.7456347,"(51.048504, 13.7456347)"
51.0321057,13.7308233,"(51.0321057, 13.7308233)"
51.0293781,13.7379002,"(51.0293781, 13.7379002)"
51.0309231,13.7273909,"(51.0309231, 13.7273909)"
51.0586616,13.6410634,"(51.0586616, 13.6410634)"
51.0589709,13.6409786,"(51.0589709, 13.6409786)"
51.0124725,13.7766487,"(51.0124725, 13.7766487)"
51.053538,13.716859,"(51.053538, 13.716859)"
51.032413,13.7315786,"(51.032413, 13.7315786)"
51.053558,13.7247766,"(51.053558, 13.7247766)"
51.053867,13.724531,"(51.053867, 13.724531)"
50.9990347,13.8719068,"(50.9990347, 13.8719068)"
51.0294287,13.7235668,"(51.0294287, 13.7235668)"
51.0396327,13.9289094,"(51.0396327, 13.9289094)"
51.0665691,13.7514621,"(51.0665691, 13.7514621)"
51.1000813,13.7701177,"(51.1000813, 13.7701177)"
51.1072012,13.7787797,"(51.1072012, 13.7787797)"
51.0491182,13.7435259,"(51.0491182, 13.7435259)"
51.036766,13.7315503,"(51.036766, 13.7315503)"
51.0365198,13.7314309,"(51.0365198, 13.7314309)"
51.0426779,13.7512057,"(51.0426779, 13.7512057)"
51.0449226,13.7353517,"(51.0449226, 13.7353517)"
51.0370202,13.7316677,"(51.0370202, 13.7316677)"
51.0373344,13.7316803,"(51.0373344, 13.7316803)"
51.0349275,13.7309818,"(51.0349275, 13.7309818)"
51.0515164,13.7336972,"(51.0515164, 13.7336972)"
51.035167,13.7311095,"(51.035167, 13.7311095)"
51.0393804,13.7316708,"(51.0393804, 13.7316708)"
51.0100673,13.7003607,"(51.0100673, 13.7003607)"
51.01009,13.7003828,"(51.01009, 13.7003828)"
51.0642768,13.747236,"(51.0642768, 13.747236)"
51.0266991,13.7249442,"(51.0266991, 13.7249442)"
51.0288771,13.7326785,"(51.0288771, 13.7326785)"
51.0281016,13.7350065,"(51.0281016, 13.7350065)"
51.029038,13.7349298,"(51.029038, 13.7349298)"
51.0418579,13.7408878,"(51.0418579, 13.7408878)"
51.0207604,13.7291143,"(51.0207604, 13.7291143)"
51.020395,13.7271764,"(51.020395, 13.7271764)"
51.0512814,13.7512951,"(51.0512814, 13.7512951)"
51.0617189,13.7548015,"(51.0617189, 13.7548015)"
51.0506112,13.7475855,"(51.0506112, 13.7475855)"
51.0502689,13.7472905,"(51.0502689, 13.7472905)"
51.049917,13.747009,"(51.049917, 13.747009)"
51.050765,13.747912,"(51.050765, 13.747912)"
51.0507575,13.7484599,"(51.0507575, 13.7484599)"
51.0508809,13.7472992,"(51.0508809, 13.7472992)"
51.0476592,13.7227634,"(51.0476592, 13.7227634)"
51.0480226,13.7213851,"(51.0480226, 13.7213851)"
51.0486451,13.7211507,"(51.0486451, 13.7211507)"
51.0482693,13.7396405,"(51.0482693, 13.7396405)"
51.0494975,13.7219681,"(51.0494975, 13.7219681)"
51.0447183,13.7372163,"(51.0447183, 13.7372163)"
51.0451543,13.7372558,"(51.0451543, 13.7372558)"
51.0306787,13.7281019,"(51.0306787, 13.7281019)"
51.0313886,13.7311286,"(51.0313886, 13.7311286)"
51.0428412,13.7354143,"(51.0428412, 13.7354143)"
51.0307397,13.7274195,"(51.0307397, 13.7274195)"
51.0426413,13.7501748,"(51.0426413, 13.7501748)"
51.027569,13.7255021,"(51.027569, 13.7255021)"
51.0323251,13.7332809,"(51.0323251, 13.7332809)"
51.0297691,13.7299927,"(51.0297691, 13.7299927)"
51.0294977,13.7292195,"(51.0294977, 13.7292195)"
51.0417331,13.7324109,"(51.0417331, 13.7324109)"
51.0287853,13.7345226,"(51.0287853, 13.7345226)"
51.0291022,13.7284924,"(51.0291022, 13.7284924)"
51.0393753,13.7478009,"(51.0393753, 13.7478009)"
51.029886,13.7283602,"(51.029886, 13.7283602)"
51.0385902,13.7327294,"(51.0385902, 13.7327294)"
51.0284849,13.7300773,"(51.0284849, 13.7300773)"
51.0287959,13.7342974,"(51.0287959, 13.7342974)"
51.0493494,13.7369311,"(51.0493494, 13.7369311)"
51.0499132,13.7370442,"(51.0499132, 13.7370442)"
51.0495196,13.7369492,"(51.0495196, 13.7369492)"
51.028963,13.7426287,"(51.028963, 13.7426287)"
51.0486849,13.7377819,"(51.0486849, 13.7377819)"
51.0496712,13.7349019,"(51.0496712, 13.7349019)"
51.0462443,13.7337635,"(51.0462443, 13.7337635)"
51.028198,13.7314368,"(51.028198, 13.7314368)"
51.0317614,13.7308665,"(51.0317614, 13.7308665)"
51.0280805,13.7314587,"(51.0280805, 13.7314587)"
51.0277645,13.7376404,"(51.0277645, 13.7376404)"
51.0280608,13.7385007,"(51.0280608, 13.7385007)"
51.028159,13.7388991,"(51.028159, 13.7388991)"
51.0280399,13.7392387,"(51.0280399, 13.7392387)"
51.028586,13.7415169,"(51.028586, 13.7415169)"
51.048641,13.7371579,"(51.048641, 13.7371579)"
51.0310007,13.7313027,"(51.0310007, 13.7313027)"
51.0335561,13.7403252,"(51.0335561, 13.7403252)"
51.0332775,13.7401741,"(51.0332775, 13.7401741)"
51.0288192,13.7364703,"(51.0288192, 13.7364703)"
51.0411302,13.7494482,"(51.0411302, 13.7494482)"
51.043631,13.7354637,"(51.043631, 13.7354637)"
51.0436816,13.7351054,"(51.0436816, 13.7351054)"
51.0400356,13.7433788,"(51.0400356, 13.7433788)"
51.0269056,13.7368887,"(51.0269056, 13.7368887)"
51.0474278,13.7403894,"(51.0474278, 13.7403894)"
51.0491884,13.7430082,"(51.0491884, 13.7430082)"
51.0474464,13.7400668,"(51.0474464, 13.7400668)"
