lat,lon,coor
51.0098388,13.8486132,"(51.0098388, 13.8486132)"
51.0102391,13.8484628,"(51.0102391, 13.8484628)"
51.0184306,13.8426718,"(51.0184306, 13.8426718)"
51.0195794,13.8418419,"(51.0195794, 13.8418419)"
51.0224457,13.8395425,"(51.0224457, 13.8395425)"
51.022679,13.8392173,"(51.022679, 13.8392173)"
50.9952306,13.8663854,"(50.9952306, 13.8663854)"
50.9981805,13.8261265,"(50.9981805, 13.8261265)"
51.004104,13.8476285,"(51.004104, 13.8476285)"
51.0277284,13.7771998,"(51.0277284, 13.7771998)"
50.9867545,13.8028223,"(50.9867545, 13.8028223)"
50.9867445,13.8029764,"(50.9867445, 13.8029764)"
51.1261248,13.7883778,"(51.1261248, 13.7883778)"
51.1261895,13.7886954,"(51.1261895, 13.7886954)"
51.0047654,13.8569496,"(51.0047654, 13.8569496)"
51.0357361,13.8536577,"(51.0357361, 13.8536577)"
51.073775,13.7940656,"(51.073775, 13.7940656)"
51.073729,13.7941438,"(51.073729, 13.7941438)"
51.02674,13.8652656,"(51.02674, 13.8652656)"
51.0432865,13.625979,"(51.0432865, 13.625979)"
51.0016705,13.8632969,"(51.0016705, 13.8632969)"
51.0031581,13.8604121,"(51.0031581, 13.8604121)"
51.0049272,13.8564186,"(51.0049272, 13.8564186)"
51.0013945,13.8635909,"(51.0013945, 13.8635909)"
51.0027582,13.8611277,"(51.0027582, 13.8611277)"
51.0340668,13.6753145,"(51.0340668, 13.6753145)"
51.0341397,13.6752806,"(51.0341397, 13.6752806)"
51.0361274,13.6835924,"(51.0361274, 13.6835924)"
51.0365102,13.6971995,"(51.0365102, 13.6971995)"
51.0361024,13.6973315,"(51.0361024, 13.6973315)"
51.1334358,13.840496,"(51.1334358, 13.840496)"
51.1396616,13.7983094,"(51.1396616, 13.7983094)"
51.1401778,13.7979572,"(51.1401778, 13.7979572)"
50.9895423,13.8111967,"(50.9895423, 13.8111967)"
50.9897997,13.8111296,"(50.9897997, 13.8111296)"
50.9925133,13.8068371,"(50.9925133, 13.8068371)"
50.994806,13.797863,"(50.994806, 13.797863)"
50.9949081,13.7979764,"(50.9949081, 13.7979764)"
51.0187007,13.8106613,"(51.0187007, 13.8106613)"
51.0370695,13.8076931,"(51.0370695, 13.8076931)"
51.036823,13.8086279,"(51.036823, 13.8086279)"
51.0354038,13.812138,"(51.0354038, 13.812138)"
51.0340587,13.8159578,"(51.0340587, 13.8159578)"
51.0339748,13.8159516,"(51.0339748, 13.8159516)"
51.0320796,13.8211933,"(51.0320796, 13.8211933)"
51.031742,13.8211109,"(51.031742, 13.8211109)"
51.0284205,13.8121677,"(51.0284205, 13.8121677)"
51.0287296,13.8133784,"(51.0287296, 13.8133784)"
51.031156,13.8181429,"(51.031156, 13.8181429)"
51.0309761,13.8176354,"(51.0309761, 13.8176354)"
51.0224556,13.8039586,"(51.0224556, 13.8039586)"
51.0223855,13.8040639,"(51.0223855, 13.8040639)"
51.0274972,13.8079514,"(51.0274972, 13.8079514)"
