lat,lon,coor
50.9970009,13.821824,"(50.9970009, 13.821824)"
51.0270264,13.8317313,"(51.0270264, 13.8317313)"
51.0277766,13.8325739,"(51.0277766, 13.8325739)"
50.9982144,13.8261163,"(50.9982144, 13.8261163)"
51.0879435,13.6995067,"(51.0879435, 13.6995067)"
51.1154479,13.7801856,"(51.1154479, 13.7801856)"
51.0417894,13.7052635,"(51.0417894, 13.7052635)"
51.0418741,13.6416418,"(51.0418741, 13.6416418)"
51.0869658,13.6394129,"(51.0869658, 13.6394129)"
51.0833839,13.625808,"(51.0833839, 13.625808)"
51.0585315,13.5914169,"(51.0585315, 13.5914169)"
51.0443908,13.6028797,"(51.0443908, 13.6028797)"
51.0442939,13.602843,"(51.0442939, 13.602843)"
51.0732978,13.6684534,"(51.0732978, 13.6684534)"
51.056018,13.7081312,"(51.056018, 13.7081312)"
51.0402452,13.7320768,"(51.0402452, 13.7320768)"
51.0913672,13.6738641,"(51.0913672, 13.6738641)"
51.0289943,13.7024572,"(51.0289943, 13.7024572)"
51.0913657,13.7376711,"(51.0913657, 13.7376711)"
51.1099917,13.7321067,"(51.1099917, 13.7321067)"
51.068129,13.7314455,"(51.068129, 13.7314455)"
51.0279572,13.7157262,"(51.0279572, 13.7157262)"
51.0300211,13.7220525,"(51.0300211, 13.7220525)"
51.0315,13.7262928,"(51.0315, 13.7262928)"
51.0299421,13.7212984,"(51.0299421, 13.7212984)"
51.0314511,13.7256234,"(51.0314511, 13.7256234)"
51.1160906,13.7451454,"(51.1160906, 13.7451454)"
51.1179556,13.735827,"(51.1179556, 13.735827)"
51.0352162,13.7313147,"(51.0352162, 13.7313147)"
51.0516962,13.8106125,"(51.0516962, 13.8106125)"
51.0877247,13.7631244,"(51.0877247, 13.7631244)"
51.1149464,13.7893493,"(51.1149464, 13.7893493)"
51.0338649,13.7629431,"(51.0338649, 13.7629431)"
51.0309701,13.7718604,"(51.0309701, 13.7718604)"
51.0359085,13.7671945,"(51.0359085, 13.7671945)"
51.0391721,13.9364705,"(51.0391721, 13.9364705)"
51.0445634,13.6705104,"(51.0445634, 13.6705104)"
51.0432048,13.6799331,"(51.0432048, 13.6799331)"
51.0489232,13.659307,"(51.0489232, 13.659307)"
51.0496649,13.7575855,"(51.0496649, 13.7575855)"
51.0876914,13.7377006,"(51.0876914, 13.7377006)"
51.0772337,13.7328603,"(51.0772337, 13.7328603)"
51.0691733,13.6896772,"(51.0691733, 13.6896772)"
51.0741259,13.6902507,"(51.0741259, 13.6902507)"
51.0777824,13.6905723,"(51.0777824, 13.6905723)"
51.0583794,13.7400445,"(51.0583794, 13.7400445)"
51.0573488,13.7445619,"(51.0573488, 13.7445619)"
51.062876,13.7372111,"(51.062876, 13.7372111)"
51.1267163,13.8414739,"(51.1267163, 13.8414739)"
51.0585794,13.7282131,"(51.0585794, 13.7282131)"
51.05578,13.7244275,"(51.05578, 13.7244275)"
51.0339235,13.7221922,"(51.0339235, 13.7221922)"
51.0283651,13.8121883,"(51.0283651, 13.8121883)"
51.0063956,13.8533128,"(51.0063956, 13.8533128)"
51.0070648,13.8501313,"(51.0070648, 13.8501313)"
51.0158385,13.6993914,"(51.0158385, 13.6993914)"
50.9943697,13.8819369,"(50.9943697, 13.8819369)"
51.0187432,13.8104051,"(51.0187432, 13.8104051)"
51.0646711,13.7419123,"(51.0646711, 13.7419123)"
51.0335341,13.8513993,"(51.0335341, 13.8513993)"
51.0508125,13.8453919,"(51.0508125, 13.8453919)"
50.9991963,13.7988158,"(50.9991963, 13.7988158)"
51.0419203,13.7506676,"(51.0419203, 13.7506676)"
50.9924694,13.8067566,"(50.9924694, 13.8067566)"
51.0439449,13.7247218,"(51.0439449, 13.7247218)"
51.0487798,13.7204145,"(51.0487798, 13.7204145)"
51.0562299,13.7241316,"(51.0562299, 13.7241316)"
51.027895,13.7455905,"(51.027895, 13.7455905)"
51.0868782,13.763326,"(51.0868782, 13.763326)"
51.09896,13.7685308,"(51.09896, 13.7685308)"
51.1076433,13.7728879,"(51.1076433, 13.7728879)"
51.0381511,13.7462064,"(51.0381511, 13.7462064)"
51.1274032,13.7926579,"(51.1274032, 13.7926579)"
51.1340067,13.7954411,"(51.1340067, 13.7954411)"
51.1282403,13.7778635,"(51.1282403, 13.7778635)"
51.1400808,13.8019758,"(51.1400808, 13.8019758)"
51.0629213,13.7366221,"(51.0629213, 13.7366221)"
51.0457436,13.6637101,"(51.0457436, 13.6637101)"
51.0315066,13.8979006,"(51.0315066, 13.8979006)"
51.029808,13.9000903,"(51.029808, 13.9000903)"
51.0772386,13.6983702,"(51.0772386, 13.6983702)"
50.9898487,13.8115602,"(50.9898487, 13.8115602)"
51.0304213,13.7890316,"(51.0304213, 13.7890316)"
51.0805854,13.7134478,"(51.0805854, 13.7134478)"
51.1529449,13.7942897,"(51.1529449, 13.7942897)"
51.0099034,13.7835218,"(51.0099034, 13.7835218)"
51.0130601,13.7773363,"(51.0130601, 13.7773363)"
51.0130801,13.7768673,"(51.0130801, 13.7768673)"
51.0387323,13.7400064,"(51.0387323, 13.7400064)"
51.0568711,13.6867187,"(51.0568711, 13.6867187)"
51.0571297,13.6875446,"(51.0571297, 13.6875446)"
51.0527925,13.6818853,"(51.0527925, 13.6818853)"
51.0529354,13.6819402,"(51.0529354, 13.6819402)"
51.0453328,13.6782552,"(51.0453328, 13.6782552)"
51.0824842,13.6906584,"(51.0824842, 13.6906584)"
51.0834215,13.6872385,"(51.0834215, 13.6872385)"
51.082568,13.7070245,"(51.082568, 13.7070245)"
51.0824695,13.7062498,"(51.0824695, 13.7062498)"
51.0822173,13.7070826,"(51.0822173, 13.7070826)"
51.0804822,13.7144053,"(51.0804822, 13.7144053)"
51.0843704,13.7276469,"(51.0843704, 13.7276469)"
51.0774187,13.721563,"(51.0774187, 13.721563)"
51.0548943,13.7570797,"(51.0548943, 13.7570797)"
51.0789043,13.7082622,"(51.0789043, 13.7082622)"
51.0673744,13.7776877,"(51.0673744, 13.7776877)"
51.0622916,13.8541505,"(51.0622916, 13.8541505)"
