lat,lon,coor
51.0682656,13.7167178,"(51.0682656, 13.7167178)"
51.0679548,13.7166467,"(51.0679548, 13.7166467)"
51.0673899,13.7165361,"(51.0673899, 13.7165361)"
51.0654235,13.7161724,"(51.0654235, 13.7161724)"
51.0654438,13.7160381,"(51.0654438, 13.7160381)"
51.0674007,13.7164,"(51.0674007, 13.7164)"
51.0679327,13.7164984,"(51.0679327, 13.7164984)"
51.0679667,13.7165047,"(51.0679667, 13.7165047)"
51.0680233,13.7165151,"(51.0680233, 13.7165151)"
51.0680311,13.716472,"(51.0680311, 13.716472)"
51.0679704,13.7164607,"(51.0679704, 13.7164607)"
51.0674507,13.7163636,"(51.0674507, 13.7163636)"
51.0674043,13.7163549,"(51.0674043, 13.7163549)"
51.0654477,13.7159894,"(51.0654477, 13.7159894)"
51.0567087,13.7408029,"(51.0567087, 13.7408029)"
51.0566901,13.7407891,"(51.0566901, 13.7407891)"
51.0567133,13.7407077,"(51.0567133, 13.7407077)"
51.0565328,13.7405812,"(51.0565328, 13.7405812)"
51.0565245,13.7405923,"(51.0565245, 13.7405923)"
51.0565144,13.7406017,"(51.0565144, 13.7406017)"
51.0565014,13.7406056,"(51.0565014, 13.7406056)"
51.0564882,13.7405957,"(51.0564882, 13.7405957)"
51.0564811,13.7405722,"(51.0564811, 13.7405722)"
51.0564779,13.7405427,"(51.0564779, 13.7405427)"
51.0562575,13.7403882,"(51.0562575, 13.7403882)"
51.0562476,13.7404012,"(51.0562476, 13.7404012)"
51.0562337,13.740416,"(51.0562337, 13.740416)"
51.0562113,13.740412,"(51.0562113, 13.740412)"
51.0561974,13.7403932,"(51.0561974, 13.7403932)"
51.0561907,13.7403664,"(51.0561907, 13.7403664)"
51.0561894,13.7403404,"(51.0561894, 13.7403404)"
51.0559387,13.7401647,"(51.0559387, 13.7401647)"
51.055926,13.7401813,"(51.055926, 13.7401813)"
51.0559125,13.7401974,"(51.0559125, 13.7401974)"
51.0558944,13.7402034,"(51.0558944, 13.7402034)"
51.0558762,13.74019,"(51.0558762, 13.74019)"
51.0558649,13.7401659,"(51.0558649, 13.7401659)"
51.0558644,13.7401384,"(51.0558644, 13.7401384)"
51.0558632,13.7401118,"(51.0558632, 13.7401118)"
51.0555868,13.739918,"(51.0555868, 13.739918)"
51.0555719,13.7399379,"(51.0555719, 13.7399379)"
51.0555547,13.739954,"(51.0555547, 13.739954)"
51.0555325,13.739956,"(51.0555325, 13.739956)"
51.055522,13.7399458,"(51.055522, 13.7399458)"
51.055515,13.7399285,"(51.055515, 13.7399285)"
51.0555091,13.7399023,"(51.0555091, 13.7399023)"
51.0555073,13.7398623,"(51.0555073, 13.7398623)"
51.0552149,13.7396574,"(51.0552149, 13.7396574)"
51.0551949,13.7396846,"(51.0551949, 13.7396846)"
51.055169,13.7397064,"(51.055169, 13.7397064)"
51.0551524,13.7397156,"(51.0551524, 13.7397156)"
51.0551332,13.7397064,"(51.0551332, 13.7397064)"
51.0551252,13.7396719,"(51.0551252, 13.7396719)"
51.0551211,13.7396317,"(51.0551211, 13.7396317)"
51.0551204,13.7395911,"(51.0551204, 13.7395911)"
51.0548208,13.7393811,"(51.0548208, 13.7393811)"
51.0548033,13.7394051,"(51.0548033, 13.7394051)"
51.0547886,13.7394188,"(51.0547886, 13.7394188)"
51.0547697,13.7394163,"(51.0547697, 13.7394163)"
51.0547525,13.7393985,"(51.0547525, 13.7393985)"
51.0547445,13.7393655,"(51.0547445, 13.7393655)"
51.0547443,13.7393275,"(51.0547443, 13.7393275)"
51.054464,13.739131,"(51.054464, 13.739131)"
51.0544506,13.739151,"(51.0544506, 13.739151)"
51.0544327,13.7391647,"(51.0544327, 13.7391647)"
51.0544209,13.7391647,"(51.0544209, 13.7391647)"
51.0544081,13.7391566,"(51.0544081, 13.7391566)"
51.0544005,13.7391429,"(51.0544005, 13.7391429)"
51.0543973,13.7391164,"(51.0543973, 13.7391164)"
51.0543999,13.7390861,"(51.0543999, 13.7390861)"
51.0542009,13.7389466,"(51.0542009, 13.7389466)"
51.0541857,13.7389961,"(51.0541857, 13.7389961)"
51.0541579,13.7390108,"(51.0541579, 13.7390108)"
51.0539913,13.7389,"(51.0539913, 13.7389)"
51.0540181,13.7388062,"(51.0540181, 13.7388062)"
51.054027,13.7387757,"(51.054027, 13.7387757)"
51.0540439,13.7387173,"(51.0540439, 13.7387173)"
51.0540485,13.7387005,"(51.0540485, 13.7387005)"
51.0540539,13.7386807,"(51.0540539, 13.7386807)"
51.0540723,13.738619,"(51.0540723, 13.738619)"
51.0540818,13.7385838,"(51.0540818, 13.7385838)"
51.054106,13.7385021,"(51.054106, 13.7385021)"
51.0542537,13.7386115,"(51.0542537, 13.7386115)"
51.054269,13.7386232,"(51.054269, 13.7386232)"
51.0542783,13.7386693,"(51.0542783, 13.7386693)"
51.0542676,13.7387129,"(51.0542676, 13.7387129)"
51.0544629,13.7388488,"(51.0544629, 13.7388488)"
51.0544809,13.7388167,"(51.0544809, 13.7388167)"
51.0544999,13.738808,"(51.0544999, 13.738808)"
51.0545154,13.7388138,"(51.0545154, 13.7388138)"
51.0545249,13.7388313,"(51.0545249, 13.7388313)"
51.0545278,13.7388541,"(51.0545278, 13.7388541)"
51.0545262,13.738893,"(51.0545262, 13.738893)"
51.0548141,13.7390933,"(51.0548141, 13.7390933)"
51.054826,13.7390701,"(51.054826, 13.7390701)"
51.0548405,13.7390459,"(51.0548405, 13.7390459)"
51.0548549,13.7390447,"(51.0548549, 13.7390447)"
51.0548643,13.7390502,"(51.0548643, 13.7390502)"
51.0548731,13.7390596,"(51.0548731, 13.7390596)"
51.0548795,13.7390762,"(51.0548795, 13.7390762)"
51.0548827,13.7391004,"(51.0548827, 13.7391004)"
51.0548827,13.7391411,"(51.0548827, 13.7391411)"
51.0551833,13.7393504,"(51.0551833, 13.7393504)"
51.055215,13.739302,"(51.055215, 13.739302)"
51.055244,13.7392812,"(51.055244, 13.7392812)"
51.0552639,13.7392935,"(51.0552639, 13.7392935)"
51.0552738,13.7393151,"(51.0552738, 13.7393151)"
51.0552769,13.7393494,"(51.0552769, 13.7393494)"
51.0552752,13.7394143,"(51.0552752, 13.7394143)"
51.0555805,13.7396269,"(51.0555805, 13.7396269)"
51.055595,13.7395955,"(51.055595, 13.7395955)"
51.0556196,13.7395814,"(51.0556196, 13.7395814)"
51.0556371,13.7395928,"(51.0556371, 13.7395928)"
51.0556459,13.7396159,"(51.0556459, 13.7396159)"
51.0556482,13.7396455,"(51.0556482, 13.7396455)"
51.0556457,13.7396722,"(51.0556457, 13.7396722)"
51.0559322,13.7398717,"(51.0559322, 13.7398717)"
51.0559517,13.7398427,"(51.0559517, 13.7398427)"
51.055974,13.7398359,"(51.055974, 13.7398359)"
51.0559892,13.7398473,"(51.0559892, 13.7398473)"
51.0559997,13.7398829,"(51.0559997, 13.7398829)"
51.0559997,13.7399187,"(51.0559997, 13.7399187)"
51.0562582,13.7400986,"(51.0562582, 13.7400986)"
51.0562708,13.740082,"(51.0562708, 13.740082)"
51.0562851,13.7400686,"(51.0562851, 13.7400686)"
51.0563053,13.7400753,"(51.0563053, 13.7400753)"
51.0563163,13.7400934,"(51.0563163, 13.7400934)"
51.0563201,13.7401102,"(51.0563201, 13.7401102)"
51.0563208,13.7401422,"(51.0563208, 13.7401422)"
51.0565489,13.740301,"(51.0565489, 13.740301)"
51.0565616,13.7402812,"(51.0565616, 13.7402812)"
51.0565767,13.7402725,"(51.0565767, 13.7402725)"
51.0565877,13.7402785,"(51.0565877, 13.7402785)"
51.0565961,13.7402953,"(51.0565961, 13.7402953)"
51.0565987,13.7403114,"(51.0565987, 13.7403114)"
51.0565994,13.7403362,"(51.0565994, 13.7403362)"
51.0567773,13.74046,"(51.0567773, 13.74046)"
51.0568031,13.7403744,"(51.0568031, 13.7403744)"
51.0568195,13.7403851,"(51.0568195, 13.7403851)"
51.0568043,13.7404421,"(51.0568043, 13.7404421)"
51.0567904,13.7404957,"(51.0567904, 13.7404957)"
51.0567689,13.7405789,"(51.0567689, 13.7405789)"
51.0567635,13.7405963,"(51.0567635, 13.7405963)"
51.0567584,13.7406131,"(51.0567584, 13.7406131)"
51.0567371,13.7406938,"(51.0567371, 13.7406938)"
51.0567087,13.7408029,"(51.0567087, 13.7408029)"
51.0620731,13.7344087,"(51.0620731, 13.7344087)"
51.0619861,13.7341488,"(51.0619861, 13.7341488)"
51.0619667,13.7341329,"(51.0619667, 13.7341329)"
51.0619539,13.7341019,"(51.0619539, 13.7341019)"
51.0619605,13.7340674,"(51.0619605, 13.7340674)"
51.0619555,13.7340524,"(51.0619555, 13.7340524)"
51.0618861,13.7338468,"(51.0618861, 13.7338468)"
51.0618727,13.7338548,"(51.0618727, 13.7338548)"
51.0618555,13.733846,"(51.0618555, 13.733846)"
51.0618511,13.733832,"(51.0618511, 13.733832)"
51.061846,13.7338159,"(51.061846, 13.7338159)"
51.0618527,13.733784,"(51.0618527, 13.733784)"
51.0618399,13.7337303,"(51.0618399, 13.7337303)"
51.0618499,13.7337179,"(51.0618499, 13.7337179)"
51.0616069,13.7329806,"(51.0616069, 13.7329806)"
