lat,lon,coor
51.0234347,13.6869268,"(51.0234347, 13.6869268)"
51.0217883,13.6880825,"(51.0217883, 13.6880825)"
51.0215501,13.6882571,"(51.0215501, 13.6882571)"
51.0429694,13.6076155,"(51.0429694, 13.6076155)"
51.0423998,13.607764,"(51.0423998, 13.607764)"
51.0417703,13.6080135,"(51.0417703, 13.6080135)"
51.0413761,13.6082366,"(51.0413761, 13.6082366)"
51.0411221,13.6083947,"(51.0411221, 13.6083947)"
51.0407353,13.608676,"(51.0407353, 13.608676)"
51.0402997,13.6090456,"(51.0402997, 13.6090456)"
51.0399305,13.6094256,"(51.0399305, 13.6094256)"
51.0395723,13.6098418,"(51.0395723, 13.6098418)"
51.0393035,13.6101904,"(51.0393035, 13.6101904)"
51.0373698,13.6151798,"(51.0373698, 13.6151798)"
51.0374756,13.6146809,"(51.0374756, 13.6146809)"
51.0375764,13.6142724,"(51.0375764, 13.6142724)"
51.0376785,13.613903,"(51.0376785, 13.613903)"
51.0378041,13.6135022,"(51.0378041, 13.6135022)"
51.0379236,13.6131564,"(51.0379236, 13.6131564)"
51.0380664,13.6127695,"(51.0380664, 13.6127695)"
51.0381947,13.6124664,"(51.0381947, 13.6124664)"
51.0129786,13.7170143,"(51.0129786, 13.7170143)"
51.0127053,13.7178418,"(51.0127053, 13.7178418)"
51.0125603,13.7182393,"(51.0125603, 13.7182393)"
51.0124088,13.7186302,"(51.0124088, 13.7186302)"
51.013182,13.7171731,"(51.013182, 13.7171731)"
51.0134983,13.716145,"(51.0134983, 13.716145)"
51.013901,13.7144054,"(51.013901, 13.7144054)"
51.0141618,13.7125663,"(51.0141618, 13.7125663)"
51.0142233,13.7121315,"(51.0142233, 13.7121315)"
51.014956,13.7069534,"(51.014956, 13.7069534)"
51.0152178,13.7048529,"(51.0152178, 13.7048529)"
51.0153933,13.7034454,"(51.0153933, 13.7034454)"
51.0158821,13.7001473,"(51.0158821, 13.7001473)"
51.0161489,13.6987645,"(51.0161489, 13.6987645)"
51.0164079,13.6976804,"(51.0164079, 13.6976804)"
51.0165382,13.6971352,"(51.0165382, 13.6971352)"
51.0169012,13.6960323,"(51.0169012, 13.6960323)"
51.0174499,13.6945157,"(51.0174499, 13.6945157)"
51.0181658,13.6930261,"(51.0181658, 13.6930261)"
51.0187816,13.6919983,"(51.0187816, 13.6919983)"
51.0190334,13.6916077,"(51.0190334, 13.6916077)"
51.0195916,13.6907421,"(51.0195916, 13.6907421)"
51.0204266,13.6897704,"(51.0204266, 13.6897704)"
51.0215258,13.6886787,"(51.0215258, 13.6886787)"
51.0283466,13.674783,"(51.0283466, 13.674783)"
51.02819,13.6753951,"(51.02819, 13.6753951)"
51.0281392,13.6756542,"(51.0281392, 13.6756542)"
51.0280861,13.6759598,"(51.0280861, 13.6759598)"
51.0277703,13.6781812,"(51.0277703, 13.6781812)"
51.027729,13.6784721,"(51.027729, 13.6784721)"
51.027451,13.6801582,"(51.027451, 13.6801582)"
51.0272115,13.6810459,"(51.0272115, 13.6810459)"
51.0269996,13.6817274,"(51.0269996, 13.6817274)"
51.0265827,13.682709,"(51.0265827, 13.682709)"
51.0258363,13.6842626,"(51.0258363, 13.6842626)"
51.0257367,13.6844455,"(51.0257367, 13.6844455)"
51.0254939,13.684891,"(51.0254939, 13.684891)"
51.025195,13.6853242,"(51.025195, 13.6853242)"
51.0248455,13.6857474,"(51.0248455, 13.6857474)"
51.024024,13.6865416,"(51.024024, 13.6865416)"
51.0234347,13.6869268,"(51.0234347, 13.6869268)"
51.1074268,13.7345032,"(51.1074268, 13.7345032)"
51.1080452,13.735737,"(51.1080452, 13.735737)"
51.1085506,13.7367259,"(51.1085506, 13.7367259)"
51.0721634,13.666339,"(51.0721634, 13.666339)"
51.0720853,13.6658126,"(51.0720853, 13.6658126)"
51.0719709,13.6648651,"(51.0719709, 13.6648651)"
51.0719253,13.6643262,"(51.0719253, 13.6643262)"
51.0718781,13.6634964,"(51.0718781, 13.6634964)"
51.0718437,13.6627447,"(51.0718437, 13.6627447)"
51.071806,13.6602025,"(51.071806, 13.6602025)"
51.0715337,13.6523555,"(51.0715337, 13.6523555)"
