lat,lon,coor
51.0370027,13.7157526,"(51.0370027, 13.7157526)"
51.0368955,13.7156992,"(51.0368955, 13.7156992)"
51.0147576,13.7228183,"(51.0147576, 13.7228183)"
51.0146216,13.7227273,"(51.0146216, 13.7227273)"
51.0144612,13.7226488,"(51.0144612, 13.7226488)"
51.0221226,13.7304209,"(51.0221226, 13.7304209)"
51.0229032,13.730548,"(51.0229032, 13.730548)"
51.0327761,13.7301071,"(51.0327761, 13.7301071)"
51.0326355,13.7300714,"(51.0326355, 13.7300714)"
51.032891,13.7303352,"(51.032891, 13.7303352)"
51.0329528,13.730383,"(51.0329528, 13.730383)"
51.0331554,13.7305396,"(51.0331554, 13.7305396)"
51.0335313,13.7307291,"(51.0335313, 13.7307291)"
51.0338357,13.7308904,"(51.0338357, 13.7308904)"
51.039024,13.7332182,"(51.039024, 13.7332182)"
51.0389339,13.7331781,"(51.0389339, 13.7331781)"
51.0430549,13.7232092,"(51.0430549, 13.7232092)"
51.0429853,13.7230692,"(51.0429853, 13.7230692)"
51.0540523,13.7222612,"(51.0540523, 13.7222612)"
51.0541773,13.7223991,"(51.0541773, 13.7223991)"
51.0542659,13.7224969,"(51.0542659, 13.7224969)"
51.0546724,13.7230185,"(51.0546724, 13.7230185)"
51.054858,13.723274,"(51.054858, 13.723274)"
51.0549696,13.7234277,"(51.0549696, 13.7234277)"
51.0594726,13.7290351,"(51.0594726, 13.7290351)"
51.0596372,13.7292417,"(51.0596372, 13.7292417)"
51.0464993,13.7416019,"(51.0464993, 13.7416019)"
51.0464309,13.7414149,"(51.0464309, 13.7414149)"
51.0463203,13.7412067,"(51.0463203, 13.7412067)"
51.0459738,13.7414388,"(51.0459738, 13.7414388)"
51.046111,13.7417465,"(51.046111, 13.7417465)"
51.0461733,13.7418862,"(51.0461733, 13.7418862)"
51.0429392,13.7235227,"(51.0429392, 13.7235227)"
51.0435438,13.7247953,"(51.0435438, 13.7247953)"
51.0435976,13.7249067,"(51.0435976, 13.7249067)"
51.0437446,13.7252119,"(51.0437446, 13.7252119)"
51.067037,13.7821932,"(51.067037, 13.7821932)"
51.0670109,13.782055,"(51.0670109, 13.782055)"
51.0668929,13.7814056,"(51.0668929, 13.7814056)"
51.0668758,13.7812824,"(51.0668758, 13.7812824)"
51.0668445,13.7810561,"(51.0668445, 13.7810561)"
51.0668289,13.7808783,"(51.0668289, 13.7808783)"
51.06682,13.7806792,"(51.06682, 13.7806792)"
51.0668255,13.7804055,"(51.0668255, 13.7804055)"
51.0668369,13.7802297,"(51.0668369, 13.7802297)"
51.0668449,13.7801472,"(51.0668449, 13.7801472)"
51.0668567,13.7800523,"(51.0668567, 13.7800523)"
51.0668748,13.7799232,"(51.0668748, 13.7799232)"
51.0668994,13.7797872,"(51.0668994, 13.7797872)"
51.0669216,13.7796879,"(51.0669216, 13.7796879)"
51.0669465,13.7795807,"(51.0669465, 13.7795807)"
51.0669722,13.779474,"(51.0669722, 13.779474)"
51.0670098,13.7793673,"(51.0670098, 13.7793673)"
51.0405922,13.734712,"(51.0405922, 13.734712)"
51.0407476,13.734836,"(51.0407476, 13.734836)"
51.0408689,13.7349341,"(51.0408689, 13.7349341)"
51.040901,13.7349609,"(51.040901, 13.7349609)"
51.0409341,13.7349915,"(51.0409341, 13.7349915)"
51.0412393,13.735274,"(51.0412393, 13.735274)"
51.0461733,13.7418862,"(51.0461733, 13.7418862)"
51.0462249,13.7419879,"(51.0462249, 13.7419879)"
51.0462465,13.7420423,"(51.0462465, 13.7420423)"
51.0465107,13.7427031,"(51.0465107, 13.7427031)"
51.0466672,13.7430634,"(51.0466672, 13.7430634)"
51.0467831,13.7432935,"(51.0467831, 13.7432935)"
51.0468705,13.7434527,"(51.0468705, 13.7434527)"
51.046953,13.7435744,"(51.046953, 13.7435744)"
51.047083,13.7437451,"(51.047083, 13.7437451)"
51.0471756,13.7438437,"(51.0471756, 13.7438437)"
51.0473265,13.7439776,"(51.0473265, 13.7439776)"
51.0474589,13.7440953,"(51.0474589, 13.7440953)"
51.0474986,13.7441306,"(51.0474986, 13.7441306)"
51.0475761,13.7441951,"(51.0475761, 13.7441951)"
51.047743,13.744331,"(51.047743, 13.744331)"
51.0463203,13.7412067,"(51.0463203, 13.7412067)"
51.0462436,13.7410914,"(51.0462436, 13.7410914)"
51.0655685,13.7469244,"(51.0655685, 13.7469244)"
51.0650617,13.7468838,"(51.0650617, 13.7468838)"
51.0650082,13.7468826,"(51.0650082, 13.7468826)"
51.0494392,13.6989327,"(51.0494392, 13.6989327)"
51.0486883,13.6956073,"(51.0486883, 13.6956073)"
51.0476567,13.6898754,"(51.0476567, 13.6898754)"
51.0474451,13.6898873,"(51.0474451, 13.6898873)"
51.0475461,13.6910209,"(51.0475461, 13.6910209)"
51.0481691,13.6950092,"(51.0481691, 13.6950092)"
51.048393,13.6958867,"(51.048393, 13.6958867)"
51.0493524,13.6990213,"(51.0493524, 13.6990213)"
51.0504939,13.7032791,"(51.0504939, 13.7032791)"
51.0504713,13.7035245,"(51.0504713, 13.7035245)"
51.0504617,13.7035992,"(51.0504617, 13.7035992)"
51.0487787,13.6809758,"(51.0487787, 13.6809758)"
51.0488262,13.6807712,"(51.0488262, 13.6807712)"
51.0490774,13.6797171,"(51.0490774, 13.6797171)"
51.0629372,13.713637,"(51.0629372, 13.713637)"
