lat,lon,coor
51.0301474,13.7306454,"(51.0301474, 13.7306454)"
51.0300472,13.7308518,"(51.0300472, 13.7308518)"
51.0143334,13.7208138,"(51.0143334, 13.7208138)"
51.0143749,13.7204691,"(51.0143749, 13.7204691)"
51.0144132,13.7202235,"(51.0144132, 13.7202235)"
51.0142048,13.7227658,"(51.0142048, 13.7227658)"
51.0142134,13.722577,"(51.0142134, 13.722577)"
51.0341816,13.7217325,"(51.0341816, 13.7217325)"
51.034169,13.721745,"(51.034169, 13.721745)"
51.0341279,13.721786,"(51.0341279, 13.721786)"
51.0339715,13.7219306,"(51.0339715, 13.7219306)"
51.0305539,13.7300563,"(51.0305539, 13.7300563)"
51.0305926,13.7299706,"(51.0305926, 13.7299706)"
51.030844,13.7294136,"(51.030844, 13.7294136)"
51.0310981,13.7288345,"(51.0310981, 13.7288345)"
51.031369,13.7282327,"(51.031369, 13.7282327)"
51.0313901,13.728177,"(51.0313901, 13.728177)"
51.0314028,13.728115,"(51.0314028, 13.728115)"
51.0314032,13.7280578,"(51.0314032, 13.7280578)"
51.0113056,13.7024749,"(51.0113056, 13.7024749)"
51.0111882,13.7023655,"(51.0111882, 13.7023655)"
51.011011,13.7021987,"(51.011011, 13.7021987)"
51.0107384,13.7019388,"(51.0107384, 13.7019388)"
51.0106179,13.7018248,"(51.0106179, 13.7018248)"
51.0101945,13.7014265,"(51.0101945, 13.7014265)"
50.996022,13.7945144,"(50.996022, 13.7945144)"
50.996021,13.7944063,"(50.996021, 13.7944063)"
50.998606,13.7996162,"(50.998606, 13.7996162)"
50.9984924,13.7995,"(50.9984924, 13.7995)"
50.9961374,13.7957422,"(50.9961374, 13.7957422)"
50.9960185,13.7957728,"(50.9960185, 13.7957728)"
51.0330626,13.7302762,"(51.0330626, 13.7302762)"
51.0329358,13.7300963,"(51.0329358, 13.7300963)"
51.0328424,13.7299243,"(51.0328424, 13.7299243)"
51.0327513,13.729618,"(51.0327513, 13.729618)"
51.032696,13.7293787,"(51.032696, 13.7293787)"
51.0317874,13.7272118,"(51.0317874, 13.7272118)"
