lat,lon,coor
51.0529522,13.7800831,"(51.0529522, 13.7800831)"
51.0383432,13.7257157,"(51.0383432, 13.7257157)"
51.0539552,13.7238494,"(51.0539552, 13.7238494)"
51.0494756,13.7943029,"(51.0494756, 13.7943029)"
51.0636125,13.7514668,"(51.0636125, 13.7514668)"
51.0350577,13.731072,"(51.0350577, 13.731072)"
51.0387905,13.7256024,"(51.0387905, 13.7256024)"
51.0720387,13.7474888,"(51.0720387, 13.7474888)"
51.06493,13.7560818,"(51.06493, 13.7560818)"
51.0680886,13.7534159,"(51.0680886, 13.7534159)"
51.0343562,13.7362027,"(51.0343562, 13.7362027)"
51.1304094,13.7879733,"(51.1304094, 13.7879733)"
51.0663472,13.7575545,"(51.0663472, 13.7575545)"
51.0606634,13.7431235,"(51.0606634, 13.7431235)"
51.0442743,13.6259149,"(51.0442743, 13.6259149)"
51.062719,13.752832,"(51.062719, 13.752832)"
51.0365902,13.7159343,"(51.0365902, 13.7159343)"
51.0331922,13.7426926,"(51.0331922, 13.7426926)"
51.0483252,13.7411807,"(51.0483252, 13.7411807)"
51.1286047,13.7912749,"(51.1286047, 13.7912749)"
51.048603,13.8120675,"(51.048603, 13.8120675)"
51.0629934,13.7374128,"(51.0629934, 13.7374128)"
51.0723314,13.7281999,"(51.0723314, 13.7281999)"
51.0638241,13.7553348,"(51.0638241, 13.7553348)"
51.04893,13.799066,"(51.04893, 13.799066)"
51.0526404,13.738484,"(51.0526404, 13.738484)"
51.065045,13.7593681,"(51.065045, 13.7593681)"
51.0361536,13.7066294,"(51.0361536, 13.7066294)"
51.0290971,13.7243259,"(51.0290971, 13.7243259)"
51.0268187,13.7588749,"(51.0268187, 13.7588749)"
51.0282368,13.7330737,"(51.0282368, 13.7330737)"
51.0329814,13.8959645,"(51.0329814, 13.8959645)"
51.036706,13.715187,"(51.036706, 13.715187)"
51.057608,13.7273124,"(51.057608, 13.7273124)"
51.0362981,13.7165255,"(51.0362981, 13.7165255)"
51.0327037,13.7406987,"(51.0327037, 13.7406987)"
51.0752634,13.7233066,"(51.0752634, 13.7233066)"
51.0660991,13.7544716,"(51.0660991, 13.7544716)"
51.0652157,13.7593801,"(51.0652157, 13.7593801)"
51.0650938,13.7593782,"(51.0650938, 13.7593782)"
51.0660494,13.7570424,"(51.0660494, 13.7570424)"
51.0688473,13.7586915,"(51.0688473, 13.7586915)"
51.0693649,13.7569931,"(51.0693649, 13.7569931)"
51.0678443,13.7549485,"(51.0678443, 13.7549485)"
51.0476676,13.7191798,"(51.0476676, 13.7191798)"
