lat,lon,coor
51.0488662,13.7234472,"(51.0488662, 13.7234472)"
51.0440461,13.7373968,"(51.0440461, 13.7373968)"
51.0823246,13.696,"(51.0823246, 13.696)"
51.0517555,13.8043881,"(51.0517555, 13.8043881)"
51.0449566,13.7369635,"(51.0449566, 13.7369635)"
51.0484032,13.7220385,"(51.0484032, 13.7220385)"
51.055927,13.744527,"(51.055927, 13.744527)"
51.0655301,13.823815,"(51.0655301, 13.823815)"
51.0507609,13.7379457,"(51.0507609, 13.7379457)"
51.0379457,13.7060679,"(51.0379457, 13.7060679)"
51.0546215,13.7380935,"(51.0546215, 13.7380935)"
51.046933,13.7353595,"(51.046933, 13.7353595)"
51.037109,13.7537976,"(51.037109, 13.7537976)"
51.066831,13.7542227,"(51.066831, 13.7542227)"
51.0665938,13.7533476,"(51.0665938, 13.7533476)"
51.0302059,13.7539671,"(51.0302059, 13.7539671)"
51.0557174,13.7206242,"(51.0557174, 13.7206242)"
51.0638434,13.8216653,"(51.0638434, 13.8216653)"
51.0542858,13.7236524,"(51.0542858, 13.7236524)"
51.0537873,13.8138323,"(51.0537873, 13.8138323)"
51.0587535,13.6413997,"(51.0587535, 13.6413997)"
51.1267331,13.844298,"(51.1267331, 13.844298)"
51.0644382,13.7603763,"(51.0644382, 13.7603763)"
51.0545137,13.7263619,"(51.0545137, 13.7263619)"
51.0454201,13.6767426,"(51.0454201, 13.6767426)"
51.0651118,13.7594206,"(51.0651118, 13.7594206)"
51.0054818,13.8510428,"(51.0054818, 13.8510428)"
51.1166436,13.7255044,"(51.1166436, 13.7255044)"
51.0301086,13.782983,"(51.0301086, 13.782983)"
51.0462564,13.7352297,"(51.0462564, 13.7352297)"
51.029884,13.750495,"(51.029884, 13.750495)"
51.0518129,13.7349011,"(51.0518129, 13.7349011)"
51.0707153,13.7508568,"(51.0707153, 13.7508568)"
51.0773191,13.7213512,"(51.0773191, 13.7213512)"
51.0573038,13.8895185,"(51.0573038, 13.8895185)"
50.9842011,13.7992361,"(50.9842011, 13.7992361)"
51.0503667,13.7112753,"(51.0503667, 13.7112753)"
51.0458303,13.7024935,"(51.0458303, 13.7024935)"
51.075256,13.7485828,"(51.075256, 13.7485828)"
51.0690155,13.7481206,"(51.0690155, 13.7481206)"
51.0654407,13.7379734,"(51.0654407, 13.7379734)"
51.0650803,13.759328,"(51.0650803, 13.759328)"
51.0763032,13.7499741,"(51.0763032, 13.7499741)"
51.0302842,13.7046354,"(51.0302842, 13.7046354)"
51.1399815,13.8013268,"(51.1399815, 13.8013268)"
51.0645444,13.7567562,"(51.0645444, 13.7567562)"
51.0393378,13.7010652,"(51.0393378, 13.7010652)"
51.0566245,13.6812335,"(51.0566245, 13.6812335)"
51.0680621,13.7586525,"(51.0680621, 13.7586525)"
51.0688218,13.7163235,"(51.0688218, 13.7163235)"
51.065752,13.750599,"(51.065752, 13.750599)"
51.0665869,13.7609328,"(51.0665869, 13.7609328)"
51.0290267,13.7307367,"(51.0290267, 13.7307367)"
51.042067,13.7578722,"(51.042067, 13.7578722)"
51.0423238,13.699072,"(51.0423238, 13.699072)"
51.0162681,13.6694433,"(51.0162681, 13.6694433)"
51.0511046,13.7384372,"(51.0511046, 13.7384372)"
51.0612093,13.718897,"(51.0612093, 13.718897)"
51.1466458,13.795729,"(51.1466458, 13.795729)"
51.1138846,13.753105,"(51.1138846, 13.753105)"
51.0557937,13.7601422,"(51.0557937, 13.7601422)"
51.0523974,13.7227417,"(51.0523974, 13.7227417)"
51.0133487,13.8178384,"(51.0133487, 13.8178384)"
51.0277726,13.7628121,"(51.0277726, 13.7628121)"
51.0487527,13.6723984,"(51.0487527, 13.6723984)"
51.029352,13.7385389,"(51.029352, 13.7385389)"
51.0268619,13.7589303,"(51.0268619, 13.7589303)"
51.0171319,13.7366257,"(51.0171319, 13.7366257)"
51.0114796,13.766263,"(51.0114796, 13.766263)"
51.0481097,13.7353711,"(51.0481097, 13.7353711)"
51.0621446,13.8328927,"(51.0621446, 13.8328927)"
51.0685381,13.7502911,"(51.0685381, 13.7502911)"
51.0526152,13.7214022,"(51.0526152, 13.7214022)"
51.055762,13.8170504,"(51.055762, 13.8170504)"
51.0553153,13.7617365,"(51.0553153, 13.7617365)"
51.0422784,13.8094349,"(51.0422784, 13.8094349)"
51.0546032,13.7261052,"(51.0546032, 13.7261052)"
51.063102,13.8201499,"(51.063102, 13.8201499)"
51.0757984,13.724393,"(51.0757984, 13.724393)"
51.0291343,13.7595098,"(51.0291343, 13.7595098)"
51.0821801,13.721872,"(51.0821801, 13.721872)"
51.0658263,13.7939361,"(51.0658263, 13.7939361)"
51.0334417,13.7443107,"(51.0334417, 13.7443107)"
51.0333879,13.7442615,"(51.0333879, 13.7442615)"
51.1099064,13.7610462,"(51.1099064, 13.7610462)"
51.0043715,13.7962405,"(51.0043715, 13.7962405)"
51.0541891,13.8149795,"(51.0541891, 13.8149795)"
51.0665237,13.7602344,"(51.0665237, 13.7602344)"
51.038707,13.7193303,"(51.038707, 13.7193303)"
51.0437265,13.6969952,"(51.0437265, 13.6969952)"
