lat,lon,coor
51.0401038,13.6444929,"(51.0401038, 13.6444929)"
51.1111646,13.7125676,"(51.1111646, 13.7125676)"
51.0634303,13.7577176,"(51.0634303, 13.7577176)"
51.0643978,13.7549339,"(51.0643978, 13.7549339)"
51.0732435,13.7946444,"(51.0732435, 13.7946444)"
51.0776937,13.712517,"(51.0776937, 13.712517)"
51.052517,13.8087254,"(51.052517, 13.8087254)"
51.053012,13.8083975,"(51.053012, 13.8083975)"
51.0527587,13.8082024,"(51.0527587, 13.8082024)"
51.0545109,13.8143881,"(51.0545109, 13.8143881)"
51.0539038,13.814669,"(51.0539038, 13.814669)"
51.053547,13.8126916,"(51.053547, 13.8126916)"
51.0531777,13.8121527,"(51.0531777, 13.8121527)"
51.0639793,13.7980083,"(51.0639793, 13.7980083)"
51.063544,13.7995396,"(51.063544, 13.7995396)"
51.0302885,13.7452359,"(51.0302885, 13.7452359)"
51.0399185,13.6331047,"(51.0399185, 13.6331047)"
51.0543868,13.7371186,"(51.0543868, 13.7371186)"
51.0472133,13.7372806,"(51.0472133, 13.7372806)"
51.0496246,13.7554884,"(51.0496246, 13.7554884)"
51.0544448,13.7262485,"(51.0544448, 13.7262485)"
51.0664913,13.7537092,"(51.0664913, 13.7537092)"
51.0671778,13.75177,"(51.0671778, 13.75177)"
51.0263027,13.7313818,"(51.0263027, 13.7313818)"
51.0489695,13.6919029,"(51.0489695, 13.6919029)"
51.0269154,13.726983,"(51.0269154, 13.726983)"
51.033551,13.7636543,"(51.033551, 13.7636543)"
51.0424604,13.7350066,"(51.0424604, 13.7350066)"
51.0421131,13.7348456,"(51.0421131, 13.7348456)"
51.0746909,13.7494354,"(51.0746909, 13.7494354)"
51.0743596,13.7494554,"(51.0743596, 13.7494554)"
51.0737081,13.7489243,"(51.0737081, 13.7489243)"
51.0491285,13.7406093,"(51.0491285, 13.7406093)"
51.0488463,13.7403252,"(51.0488463, 13.7403252)"
51.107486,13.759139,"(51.107486, 13.759139)"
51.0247066,13.8828894,"(51.0247066, 13.8828894)"
51.0328209,13.7216447,"(51.0328209, 13.7216447)"
51.065649,13.75614,"(51.065649, 13.75614)"
51.1628512,13.7707157,"(51.1628512, 13.7707157)"
51.0394002,13.701749,"(51.0394002, 13.701749)"
51.074332,13.7491508,"(51.074332, 13.7491508)"
51.067028,13.7516443,"(51.067028, 13.7516443)"
51.0690476,13.7554564,"(51.0690476, 13.7554564)"
51.0642286,13.755579,"(51.0642286, 13.755579)"
51.0621668,13.7540345,"(51.0621668, 13.7540345)"
51.0189327,13.7062097,"(51.0189327, 13.7062097)"
51.0526195,13.8051195,"(51.0526195, 13.8051195)"
51.1294416,13.789963,"(51.1294416, 13.789963)"
51.0546768,13.7379655,"(51.0546768, 13.7379655)"
51.0597591,13.6791453,"(51.0597591, 13.6791453)"
51.0968554,13.7252182,"(51.0968554, 13.7252182)"
51.1188441,13.7901837,"(51.1188441, 13.7901837)"
51.0177062,13.845774,"(51.0177062, 13.845774)"
51.061674,13.6811096,"(51.061674, 13.6811096)"
51.0736379,13.7459064,"(51.0736379, 13.7459064)"
51.0685808,13.7495538,"(51.0685808, 13.7495538)"
51.0494337,13.7888541,"(51.0494337, 13.7888541)"
51.0439028,13.7748128,"(51.0439028, 13.7748128)"
51.0679211,13.7780605,"(51.0679211, 13.7780605)"
51.0676084,13.7544808,"(51.0676084, 13.7544808)"
51.066215,13.7547725,"(51.066215, 13.7547725)"
51.0670079,13.7500686,"(51.0670079, 13.7500686)"
51.0923154,13.7092652,"(51.0923154, 13.7092652)"
51.0793015,13.7432288,"(51.0793015, 13.7432288)"
51.0252532,13.8382565,"(51.0252532, 13.8382565)"
51.0341544,13.7838704,"(51.0341544, 13.7838704)"
51.060441,13.7440994,"(51.060441, 13.7440994)"
