lat,lon,coor
51.0650393,13.7561934,"(51.0650393, 13.7561934)"
51.052279,13.809103,"(51.052279, 13.809103)"
51.0680042,13.7525891,"(51.0680042, 13.7525891)"
51.0665431,13.7534673,"(51.0665431, 13.7534673)"
51.0359891,13.7313601,"(51.0359891, 13.7313601)"
51.045817,13.7877311,"(51.045817, 13.7877311)"
51.0333689,13.724905,"(51.0333689, 13.724905)"
51.0659654,13.7557493,"(51.0659654, 13.7557493)"
51.0702069,13.747412,"(51.0702069, 13.747412)"
51.0693039,13.753835,"(51.0693039, 13.753835)"
51.0639842,13.7564088,"(51.0639842, 13.7564088)"
51.0666723,13.7530193,"(51.0666723, 13.7530193)"
51.0663396,13.750926,"(51.0663396, 13.750926)"
51.0688097,13.7556036,"(51.0688097, 13.7556036)"
51.066774,13.7496958,"(51.066774, 13.7496958)"
51.0668131,13.7497694,"(51.0668131, 13.7497694)"
51.0671109,13.7513592,"(51.0671109, 13.7513592)"
51.0678033,13.7524175,"(51.0678033, 13.7524175)"
51.0689366,13.7556385,"(51.0689366, 13.7556385)"
51.0688812,13.7553363,"(51.0688812, 13.7553363)"
51.0625604,13.7517841,"(51.0625604, 13.7517841)"
51.0719492,13.7480351,"(51.0719492, 13.7480351)"
51.0524493,13.7451854,"(51.0524493, 13.7451854)"
51.0670434,13.7509766,"(51.0670434, 13.7509766)"
51.0313114,13.7131526,"(51.0313114, 13.7131526)"
51.0288852,13.7058873,"(51.0288852, 13.7058873)"
51.0737553,13.7013567,"(51.0737553, 13.7013567)"
51.0436024,13.7898043,"(51.0436024, 13.7898043)"
51.073299,13.746588,"(51.073299, 13.746588)"
51.1512955,13.8067145,"(51.1512955, 13.8067145)"
51.0336028,13.7834363,"(51.0336028, 13.7834363)"
51.0340709,13.7339909,"(51.0340709, 13.7339909)"
51.0371949,13.731346,"(51.0371949, 13.731346)"
51.0319016,13.7307345,"(51.0319016, 13.7307345)"
51.0035882,13.825184,"(51.0035882, 13.825184)"
51.0678001,13.7778167,"(51.0678001, 13.7778167)"
51.0343187,13.7603455,"(51.0343187, 13.7603455)"
51.0448464,13.7401122,"(51.0448464, 13.7401122)"
51.0405255,13.8034273,"(51.0405255, 13.8034273)"
51.0010198,13.8707229,"(51.0010198, 13.8707229)"
51.0750091,13.7500533,"(51.0750091, 13.7500533)"
51.0674488,13.7537798,"(51.0674488, 13.7537798)"
51.067888,13.7527768,"(51.067888, 13.7527768)"
51.0679553,13.7525371,"(51.0679553, 13.7525371)"
51.0594903,13.7409172,"(51.0594903, 13.7409172)"
