lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_location,degrees_to_centroid,comfort_leisure_spots,activities_education,negative_street_motorway,mobility_public_transport_bus,activities_economic,activities_goverment,social_life_eating,comfort_comfort_spots,social_life_culture,negative_street_secondary,activities_public_service,social_life_community,comfort_leisure_mass,activities_educational,mobility_public_transport_rail,social_life_night_life,comfort_green_natural,negative_street_primary,mobility_bike_infraestructure,comfort_green_forests,comfort_lakes,activities_health_regional,activities_health_local,comfort_green_space,comfort_rivers,negative_warehouse,negative_retail,activities_post,negative_railway,negative_industrial,comfort_green_parks,negative_supermarket,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean,livability
45.51273822600012,45.53073824400013,9.0408867,9.149589583984522,45.52173823500013,9.095238141992262,8.481529586766204,False,145.5560716449406,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.07604936134713719
45.51273822600012,45.53073824400013,9.149589583984522,9.258292467969044,45.52173823500013,9.203941025976782,6.402602617840712,True,59.898557242426605,[0.31481481],[0.0625],[0.02020202],[0.59241706],[0.12878788],[0.],[0.10133333],[0.77426637],[0.2],[0.325],[0.28571429],[0.07142857],[0.1],[0.13636364],[0.42460317],[0.192],[0.37260677],[0.27955494],[0.14285714],[1.],[0.21568627],[0.23076923],[0.21794872],[0.49090909],[1.],[0.07058824],[0.68351648],[0.38333333],[0.05263158],[0.64911126],[0.87627757],[0.],0.1806771353646353,0.5716178765751209,0.3866257930238972,0.1411904761904762,0.2600755640974064,0.3236375544176856
45.4947382080001,45.51273822600012,9.0408867,9.149589583984522,45.503738217000105,9.095238141992262,7.2256459161668065,True,155.56223587279084,[0.],[0.0625],[1.],[0.46445498],[0.03030303],[0.25],[0.056],[0.27539503],[0.1],[0.06916667],[0.57142857],[0.03571429],[0.1],[0.22727273],[0.08333333],[0.056],[0.00220913],[0.53546592],[0.08866995],[0.0887338],[0.44771242],[0.07692308],[0.15384615],[0.76363636],[0.7826087],[0.1],[0.15164835],[0.16666667],[1.],[1.],[0.6880043],[0.0952381],0.1923675283050283,0.3498110827241614,0.2121527534585224,0.0619285714285714,0.4939398798061002,0.020137164005610476
45.4947382080001,45.51273822600012,9.149589583984522,9.258292467969044,45.503738217000105,9.203941025976782,4.610535692471609,True,48.81564532288518,[0.11111111],[0.375],[0.],[0.64454976],[0.15909091],[0.],[0.25466667],[0.60496614],[0.15],[0.2825],[0.14285714],[0.21428571],[0.35],[0.13636364],[0.47619048],[0.168],[0.74153166],[1.],[0.34482759],[0.17447657],[0.],[0.23076923],[0.5],[0.52727273],[0.85507246],[1.],[1.],[0.58333333],[0.31578947],[0.74391047],[0.73265196],[0.76190476],0.2659267815517815,0.4552314044476901,0.4885226084768494,0.1967380952380952,0.6380130878752179,0.11853013657488132
45.47673819000008,45.4947382080001,9.0408867,9.149589583984522,45.485738199000096,9.095238141992262,6.363620138972263,True,167.42932516174267,[0.05555556],[0.],[0.09090909],[0.33649289],[0.00757576],[0.],[0.02533333],[0.03386005],[0.],[0.04416667],[0.],[0.],[0.],[0.],[0.02777778],[0.032],[0.],[0.17941586],[0.01477833],[0.33599202],[0.18627451],[0.],[0.08974359],[0.27727273],[0.15942029],[0.],[0.12087912],[0.],[0.],[0.07899934],[0.44540075],[0.],0.0121649184149184,0.1659751005172533,0.1263496646320637,0.0143333333333333,0.0642962594352113,0.13802474925405156
45.47673819000008,45.4947382080001,9.149589583984522,9.258292467969044,45.485738199000096,9.203941025976782,3.087531067328537,True,29.285900787247428,[1.],[0.6875],[0.05050505],[0.90047393],[0.78787879],[0.],[1.],[1.],[0.75],[1.],[1.],[0.67857143],[1.],[0.22727273],[0.97619048],[1.],[1.],[0.70514604],[1.],[0.],[0.15359477],[0.38461538],[1.],[0.36818182],[0.34782609],[0.42941176],[0.78461538],[1.],[0.28947368],[0.28505596],[0.77622378],[0.],0.6359083624708626,0.6273140502893273,0.9588881366132552,0.8571428571428571,0.4430259847581496,0.7905746936452245
45.45873817200007,45.47673819000008,9.0408867,9.149589583984522,45.46773818100007,9.095238141992262,6.065760565099835,True,180.48338086227363,[0.11111111],[0.125],[0.75757576],[0.53080569],[0.09090909],[0.],[0.05466667],[0.28216704],[0.05],[0.14],[0.14285714],[0.],[0.05],[0.04545455],[0.13095238],[0.008],[0.00184094],[0.17246175],[0.05418719],[0.13659023],[0.24836601],[0.07692308],[0.17948718],[0.35909091],[0.01449275],[0.09411765],[0.2021978],[0.08333333],[0.],[0.38643845],[0.46100054],[0.],0.0929955461205461,0.1849621710649739,0.2386484200914663,0.0281666666666666,0.219098925701575,0.11077052379668359
45.45873817200007,45.47673819000008,9.149589583984522,9.258292467969044,45.46773818100007,9.203941025976782,2.412622316579419,True,358.78438008164136,[0.35185185],[1.],[0.16161616],[1.],[1.],[1.],[0.868],[0.93905192],[1.],[0.52833333],[0.85714286],[1.],[0.7],[1.],[1.],[0.808],[0.42083947],[0.45201669],[0.85221675],[0.],[0.68954248],[1.],[0.96153846],[0.32272727],[0.07246377],[0.],[0.35604396],[0.83333333],[0.28947368],[0.17182357],[1.],[0.],0.9565018315018315,0.4996085294332923,0.9507389162561576,0.919,0.2449134241484899,1.0
45.44073815400005,45.45873817200007,9.0408867,9.149589583984522,45.44973816300006,9.095238141992262,6.41118778275787,False,193.488296221422,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.07604936134713719
45.44073815400005,45.45873817200007,9.149589583984522,9.258292467969044,45.44973816300006,9.203941025976782,3.1813101740908625,True,328.8978474105939,[0.],[0.4375],[0.06060606],[0.79146919],[0.43939394],[0.],[0.42266667],[0.49887133],[0.55],[0.48666667],[0.],[0.32142857],[0.1],[0.40909091],[0.61111111],[0.656],[0.20729013],[0.93184979],[0.41871921],[0.00598205],[0.12418301],[0.53846154],[0.65384615],[0.95],[0.04347826],[0.1],[0.50989011],[0.8],[0.],[0.55365372],[0.92361485],[0.],0.4097865675990676,0.3170466258124527,0.6070998390821892,0.4875238095238096,0.3303332935115108,0.454224402036901
45.42273813600004,45.44073815400005,9.0408867,9.149589583984522,45.43173814500004,9.095238141992262,7.309260833431513,False,205.23397046464,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.07604936134713719
45.42273813600004,45.44073815400005,9.149589583984522,9.258292467969044,45.43173814500004,9.203941025976782,4.736328961936873,True,310.1518379146416,[0.],[0.125],[0.19191919],[0.38862559],[0.11363636],[0.],[0.104],[0.19413093],[0.05],[0.4125],[0.14285714],[0.03571429],[0.05],[0.04545455],[0.1547619],[0.128],[0.00220913],[0.39916551],[0.06896552],[0.03888335],[0.05228758],[0.23076923],[0.23076923],[1.],[0.],[0.05882353],[0.32307692],[0.25],[0.],[0.65832785],[0.54760624],[1.],0.1423108141858142,0.2094574697940488,0.2041176714734486,0.0794285714285714,0.3804766249156665,0.03511739369907712
45.40473811800002,45.42273813600004,9.0408867,9.149589583984522,45.41373812700003,9.095238141992262,8.588326185535237,False,215.09627327609715,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.07604936134713719
45.40473811800002,45.42273813600004,9.149589583984522,9.258292467969044,45.41373812700003,9.203941025976782,6.538882112269246,True,299.50089053054427,[0.],[0.],[0.2020202],[0.05687204],[0.00757576],[0.],[0.00266667],[0.05191874],[0.],[0.03833333],[0.],[0.],[0.],[0.],[0.01587302],[0.],[0.],[0.32127955],[0.],[0.03589232],[0.58823529],[0.],[0.03846154],[0.61818182],[0.],[0.],[0.03516484],[0.],[0.15789474],[0.09677419],[0.1183432],[0.],0.005754662004662,0.1569523740542547,0.0242483512625692,0.0006666666666666,0.1064333569807845,0.06782487783552181
45.3867381,45.40473811800002,9.0408867,9.149589583984522,45.39573810900001,9.095238141992262,10.104725973516445,False,223.0497738147496,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.07604936134713719
45.3867381,45.40473811800002,9.149589583984522,9.258292467969044,45.39573810900001,9.203941025976782,8.431680505760625,True,293.0556940958664,[0.],[0.0625],[0.92929293],[0.07582938],[0.],[0.],[0.00533333],[0.04063205],[0.05],[0.07333333],[0.],[0.],[0.],[0.04545455],[0.01984127],[0.],[0.],[0.21696801],[0.00985222],[0.0109671],[1.],[0.],[0.01282051],[0.65],[0.],[0.],[0.26153846],[0.01666667],[0.26315789],[0.2718894],[0.13824637],[0.],0.0171802156177156,0.2044272802106178,0.0351742901587647,0.0138333333333333,0.2520225038687237,0.0
