lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_location,degrees_to_centroid,comfort_leisure_spots,activities_education,negative_street_motorway,mobility_public_transport_bus,activities_economic,activities_goverment,social_life_eating,comfort_comfort_spots,social_life_culture,negative_street_secondary,activities_public_service,social_life_community,comfort_leisure_mass,activities_educational,mobility_public_transport_rail,social_life_night_life,comfort_green_natural,negative_street_primary,mobility_bike_infraestructure,comfort_green_forests,comfort_lakes,activities_health_regional,activities_health_local,comfort_green_space,comfort_rivers,negative_warehouse,negative_retail,activities_post,negative_railway,negative_industrial,comfort_green_parks,negative_supermarket,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean
43.638708372000096,43.64770838100011,3.8070597,3.8168970790683687,43.6432083765001,3.8119783895341843,5.680052979122581,False,152.46097370282772,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0
43.638708372000096,43.64770838100011,3.8168970790683687,3.8267344581367375,43.6432083765001,3.821815768602553,5.058829594413025,True,147.80559496778122,[0.],[0.],[0.],[0.06666667],[0.],[0.],[0.],[0.],[0.],[0.14661654],[0.],[0.],[0.],[0.],[0.03846154],[0.],[0.06010929],[0.],[0.],[0.62790698],[0.15075377],[0.01510991],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.04524887],[0.],0.0018887386609894201,0.09822432266490821,0.03504273504273504,0.0,0.01832706766917293
43.638708372000096,43.64770838100011,3.8267344581367375,3.8365718372051063,43.6432083765001,3.831653147670922,4.491584012682781,True,141.53705072946687,[0.],[0.2],[0.],[0.46666667],[0.],[0.],[0.02631579],[0.],[0.],[0.36090226],[0.],[0.2],[0.],[0.],[0.42307692],[0.],[0.05464481],[0.],[0.03921569],[0.],[0.03015075],[0.11164797],[0.],[0.],[0.],[0.69230769],[0.],[0.],[0.],[0.80952381],[0.01357466],[0.],0.03895599592226999,0.010930024793944199,0.3096530920060332,0.056578947368421055,0.23284171968382494
43.638708372000096,43.64770838100011,3.8365718372051063,3.846409216273475,43.6432083765001,3.8414905267392907,4.0013387952913035,True,132.90339254574562,[0.],[0.],[0.],[0.2],[0.27272727],[0.],[0.02631579],[0.],[0.],[0.12030075],[0.],[0.],[0.],[0.],[0.19230769],[0.],[0.30054645],[0.08791209],[0.03921569],[0.23255814],[0.11557789],[0.01510991],[0.],[0.],[0.],[0.2],[0.],[0.],[0.],[0.61904762],[0.04524887],[0.],0.035979647751898505,0.07710348287198136,0.1438411261940674,0.006578947368421052,0.1284075573549258
43.638708372000096,43.64770838100011,3.846409216273475,3.856246595341844,43.6432083765001,3.8513279058076595,3.61951827718669,True,120.95925013976866,[0.],[0.],[0.],[0.13333333],[0.],[0.],[0.],[0.],[0.],[0.27067669],[0.],[0.],[0.],[0.],[0.07692308],[0.],[0.02185792],[0.40659341],[0.05882353],[0.69767442],[0.18090452],[0.01510991],[0.],[0.13207547],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0018887386609894201,0.1147235929347886,0.08969331322272499,0.0,0.08465876229034125
43.638708372000096,43.64770838100011,3.856246595341844,3.8660839744102127,43.6432083765001,3.8611652848760283,3.383035352516957,True,105.13191575273594,[0.],[0.],[0.],[0.53333333],[0.],[0.],[0.],[0.02531646],[0.],[0.36842105],[0.],[0.],[0.],[0.],[0.26923077],[0.],[0.],[0.],[0.],[0.],[0.10050251],[0.11164797],[0.],[0.],[0.],[0.],[0.],[0.25],[0.],[0.],[0.13574661],[0.],0.04520599592226998,0.029062841621539808,0.2675213675213675,0.0,0.046052631578947366
43.638708372000096,43.64770838100011,3.8660839744102127,3.8759213534785815,43.6432083765001,3.871002663944397,3.3230647135462896,True,86.62025067968695,[0.35714286],[0.],[0.],[0.33333333],[0.],[0.],[0.],[0.08860759],[0.],[0.14285714],[0.],[0.],[0.],[0.],[0.15384615],[0.],[0.16393443],[0.],[0.03921569],[0.],[0.01005025],[0.01510991],[0.09090909],[0.09433962],[0.],[0.],[0.],[0.],[0.],[0.],[0.2081448],[0.],0.013252375024625784,0.10246883873188395,0.175465057817999,0.0,0.017857142857142856
43.638708372000096,43.64770838100011,3.8759213534785815,3.8857587325469503,43.6432083765001,3.880840043012766,3.4488266478098635,True,68.76731247158136,[0.14285714],[0.],[0.],[0.],[0.],[0.],[0.],[0.11392405],[0.],[0.],[0.],[0.4],[0.],[0.],[0.],[0.],[1.],[0.],[0.01960784],[0.25581395],[0.15075377],[0.],[0.],[0.],[0.3],[0.],[0.],[0.],[0.],[0.],[0.08597285],[0.],0.0,0.22770241850015338,0.006535947712418301,0.1,0.0
43.638708372000096,43.64770838100011,3.8857587325469503,3.895596111615319,43.6432083765001,3.8906774220811347,3.7416395675035714,False,54.32144234823883,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0
43.638708372000096,43.64770838100011,3.895596111615319,3.905433490683688,43.6432083765001,3.9005148011495034,4.166430520273082,False,43.67157254711529,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0
