lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_location,degrees_to_centroid,comfort_leisure_spots,activities_education,negative_street_motorway,mobility_public_transport_bus,activities_economic,activities_goverment,social_life_eating,comfort_comfort_spots,social_life_culture,negative_street_secondary,activities_public_service,social_life_community,comfort_leisure_mass,activities_educational,mobility_public_transport_rail,social_life_night_life,comfort_green_natural,negative_street_primary,mobility_bike_infraestructure,comfort_green_forests,comfort_lakes,activities_health_regional,activities_health_local,comfort_green_space,comfort_rivers,negative_warehouse,negative_retail,activities_post,negative_railway,negative_industrial,comfort_green_parks,negative_supermarket,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean
40.88119309000008,40.8991931080001,14.1320999,14.150122003074204,40.890193099000086,14.141110951537101,9.074284914139476,False,161.17125888949244,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0
40.88119309000008,40.8991931080001,14.150122003074204,14.168144106148407,40.890193099000086,14.159133054611306,7.71810740392289,False,157.34144609982482,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0
40.88119309000008,40.8991931080001,14.168144106148407,14.18616620922261,40.890193099000086,14.177155157685508,6.433355640236603,False,151.7132083306232,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0
40.88119309000008,40.8991931080001,14.18616620922261,14.204188312296814,40.890193099000086,14.195177260759714,5.2725037846450356,False,142.87445890532405,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0
40.88119309000008,40.8991931080001,14.204188312296814,14.222210415371018,40.890193099000086,14.213199363833915,4.3362283807732585,True,128.08926175928653,[0.],[0.16666667],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.24464832],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.42176871],[0.],[0.],[0.07142857],[0.01590457],[0.],[0.],[0.],[0.],[0.],[0.00694444],[0.],[0.],0.02976190476190476,0.04863036444973394,0.0,0.0,0.031449095310907234
40.88119309000008,40.8991931080001,14.222210415371018,14.240232518445222,40.890193099000086,14.23122146690812,3.7945759194279565,True,103.85180623161008,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.60550459],[0.],[0.],[0.],[0.],[0.],[0.],[0.13554217],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.07378472],[0.01795213],[0.],0.0,0.017054921814919254,0.0,0.0,0.0849111636722732
40.88119309000008,40.8991931080001,14.240232518445222,14.258254621519425,40.890193099000086,14.249243569982323,3.819304368589631,True,73.79441653576052,[0.],[0.16666667],[0.],[0.],[0.],[0.],[0.00588235],[0.],[0.],[0.04281346],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.21111111],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.10526316],[0.01822917],[0.02393617],[0.],0.020833333333333332,0.0026595744680851063,0.0,0.0014705882352941176,0.047177111416250875
40.88119309000008,40.8991931080001,14.258254621519425,14.276276724593629,40.890193099000086,14.267265673056528,4.4008766078046175,True,50.380424738546225,[0.],[0.83333333],[0.],[0.03225806],[0.],[1.],[0.02941176],[0.],[0.],[0.51681957],[0.],[0.],[1.],[0.5],[0.],[0.06666667],[0.],[0.0037037],[0.],[0.],[0.36956522],[0.],[0.21428571],[0.],[0.],[0.],[0.],[0.],[0.10526316],[0.38020833],[0.03125],[0.],0.31845238095238093,0.15564613526570048,0.01075268817204301,0.024019607843137253,0.12574934584965217
40.88119309000008,40.8991931080001,14.276276724593629,14.294298827667832,40.890193099000086,14.28528777613073,5.361034730099937,True,36.22527915958182,[0.],[0.33333333],[0.01204819],[0.22580645],[0.08571429],[0.],[0.01764706],[0.],[0.],[0.06727829],[0.],[0.],[0.5],[0.],[0.],[0.06666667],[0.12048193],[0.],[0.],[0.06802721],[0.],[0.],[0.07142857],[0.0139165],[0.],[0.],[0.],[0.],[0.],[0.27170139],[0.0212766],[0.],0.0613095238095238,0.08041135948154596,0.07526881720430108,0.02107843137254902,0.04387848364021837
40.88119309000008,40.8991931080001,14.294298827667832,14.312320930742036,40.890193099000086,14.303309879204935,6.5349843797412035,False,27.730258881529405,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0
40.88119309000008,40.8991931080001,14.312320930742036,14.33034303381624,40.890193099000086,14.321331982279137,7.827112923920557,False,22.28976823349708,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0
40.88119309000008,40.8991931080001,14.33034303381624,14.348365136890443,40.890193099000086,14.339354085353342,9.187693956163224,False,18.569342338193596,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0
