lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_location,degrees_to_centroid,comfort_leisure_spots,activities_education,negative_street_motorway,mobility_public_transport_bus,activities_economic,activities_goverment,social_life_eating,comfort_comfort_spots,social_life_culture,negative_street_secondary,activities_public_service,social_life_community,comfort_leisure_mass,activities_educational,mobility_public_transport_rail,social_life_night_life,comfort_green_natural,negative_street_primary,mobility_bike_infraestructure,comfort_green_forests,comfort_lakes,activities_health_regional,activities_health_local,comfort_green_space,comfort_rivers,negative_warehouse,negative_retail,activities_post,negative_railway,negative_industrial,comfort_green_parks,negative_supermarket,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean,livability
40.88119309000008,40.8991931080001,14.1320999,14.150122003074204,40.890193099000086,14.1411109515371,9.074284914139476,False,161.17125888949244,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.16836840418359642
40.88119309000008,40.8991931080001,14.150122003074204,14.168144106148407,40.890193099000086,14.159133054611306,7.71810740392289,False,157.34144609982482,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.16836840418359642
40.88119309000008,40.8991931080001,14.168144106148407,14.18616620922261,40.890193099000086,14.177155157685508,6.433355640236603,False,151.7132083306232,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.16836840418359642
40.88119309000008,40.8991931080001,14.18616620922261,14.204188312296814,40.890193099000086,14.195177260759714,5.272503784645036,False,142.87445890532405,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.16836840418359642
40.88119309000008,40.8991931080001,14.204188312296814,14.222210415371018,40.890193099000086,14.213199363833915,4.3362283807732585,True,128.08926175928653,[0.],[0.16666667],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.24464832],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.42176871],[0.],[0.],[0.07142857],[0.01590457],[0.],[0.],[0.],[0.],[0.],[0.00694444],[0.],[0.],0.0297619047619047,0.0486303644497339,0.0,0.0,0.0314490953109072,0.17466499179167053
40.88119309000008,40.8991931080001,14.222210415371018,14.240232518445222,40.890193099000086,14.23122146690812,3.794575919427957,True,103.85180623161008,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.60550459],[0.],[0.],[0.],[0.],[0.],[0.],[0.13554217],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.07378472],[0.01795213],[0.],0.0,0.0170549218149192,0.0,0.0,0.0849111636722732,0.10628576099839757
40.88119309000008,40.8991931080001,14.240232518445222,14.258254621519423,40.890193099000086,14.249243569982324,3.819304368589631,True,73.79441653576052,[0.],[0.16666667],[0.],[0.],[0.],[0.],[0.00588235],[0.],[0.],[0.04281346],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.21111111],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.10526316],[0.01822917],[0.02393617],[0.],0.0208333333333333,0.0026595744680851,0.0,0.0014705882352941,0.0471771114162508,0.1401689350816019
40.88119309000008,40.8991931080001,14.258254621519423,14.276276724593629,40.890193099000086,14.267265673056528,4.4008766078046175,True,50.38042473854623,[0.],[0.83333333],[0.],[0.03225806],[0.],[1.],[0.02941176],[0.],[0.],[0.51681957],[0.],[0.],[1.],[0.5],[0.],[0.06666667],[0.],[0.0037037],[0.],[0.],[0.36956522],[0.],[0.21428571],[0.],[0.],[0.],[0.],[0.],[0.10526316],[0.38020833],[0.03125],[0.],0.3184523809523809,0.1556461352657004,0.010752688172043,0.0240196078431372,0.1257493458496521,0.2729610132518238
40.88119309000008,40.8991931080001,14.276276724593629,14.294298827667832,40.890193099000086,14.28528777613073,5.361034730099937,True,36.22527915958182,[0.],[0.33333333],[0.01204819],[0.22580645],[0.08571429],[0.],[0.01764706],[0.],[0.],[0.06727829],[0.],[0.],[0.5],[0.],[0.],[0.06666667],[0.12048193],[0.],[0.],[0.06802721],[0.],[0.],[0.07142857],[0.0139165],[0.],[0.],[0.],[0.],[0.],[0.27170139],[0.0212766],[0.],0.0613095238095238,0.0804113594815459,0.075268817204301,0.021078431372549,0.0438784836402183,0.2294528636956528
40.88119309000008,40.8991931080001,14.294298827667832,14.312320930742036,40.890193099000086,14.303309879204935,6.534984379741204,False,27.730258881529405,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.16836840418359642
