lat,lon,coor
52.5135508,13.3028655,"(52.5135508, 13.3028655)"
52.5467722,13.3565162,"(52.5467722, 13.3565162)"
52.5295304,13.4017825,"(52.5295304, 13.4017825)"
52.5260727,13.3142839,"(52.5260727, 13.3142839)"
52.5416843,13.3858547,"(52.5416843, 13.3858547)"
52.5425244,13.3845233,"(52.5425244, 13.3845233)"
52.5314712,13.324533,"(52.5314712, 13.324533)"
52.5087254,13.3961102,"(52.5087254, 13.3961102)"
52.5086736,13.3958538,"(52.5086736, 13.3958538)"
52.5121746,13.3886082,"(52.5121746, 13.3886082)"
52.509011,13.3105844,"(52.509011, 13.3105844)"
52.520505,13.3278198,"(52.520505, 13.3278198)"
52.5108387,13.3896381,"(52.5108387, 13.3896381)"
52.5074485,13.3888327,"(52.5074485, 13.3888327)"
52.4894649,13.3213264,"(52.4894649, 13.3213264)"
52.5344684,13.3585277,"(52.5344684, 13.3585277)"
52.4719274,13.3558006,"(52.4719274, 13.3558006)"
52.4985007,13.5025749,"(52.4985007, 13.5025749)"
52.4565294,13.5656261,"(52.4565294, 13.5656261)"
52.5194908,13.3965223,"(52.5194908, 13.3965223)"
52.5277748,13.3753307,"(52.5277748, 13.3753307)"
52.5139588,13.3942876,"(52.5139588, 13.3942876)"
52.5021183,13.3444183,"(52.5021183, 13.3444183)"
52.5102876,13.4682173,"(52.5102876, 13.4682173)"
52.5238156,13.447553,"(52.5238156, 13.447553)"
52.5745976,13.3586932,"(52.5745976, 13.3586932)"
52.5231928,13.3905086,"(52.5231928, 13.3905086)"
52.5221464,13.4013956,"(52.5221464, 13.4013956)"
52.503002,13.4139777,"(52.503002, 13.4139777)"
52.517422,13.407926,"(52.517422, 13.407926)"
52.4997064,13.2924853,"(52.4997064, 13.2924853)"
52.546674,13.2071758,"(52.546674, 13.2071758)"
52.5277629,13.3811144,"(52.5277629, 13.3811144)"
52.5337752,13.1865537,"(52.5337752, 13.1865537)"
52.4802688,13.3692503,"(52.4802688, 13.3692503)"
52.541903,13.3547267,"(52.541903, 13.3547267)"
52.5419276,13.3548424,"(52.5419276, 13.3548424)"
52.5874455,13.2844361,"(52.5874455, 13.2844361)"
52.4886634,13.4088045,"(52.4886634, 13.4088045)"
52.5421655,13.3780937,"(52.5421655, 13.3780937)"
52.4790316,13.4278793,"(52.4790316, 13.4278793)"
52.5337907,13.4269007,"(52.5337907, 13.4269007)"
52.5029583,13.3558982,"(52.5029583, 13.3558982)"
52.5784523,13.3087179,"(52.5784523, 13.3087179)"
52.4875301,13.3053017,"(52.4875301, 13.3053017)"
52.5300604,13.3839511,"(52.5300604, 13.3839511)"
52.4297394,13.5371169,"(52.4297394, 13.5371169)"
52.5155326,13.4165767,"(52.5155326, 13.4165767)"
52.5287084,13.4252134,"(52.5287084, 13.4252134)"
52.5006195,13.4459848,"(52.5006195, 13.4459848)"
52.5123255,13.4156504,"(52.5123255, 13.4156504)"
52.5481759,13.4270501,"(52.5481759, 13.4270501)"
52.5079219,13.3752966,"(52.5079219, 13.3752966)"
52.5221167,13.4017794,"(52.5221167, 13.4017794)"
52.5172781,13.3978248,"(52.5172781, 13.3978248)"
52.5199235,13.3957022,"(52.5199235, 13.3957022)"
52.5199472,13.3956754,"(52.5199472, 13.3956754)"
52.5227132,13.3993254,"(52.5227132, 13.3993254)"
52.5214587,13.4016427,"(52.5214587, 13.4016427)"
52.4962066,13.365417,"(52.4962066, 13.365417)"
52.5289007,13.4250691,"(52.5289007, 13.4250691)"
52.5319262,13.3264092,"(52.5319262, 13.3264092)"
52.5084126,13.4502975,"(52.5084126, 13.4502975)"
52.4230668,13.2984433,"(52.4230668, 13.2984433)"
52.4848515,13.4271995,"(52.4848515, 13.4271995)"
52.5121652,13.3114426,"(52.5121652, 13.3114426)"
52.4905477,13.4324593,"(52.4905477, 13.4324593)"
52.531715,13.3837795,"(52.531715, 13.3837795)"
52.4975821,13.3513586,"(52.4975821, 13.3513586)"
52.53246,13.4258719,"(52.53246, 13.4258719)"
52.55045,13.3603197,"(52.55045, 13.3603197)"
52.5229685,13.3785859,"(52.5229685, 13.3785859)"
52.5229113,13.3792087,"(52.5229113, 13.3792087)"
52.5131291,13.4407466,"(52.5131291, 13.4407466)"
52.511666,13.4851489,"(52.511666, 13.4851489)"
52.4885079,13.3616688,"(52.4885079, 13.3616688)"
52.4565923,13.4114781,"(52.4565923, 13.4114781)"
52.5492387,13.3645563,"(52.5492387, 13.3645563)"
52.5004756,13.4175785,"(52.5004756, 13.4175785)"
52.5519592,13.3654312,"(52.5519592, 13.3654312)"
52.4563316,13.272155,"(52.4563316, 13.272155)"
52.5318365,13.3851826,"(52.5318365, 13.3851826)"
52.4894916,13.3590209,"(52.4894916, 13.3590209)"
52.5116617,13.3329015,"(52.5116617, 13.3329015)"
52.5366336,13.3798521,"(52.5366336, 13.3798521)"
52.5365524,13.3775363,"(52.5365524, 13.3775363)"
52.5237443,13.3429326,"(52.5237443, 13.3429326)"
52.5631291,13.4123768,"(52.5631291, 13.4123768)"
52.4563126,13.5294627,"(52.4563126, 13.5294627)"
52.5380632,13.2048342,"(52.5380632, 13.2048342)"
52.4753443,13.4230336,"(52.4753443, 13.4230336)"
52.529504,13.4108553,"(52.529504, 13.4108553)"
52.5008892,13.3163752,"(52.5008892, 13.3163752)"
52.5416664,13.3937716,"(52.5416664, 13.3937716)"
52.5135206,13.3853433,"(52.5135206, 13.3853433)"
52.5317409,13.3852838,"(52.5317409, 13.3852838)"
52.4847528,13.3463303,"(52.4847528, 13.3463303)"
52.4984142,13.3810486,"(52.4984142, 13.3810486)"
52.5121509,13.3246405,"(52.5121509, 13.3246405)"
52.5157721,13.3932022,"(52.5157721, 13.3932022)"
52.5117564,13.393813,"(52.5117564, 13.393813)"
52.526722,13.3141009,"(52.526722, 13.3141009)"
52.498092,13.321403,"(52.498092, 13.321403)"
52.5090616,13.3250609,"(52.5090616, 13.3250609)"
52.5131009,13.399895,"(52.5131009, 13.399895)"
52.5016411,13.4347895,"(52.5016411, 13.4347895)"
52.5185841,13.3424614,"(52.5185841, 13.3424614)"
52.4863535,13.2714849,"(52.4863535, 13.2714849)"
52.5066174,13.3013384,"(52.5066174, 13.3013384)"
52.505131,13.3730465,"(52.505131, 13.3730465)"
52.5506572,13.418098,"(52.5506572, 13.418098)"
52.4136973,13.401154,"(52.4136973, 13.401154)"
52.5114812,13.459589,"(52.5114812, 13.459589)"
52.5219554,13.3490345,"(52.5219554, 13.3490345)"
52.5093298,13.4525847,"(52.5093298, 13.4525847)"
52.4973514,13.384548,"(52.4973514, 13.384548)"
52.5237609,13.3239495,"(52.5237609, 13.3239495)"
52.5237883,13.3230538,"(52.5237883, 13.3230538)"
52.5055258,13.1979045,"(52.5055258, 13.1979045)"
52.5324334,13.4195392,"(52.5324334, 13.4195392)"
52.504077,13.3831342,"(52.504077, 13.3831342)"
52.5145674,13.4817236,"(52.5145674, 13.4817236)"
52.5160189,13.4088513,"(52.5160189, 13.4088513)"
52.4791388,13.4304203,"(52.4791388, 13.4304203)"
52.5187995,13.4296128,"(52.5187995, 13.4296128)"
52.5695523,13.4056564,"(52.5695523, 13.4056564)"
52.5119514,13.4155081,"(52.5119514, 13.4155081)"
52.5118616,13.4154706,"(52.5118616, 13.4154706)"
52.5108574,13.3276087,"(52.5108574, 13.3276087)"
52.4635983,13.1634082,"(52.4635983, 13.1634082)"
52.5020752,13.564904,"(52.5020752, 13.564904)"
52.536345,13.4104371,"(52.536345, 13.4104371)"
52.484717,13.3848153,"(52.484717, 13.3848153)"
52.4583486,13.3788918,"(52.4583486, 13.3788918)"
52.5265927,13.3765789,"(52.5265927, 13.3765789)"
52.4893683,13.3497065,"(52.4893683, 13.3497065)"
52.5540354,13.3657726,"(52.5540354, 13.3657726)"
52.5432504,13.437999,"(52.5432504, 13.437999)"
52.5024732,13.4940034,"(52.5024732, 13.4940034)"
52.5078413,13.3909542,"(52.5078413, 13.3909542)"
52.4532534,13.3798804,"(52.4532534, 13.3798804)"
52.529015,13.4559342,"(52.529015, 13.4559342)"
52.5043929,13.4158844,"(52.5043929, 13.4158844)"
52.5087395,13.5267185,"(52.5087395, 13.5267185)"
52.5005732,13.4375821,"(52.5005732, 13.4375821)"
52.4976798,13.3471638,"(52.4976798, 13.3471638)"
52.5307946,13.3824144,"(52.5307946, 13.3824144)"
52.5250392,13.3440621,"(52.5250392, 13.3440621)"
52.4682512,13.4527407,"(52.4682512, 13.4527407)"
52.4741086,13.4482749,"(52.4741086, 13.4482749)"
52.4481833,13.27873,"(52.4481833, 13.27873)"
52.4926383,13.4452913,"(52.4926383, 13.4452913)"
52.4925887,13.4453662,"(52.4925887, 13.4453662)"
52.4458855,13.5159618,"(52.4458855, 13.5159618)"
52.5319991,13.4502253,"(52.5319991, 13.4502253)"
52.4849247,13.366912,"(52.4849247, 13.366912)"
52.4974657,13.3802939,"(52.4974657, 13.3802939)"
52.4994671,13.3929485,"(52.4994671, 13.3929485)"
52.4860597,13.3763821,"(52.4860597, 13.3763821)"
52.4546702,13.3235308,"(52.4546702, 13.3235308)"
52.5068417,13.4238331,"(52.5068417, 13.4238331)"
52.4983932,13.3338395,"(52.4983932, 13.3338395)"
52.5067034,13.4106095,"(52.5067034, 13.4106095)"
52.4811344,13.4394053,"(52.4811344, 13.4394053)"
52.4810985,13.439416,"(52.4810985, 13.439416)"
52.4870023,13.3578764,"(52.4870023, 13.3578764)"
52.554115,13.3739857,"(52.554115, 13.3739857)"
52.5208802,13.2439562,"(52.5208802, 13.2439562)"
52.4515453,13.3207428,"(52.4515453, 13.3207428)"
52.5166892,13.4251842,"(52.5166892, 13.4251842)"
52.514481,13.2961107,"(52.514481, 13.2961107)"
52.4974278,13.3659618,"(52.4974278, 13.3659618)"
52.4904225,13.4492893,"(52.4904225, 13.4492893)"
52.4870321,13.3587884,"(52.4870321, 13.3587884)"
52.4706306,13.4425969,"(52.4706306, 13.4425969)"
52.508228,13.4570169,"(52.508228, 13.4570169)"
52.4905288,13.3487736,"(52.4905288, 13.3487736)"
52.4993897,13.347922,"(52.4993897, 13.347922)"
52.5018895,13.3536146,"(52.5018895, 13.3536146)"
52.4965825,13.3876502,"(52.4965825, 13.3876502)"
52.5118968,13.4154497,"(52.5118968, 13.4154497)"
52.5409284,13.3851312,"(52.5409284, 13.3851312)"
52.4935515,13.3601459,"(52.4935515, 13.3601459)"
52.5441289,13.4120675,"(52.5441289, 13.4120675)"
52.4131216,13.3531764,"(52.4131216, 13.3531764)"
52.4614807,13.5172183,"(52.4614807, 13.5172183)"
52.461528,13.5188378,"(52.461528, 13.5188378)"
52.4819308,13.3780629,"(52.4819308, 13.3780629)"
52.5260225,13.384714,"(52.5260225, 13.384714)"
52.5147993,13.3882263,"(52.5147993, 13.3882263)"
52.5238581,13.4050618,"(52.5238581, 13.4050618)"
52.4564275,13.2721655,"(52.4564275, 13.2721655)"
52.5407256,13.386131,"(52.5407256, 13.386131)"
52.5423637,13.3838383,"(52.5423637, 13.3838383)"
52.5424152,13.3838969,"(52.5424152, 13.3838969)"
52.5409851,13.3851898,"(52.5409851, 13.3851898)"
52.5405355,13.3855448,"(52.5405355, 13.3855448)"
52.5405097,13.3854406,"(52.5405097, 13.3854406)"
52.5405199,13.3852533,"(52.5405199, 13.3852533)"
52.541009,13.3848998,"(52.541009, 13.3848998)"
52.5409813,13.3848998,"(52.5409813, 13.3848998)"
52.5408952,13.3851285,"(52.5408952, 13.3851285)"
52.5409585,13.3848998,"(52.5409585, 13.3848998)"
52.5409489,13.3849018,"(52.5409489, 13.3849018)"
52.5193377,13.3217909,"(52.5193377, 13.3217909)"
52.5193279,13.3218197,"(52.5193279, 13.3218197)"
52.4534244,13.3225819,"(52.4534244, 13.3225819)"
52.4555524,13.3945188,"(52.4555524, 13.3945188)"
52.5581495,13.3783524,"(52.5581495, 13.3783524)"
52.4663584,13.3304598,"(52.4663584, 13.3304598)"
52.4886206,13.34277,"(52.4886206, 13.34277)"
52.5081623,13.3297377,"(52.5081623, 13.3297377)"
52.5293298,13.4112279,"(52.5293298, 13.4112279)"
52.5456519,13.3451694,"(52.5456519, 13.3451694)"
52.5456127,13.3452294,"(52.5456127, 13.3452294)"
52.4660466,13.3299384,"(52.4660466, 13.3299384)"
52.5133327,13.3041003,"(52.5133327, 13.3041003)"
52.5377888,13.2050472,"(52.5377888, 13.2050472)"
52.5508609,13.350791,"(52.5508609, 13.350791)"
52.4542647,13.5761582,"(52.4542647, 13.5761582)"
52.5237064,13.3859368,"(52.5237064, 13.3859368)"
52.5407969,13.3574955,"(52.5407969, 13.3574955)"
52.5741578,13.2740959,"(52.5741578, 13.2740959)"
52.4960192,13.361546,"(52.4960192, 13.361546)"
52.5418801,13.2046613,"(52.5418801, 13.2046613)"
52.5164128,13.4441982,"(52.5164128, 13.4441982)"
52.5070768,13.3775066,"(52.5070768, 13.3775066)"
52.5126827,13.5892162,"(52.5126827, 13.5892162)"
52.565986,13.3973205,"(52.565986, 13.3973205)"
52.5058122,13.5202877,"(52.5058122, 13.5202877)"
52.5089918,13.3898117,"(52.5089918, 13.3898117)"
52.5017766,13.4112804,"(52.5017766, 13.4112804)"
52.5072688,13.3573687,"(52.5072688, 13.3573687)"
52.5080985,13.3587366,"(52.5080985, 13.3587366)"
52.528168,13.3310731,"(52.528168, 13.3310731)"
52.5390369,13.6037999,"(52.5390369, 13.6037999)"
52.5130644,13.3956903,"(52.5130644, 13.3956903)"
52.5105226,13.4023826,"(52.5105226, 13.4023826)"
52.4927945,13.3304461,"(52.4927945, 13.3304461)"
52.5319796,13.3242428,"(52.5319796, 13.3242428)"
52.5322297,13.3462559,"(52.5322297, 13.3462559)"
52.4531477,13.1189098,"(52.4531477, 13.1189098)"
52.4852084,13.3303821,"(52.4852084, 13.3303821)"
52.5003367,13.4363455,"(52.5003367, 13.4363455)"
52.5127637,13.4585697,"(52.5127637, 13.4585697)"
52.5077903,13.460271,"(52.5077903, 13.460271)"
52.5254888,13.3670685,"(52.5254888, 13.3670685)"
52.5214652,13.4124592,"(52.5214652, 13.4124592)"
52.5006748,13.4210136,"(52.5006748, 13.4210136)"
52.5263171,13.3994492,"(52.5263171, 13.3994492)"
52.5265182,13.3884917,"(52.5265182, 13.3884917)"
52.5249777,13.3755917,"(52.5249777, 13.3755917)"
52.5252331,13.3757607,"(52.5252331, 13.3757607)"
52.4966862,13.4432759,"(52.4966862, 13.4432759)"
52.5084141,13.5093547,"(52.5084141, 13.5093547)"
52.4858938,13.2802517,"(52.4858938, 13.2802517)"
52.4314225,13.2466834,"(52.4314225, 13.2466834)"
52.5238655,13.3829363,"(52.5238655, 13.3829363)"
52.5231801,13.3890806,"(52.5231801, 13.3890806)"
52.4978742,13.4395976,"(52.4978742, 13.4395976)"
52.5446621,13.3552574,"(52.5446621, 13.3552574)"
52.5533166,13.3596927,"(52.5533166, 13.3596927)"
52.3865133,13.4000053,"(52.3865133, 13.4000053)"
52.5081758,13.3897603,"(52.5081758, 13.3897603)"
52.5246584,13.3800836,"(52.5246584, 13.3800836)"
52.5324854,13.378815,"(52.5324854, 13.378815)"
52.5163606,13.3028342,"(52.5163606, 13.3028342)"
52.5684408,13.3990385,"(52.5684408, 13.3990385)"
52.5691778,13.4031354,"(52.5691778, 13.4031354)"
52.5446994,13.4294032,"(52.5446994, 13.4294032)"
52.4833039,13.4413146,"(52.4833039, 13.4413146)"
52.433509,13.5358551,"(52.433509, 13.5358551)"
52.5641816,13.4623591,"(52.5641816, 13.4623591)"
52.5541076,13.3740273,"(52.5541076, 13.3740273)"
52.529775,13.4074888,"(52.529775, 13.4074888)"
52.5046909,13.3774866,"(52.5046909, 13.3774866)"
52.520877,13.2438624,"(52.520877, 13.2438624)"
52.5171718,13.3859439,"(52.5171718, 13.3859439)"
52.5534032,13.3803549,"(52.5534032, 13.3803549)"
52.5103479,13.425172,"(52.5103479, 13.425172)"
52.5373384,13.247264,"(52.5373384, 13.247264)"
52.5425467,13.5861869,"(52.5425467, 13.5861869)"
52.5276208,13.3353974,"(52.5276208, 13.3353974)"
52.4783396,13.439689,"(52.4783396, 13.439689)"
