lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_location,degrees_to_centroid,comfort_leisure_spots,activities_education,negative_street_motorway,mobility_public_transport_bus,activities_economic,activities_goverment,social_life_eating,comfort_comfort_spots,social_life_culture,negative_street_secondary,activities_public_service,social_life_community,comfort_leisure_mass,activities_educational,mobility_public_transport_rail,social_life_night_life,comfort_green_natural,negative_street_primary,mobility_bike_infraestructure,comfort_green_forests,comfort_lakes,activities_health_regional,activities_health_local,comfort_green_space,comfort_rivers,negative_warehouse,negative_retail,activities_post,negative_railway,negative_industrial,comfort_green_parks,negative_supermarket,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean
52.1342821080004,52.1351821089004,5.0041822,5.0089475876800895,52.1347321084504,5.006564893840045,7.927562929263855,False,152.55545613834732,[0.],[2.24088132e-15],[2.25704443e-05],[0.],[0.],[0.],[0.],[0.],[1.81617889e-19],[0.],[0.],[0.],[3.5114537e-12],[0.],[3.11142322e-09],[0.],[0.],[0.],[0.],[0.0019164],[0.],[2.5759422e-08],[0.],[5.66944816e-08],[0.],[0.],[0.],[0.],[0.],[0.],[8.74808797e-07],[0.],3.219928033602265e-09,0.00021303663233962096,1.0371410730592344e-09,4.540447236188033e-20,2.8213055426516012e-06
52.1342821080004,52.1351821089004,5.0089475876800895,5.013712975360179,52.1347321084504,5.011330281520134,7.6819581660778775,False,151.2401472606489,[0.],[1.65669907e-14],[2.87354945e-05],[0.],[0.],[0.],[0.],[0.],[1.10444032e-20],[0.],[0.],[0.],[2.06603756e-11],[0.],[5.19241607e-09],[0.],[0.],[0.],[0.],[0.00220893],[0.],[3.40547127e-08],[0.],[7.08028392e-08],[0.],[0.],[0.],[0.],[0.],[0.],[4.07693515e-06],[0.],4.256841153112751e-09,0.0002458973929868777,1.7308053572754794e-09,2.761100801418697e-21,3.5919368184738563e-06
52.1342821080004,52.1351821089004,5.013712975360179,5.018478363040269,52.1347321084504,5.016095669200224,7.4424794082720345,False,149.8047876475381,[0.],[1.04441028e-13],[3.11832453e-05],[0.],[0.],[0.],[0.],[0.],[5.76311724e-22],[0.],[0.],[0.],[1.07375124e-10],[0.],[8.17112222e-09],[0.],[0.],[0.],[0.],[0.0025617],[0.],[6.23424293e-08],[0.],[5.66997676e-08],[0.],[0.],[0.],[0.],[0.],[4.54764174e-12],[1.62371115e-05],[0.],7.792816719787459e-09,0.00028644342008927,2.7237074060318402e-09,1.44077931041089e-22,3.897906232345001e-06
52.1342821080004,52.1351821089004,5.018478363040269,5.023243750720359,52.1347321084504,5.020861056880314,7.209737127287801,False,148.2342292170992,[0.],[5.62462315e-13],[2.88447546e-05],[0.],[0.],[0.],[0.],[0.],[6.60003636e-23],[0.],[0.],[0.],[4.83954555e-10],[0.],[1.27330702e-08],[0.],[0.],[0.],[0.],[0.00305511],[0.],[1.22151054e-07],[0.],[2.92029242e-08],[0.],[0.],[0.],[0.],[0.],[8.17362572e-11],[5.52828505e-05],[0.],1.526895209848132e-08,0.0003456021512970449,4.2443567461852475e-09,1.6500090889587378e-23,3.605604544594968e-06
52.1342821080004,52.1351821089004,5.023243750720359,5.028009138400448,52.1347321084504,5.0256264445604035,6.984404798275973,False,146.51115472625932,[0.],[2.60082564e-12],[2.27445433e-05],[0.],[0.],[0.],[0.],[0.],[1.49717477e-21],[0.],[0.],[0.],[1.87472679e-09],[0.],[2.04925821e-08],[0.],[0.],[0.],[0.],[0.00379157],[0.],[2.35208847e-07],[0.],[1.06769948e-08],[0.],[0.],[0.],[0.],[0.],[9.41940522e-10],[0.00016097],[0.],2.940143095860529e-08,0.00043917193674523664,6.830860705833709e-09,3.7429369266267e-22,2.843185657413606e-06
52.1342821080004,52.1351821089004,5.028009138400448,5.032774526080538,52.1347321084504,5.030391832240493,6.767222663774167,False,144.61583348307698,[0.],[1.04810644e-11],[1.52889597e-05],[0.],[0.],[0.],[0.],[0.],[2.20883905e-20],[0.],[0.],[0.],[6.21832527e-09],[0.],[3.73122809e-08],[0.],[0.],[0.],[0.],[0.00487596],[0.],[4.36877918e-07],[0.],[1.01125928e-08],[0.],[0.],[0.],[0.],[0.],[6.96005136e-09],[0.00040098],[0.],5.4611049823439636e-08,0.0005863287462428853,1.2437426969279511e-08,5.5220976155818385e-21,1.9119899676408823e-06
52.1342821080004,52.1351821089004,5.032774526080538,5.037539913760628,52.1347321084504,5.035157219920583,6.55900038437376,False,142.52591565927753,[0.],[3.83369015e-11],[8.76190643e-06],[0.],[0.],[0.],[0.],[0.],[2.94000023e-19],[0.],[0.],[1.3219543e-12],[1.76496293e-08],[0.],[9.84460074e-08],[0.],[0.],[0.],[0.],[0.00639484],[0.],[7.80020098e-07],[0.],[3.86022073e-08],[0.],[0.],[0.],[0.],[0.],[3.29747596e-08],[0.0008549],[0.],9.750730437031696e-08,0.0008055329764234592,3.2815335790600605e-08,3.304886492917924e-13,1.0993601486516744e-06
52.1342821080004,52.1351821089004,5.037539913760628,5.0423053014407175,52.1347321084504,5.039922607600673,6.360617955944627,False,140.2163201499956,[0.],[1.39146642e-10],[4.28127947e-06],[0.],[0.],[0.],[0.],[0.],[3.51952941e-18],[0.],[0.],[2.34322007e-11],[4.29575471e-08],[0.],[4.15046592e-07],[0.],[0.],[0.],[0.],[0.00840475],[0.],[1.33801513e-06],[0.],[1.16455421e-07],[0.],[0.],[0.],[0.],[0.],[1.00168475e-07],[0.00156057],[0.],1.6726928516857326e-07,0.001107275150031449,1.3834886408636737e-07,5.858051053089591e-12,5.476809926564592e-07
52.1342821080004,52.1351821089004,5.0423053014407175,5.047070689120807,52.1347321084504,5.044687995280762,6.173024121931811,False,137.65930459528155,[0.],[5.62189137e-10],[1.78378515e-06],[0.],[0.],[0.],[0.],[0.],[3.75915911e-17],[0.],[0.],[3.23471553e-10],[9.02043421e-08],[0.],[2.07658316e-06],[0.],[0.],[0.],[0.],[0.01093838],[2.67732058e-05],[2.20503913e-06],[0.],[2.26779248e-07],[0.],[0.],[0.],[0.],[0.],[1.95101549e-07],[0.00244],[0.],2.757001646999514e-07,0.0014894973216426114,6.921943869898444e-07,8.086789759964027e-11,2.47360837578147e-07
52.1342821080004,52.1351821089004,5.047070689120807,5.051836076800897,52.1347321084504,5.049453382960852,5.9972313727041096,False,134.8248532494311,[0.],[2.58253869e-09],[6.33798672e-07],[0.],[0.],[0.],[0.],[0.],[3.5458809e-16],[0.],[0.],[3.47764693e-09],[1.65594356e-07],[0.],[9.86849488e-06],[0.],[0.],[0.],[0.],[0.01402948],[0.00032616],[3.49130471e-06],[0.],[2.83211357e-07],[0.],[0.],[0.],[0.],[0.],[3.11171513e-07],[0.00326887],[0.],4.367359057417537e-07,0.001958328659063525,3.289498291804206e-06,8.694118210341048e-10,1.1812127310151845e-07
